Year,Month,Export Amount
2012,يناير,"240,938"
2012,فبراير,"531,830"
2012,مارس,"624,243"
2012,إبريل,"853,736"
2012,مايو,"802,297"
2012,يونيو,"468,819"
2012,يوليو,"303,555"
2012,أغسطس,"1,029,458"
2012,سبتمبر,"1,304,618"
2012,أكتوبر,"4,755,564"
2012,نوفمبر,"881,300"
2012,ديسمبر,"1,101,137"
2013,يناير,"996,181"
2013,فبراير,"689,255"
2013,مارس,"456,785"
2013,إبريل,"646,437"
2013,مايو,"427,263"
2013,يونيو,"364,399"
2013,يوليو,"299,205"
2013,أغسطس,"422,373"
2013,سبتمبر,"502,248"
2013,أكتوبر,"744,107"
2013,نوفمبر,"491,052"
2013,ديسمبر,"800,419"
2014,يناير,"6,947,441"
2014,فبراير,"628,164"
2014,مارس,"463,647"
2014,إبريل,"741,938"
2014,مايو,"634,182"
2014,يونيو,"827,734"
2014,يوليو,"450,314"
2014,أغسطس,"383,925"
2014,سبتمبر,"687,443"
2014,أكتوبر,"625,303"
2014,نوفمبر,"181,211"
2014,ديسمبر,"261,318"
2015,يناير,"433,422"
2015,فبراير,"1,411,603"
2015,مارس,"642,022"
2015,إبريل,"785,338"
2015,مايو,"323,484"
2015,يونيو,"321,876"
2015,يوليو,"66,805"
2015,أغسطس,"47,471"
2015,سبتمبر,"280,206"
2015,أكتوبر,"342,141"
2015,نوفمبر,"296,560"
2015,ديسمبر,"312,089"
2016,يناير,"160,720"
2016,فبراير,"326,013"
2016,مارس,"822,759"
2016,إبريل,"525,197"
2016,مايو,"412,808"
2016,يونيو,"81,061"
2016,يوليو,"212,168"
2016,أغسطس,"229,760"
2016,سبتمبر,"186,065"
2016,أكتوبر,"302,951"
2016,نوفمبر,"139,107"
2016,ديسمبر,"496,295"
2017,يناير,"6,545,666"
2017,فبراير,"2,076,189"
2017,مارس,"3,687,038"
2017,إبريل,"5,490,536"
2017,مايو,"3,890,527"
2017,يونيو,"2,601,625"
2017,يوليو,"3,891,756"
2017,أغسطس,"2,567,766"
2017,سبتمبر,"3,324,282"
2017,أكتوبر,"3,958,517"
2017,نوفمبر,"1,726,247"
2017,ديسمبر,"3,389,536"
2018,يناير,"6,197,640"
2018,فبراير,"5,293,221"
2018,مارس,"4,863,624"
2018,إبريل,"7,578,290"
2018,مايو,"3,797,890"
2018,يونيو,"5,033,107"
2018,يوليو,"4,653,107"
2018,أغسطس,"1,471,687"
2018,سبتمبر,"1,252,160"
2018,أكتوبر,"4,740,114"
2018,نوفمبر,"676,039"
2018,ديسمبر,"2,345,466"
2019,يناير,"6,537,279"
2019,فبراير,"7,370,795"
2019,مارس,"6,800,016"
2019,إبريل,"8,362,108"
2019,مايو,"9,142,023"
2019,يونيو,"3,285,814"
2019,يوليو,"7,263,928"
2019,أغسطس,"1,747,748"
2019,سبتمبر,"4,896,296"
2019,أكتوبر,"7,296,306"
2019,نوفمبر,"4,352,301"
2019,ديسمبر,"471,303"
2020,يناير,"8,927,277"
2020,فبراير,"6,583,599"
2020,مارس,"9,937,173"
2020,إبريل,"6,496,596"
2020,مايو,"117,520"
2020,يونيو,"9,748,852"
2020,يوليو,"4,651,936"
2020,أغسطس,"3,676,146"
2020,سبتمبر,"3,744,937"
2020,أكتوبر,"6,032,829"
2020,نوفمبر,"5,212,159"
2020,ديسمبر,"504,092"
2021,يناير,"10,267,233"
2021,فبراير,"4,298,488"
2021,مارس,"3,453,864"
2021,إبريل,"9,454,354"
2021,مايو,"5,102,544"
2021,يونيو,"3,757,007"
2021,يوليو,"4,900,657"
2021,أغسطس,"7,230,959"
2021,سبتمبر,"2,034,582"
2021,أكتوبر,"7,294,580"
2021,نوفمبر,"1,824,432"
2021,ديسمبر,"5,846,677"
2022,يناير,"4,786,178"
2022,فبراير,"17,530,510"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
