Item,Amount,Value
اسمنت فوندو ..... الخ,3.4,مليون دولار
سكر قصب خام,2.7,مليون دولار
سكر بنجر مكرر,2.5,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,2.3,مليون دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,2.3,مليون دولار
نشا ذره,1.8,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",1.6,مليون دولار
عجائن اخرى غير محتويه على بيض,1.5,مليون دولار
اعلاف حيوانيه غير تقليديه,1.3,مليون دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,1.2,مليون دولار
,1.2,مليون دولار
خميره جافه نشطه,1.1,مليون دولار
برتقال طازج أو مجفف,830.9,ألف دولار
جلوكوز و عسل الجلوكوز,808.0,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,783.7,ألف دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,667.9,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,589.3,ألف دولار
ألواح حديد مغلفه بالزنك مسحوبه على الساخن فى رولات بعرض أقل من 600 أخرى,588.7,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,543.3,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من0.5 مم واقل من 1مم,539.6,ألف دولار
تنر (تنر عضوى عادى او مخصوص),533.7,ألف دولار
سلك المواعين,527.0,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,513.6,ألف دولار
بولىفينيل اسيتات سائل,479.9,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),454.8,ألف دولار
سقالات معدنيه,453.1,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),451.0,ألف دولار
"لواح , افرخ من البلاستيك",447.6,ألف دولار
مسحوق كاكاو مضاف الى محتواه سكر,433.0,ألف دولار
بطاريات ثانى اكسيد المنجنيز,424.8,ألف دولار
ألواح حديد مغلفه مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,414.7,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,407.6,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,406.6,ألف دولار
قوالب شيكولاته,402.2,ألف دولار
خيط حياكه من ألياف صناعيه,395.1,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),389.8,ألف دولار
يوسفى طازج أو مجفف,342.7,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,341.2,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,334.3,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,330.8,ألف دولار
زيت ذره خام,327.0,ألف دولار
