Year,Month,Export Amount
2012,يناير,"23,835,461"
2012,فبراير,"18,768,688"
2012,مارس,"21,271,301"
2012,إبريل,"34,119,107"
2012,مايو,"25,118,622"
2012,يونيو,"19,025,654"
2012,يوليو,"19,156,949"
2012,أغسطس,"23,881,310"
2012,سبتمبر,"18,096,240"
2012,أكتوبر,"18,636,345"
2012,نوفمبر,"27,037,984"
2012,ديسمبر,"39,700,113"
2013,يناير,"19,410,527"
2013,فبراير,"17,580,082"
2013,مارس,"17,476,598"
2013,إبريل,"23,040,349"
2013,مايو,"24,434,773"
2013,يونيو,"23,049,376"
2013,يوليو,"17,008,297"
2013,أغسطس,"19,370,161"
2013,سبتمبر,"24,738,574"
2013,أكتوبر,"16,615,935"
2013,نوفمبر,"14,031,578"
2013,ديسمبر,"23,990,174"
2014,يناير,"19,168,418"
2014,فبراير,"22,714,583"
2014,مارس,"18,457,750"
2014,إبريل,"18,625,915"
2014,مايو,"17,769,450"
2014,يونيو,"18,008,261"
2014,يوليو,"18,255,374"
2014,أغسطس,"22,112,961"
2014,سبتمبر,"22,177,847"
2014,أكتوبر,"21,842,626"
2014,نوفمبر,"25,730,123"
2014,ديسمبر,"23,186,717"
2015,يناير,"18,255,228"
2015,فبراير,"19,928,902"
2015,مارس,"21,928,229"
2015,إبريل,"18,206,948"
2015,مايو,"20,584,703"
2015,يونيو,"20,067,869"
2015,يوليو,"17,364,845"
2015,أغسطس,"21,760,865"
2015,سبتمبر,"15,587,977"
2015,أكتوبر,"25,580,058"
2015,نوفمبر,"20,211,064"
2015,ديسمبر,"22,339,967"
2016,يناير,"16,254,441"
2016,فبراير,"17,020,555"
2016,مارس,"18,110,176"
2016,إبريل,"17,895,376"
2016,مايو,"23,346,299"
2016,يونيو,"14,926,658"
2016,يوليو,"31,449,103"
2016,أغسطس,"21,410,244"
2016,سبتمبر,"19,769,580"
2016,أكتوبر,"27,943,904"
2016,نوفمبر,"28,055,760"
2016,ديسمبر,"28,892,277"
2017,يناير,"79,854,180"
2017,فبراير,"20,754,631"
2017,مارس,"18,854,109"
2017,إبريل,"20,987,341"
2017,مايو,"21,790,476"
2017,يونيو,"17,998,046"
2017,يوليو,"21,281,329"
2017,أغسطس,"22,912,418"
2017,سبتمبر,"20,210,959"
2017,أكتوبر,"28,012,992"
2017,نوفمبر,"22,478,153"
2017,ديسمبر,"24,691,436"
2018,يناير,"30,908,897"
2018,فبراير,"24,903,724"
2018,مارس,"27,710,860"
2018,إبريل,"26,825,089"
2018,مايو,"26,976,505"
2018,يونيو,"21,445,055"
2018,يوليو,"25,616,994"
2018,أغسطس,"22,124,237"
2018,سبتمبر,"34,180,636"
2018,أكتوبر,"29,513,387"
2018,نوفمبر,"26,807,411"
2018,ديسمبر,"32,340,511"
2019,يناير,"25,934,597"
2019,فبراير,"22,437,260"
2019,مارس,"24,932,554"
2019,إبريل,"26,367,383"
2019,مايو,"31,987,826"
2019,يونيو,"28,761,519"
2019,يوليو,"35,138,323"
2019,أغسطس,"25,362,442"
2019,سبتمبر,"27,971,846"
2019,أكتوبر,"25,635,828"
2019,نوفمبر,"31,360,201"
2019,ديسمبر,"27,796,526"
2020,يناير,"25,494,171"
2020,فبراير,"26,839,018"
2020,مارس,"26,020,309"
2020,إبريل,"19,092,233"
2020,مايو,"14,287,925"
2020,يونيو,"26,973,276"
2020,يوليو,"40,147,724"
2020,أغسطس,"33,058,698"
2020,سبتمبر,"34,732,630"
2020,أكتوبر,"34,085,998"
2020,نوفمبر,"44,719,151"
2020,ديسمبر,"31,232,253"
2021,يناير,"32,303,448"
2021,فبراير,"27,680,263"
2021,مارس,"30,791,146"
2021,إبريل,"34,788,796"
2021,مايو,"33,513,449"
2021,يونيو,"30,682,893"
2021,يوليو,"30,604,154"
2021,أغسطس,"31,639,010"
2021,سبتمبر,"35,824,924"
2021,أكتوبر,"29,709,499"
2021,نوفمبر,"13,447,512"
2021,ديسمبر,"30,847,876"
2022,يناير,"28,731,833"
2022,فبراير,"31,851,088"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
