Year,Month,Export Amount
2012,يناير,0
2012,فبراير,0
2012,مارس,0
2012,إبريل,0
2012,مايو,0
2012,يونيو,0
2012,يوليو,"7,989"
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,"9,730"
2012,نوفمبر,0
2012,ديسمبر,0
2013,يناير,0
2013,فبراير,0
2013,مارس,"8,443"
2013,إبريل,0
2013,مايو,0
2013,يونيو,0
2013,يوليو,"8,829"
2013,أغسطس,0
2013,سبتمبر,"2,146"
2013,أكتوبر,"48,007"
2013,نوفمبر,0
2013,ديسمبر,"51,302"
2014,يناير,"46,840"
2014,فبراير,0
2014,مارس,"21,695"
2014,إبريل,"28,128"
2014,مايو,"40,928"
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,"25,000"
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,"42,697"
2015,يناير,0
2015,فبراير,0
2015,مارس,"13,800"
2015,إبريل,"13,584"
2015,مايو,"16,652"
2015,يونيو,"15,235"
2015,يوليو,"4,387"
2015,أغسطس,"19,800"
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,0
2016,يناير,"18,003"
2016,فبراير,"19,102"
2016,مارس,0
2016,إبريل,0
2016,مايو,"19,118"
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,"18,454"
2016,سبتمبر,"1,246"
2016,أكتوبر,0
2016,نوفمبر,"191,008"
2016,ديسمبر,"6,912"
2017,يناير,"91,630"
2017,فبراير,"18,797"
2017,مارس,"10,440"
2017,إبريل,"42,589"
2017,مايو,"16,780"
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,"4,440"
2017,أكتوبر,"64,440"
2017,نوفمبر,0
2017,ديسمبر,"184,841"
2018,يناير,"69,889"
2018,فبراير,"48,764"
2018,مارس,"17,739"
2018,إبريل,"14,288"
2018,مايو,0
2018,يونيو,"30,492"
2018,يوليو,"43,113"
2018,أغسطس,"23,416"
2018,سبتمبر,"114,764"
2018,أكتوبر,"18,336"
2018,نوفمبر,"17,272"
2018,ديسمبر,"194,617"
2019,يناير,"52,498"
2019,فبراير,"183,682"
2019,مارس,"213,230"
2019,إبريل,"280,703"
2019,مايو,"27,496"
2019,يونيو,"96,762"
2019,يوليو,"55,685"
2019,أغسطس,"5,261"
2019,سبتمبر,"173,583"
2019,أكتوبر,"306,649"
2019,نوفمبر,"115,347"
2019,ديسمبر,"191,040"
2020,يناير,"173,299"
2020,فبراير,"142,322"
2020,مارس,"198,567"
2020,إبريل,"91,520"
2020,مايو,"74,800"
2020,يونيو,"18,912"
2020,يوليو,"18,720"
2020,أغسطس,"38,238"
2020,سبتمبر,"82,086"
2020,أكتوبر,"296,210"
2020,نوفمبر,"18,976"
2020,ديسمبر,"129,625"
2021,يناير,"126,806"
2021,فبراير,"220,543"
2021,مارس,"140,973"
2021,إبريل,"114,997"
2021,مايو,"62,801"
2021,يونيو,"80,735"
2021,يوليو,"179,494"
2021,أغسطس,"69,911"
2021,سبتمبر,"187,859"
2021,أكتوبر,"268,971"
2021,نوفمبر,"38,055"
2021,ديسمبر,"201,692"
2022,يناير,"164,215"
2022,فبراير,"200,352"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
