Item,Amount,Value
غاز طبيعى فى صوره سائله,112.0,مليون دولار
زيوت نفط خفيفه وزيوت خفيفه اخرى متحصل عليها من المواد المعدنيه,28.8,مليون دولار
أحجار طبيعيه للمبانى مصقوله,4.2,مليون دولار
مخلفات صناعات البنجر,511.7,ألف دولار
فراوله محفوظه مؤقتا,320.3,ألف دولار
رمال السيليس (السيليكا) ورمال الكوارتز,197.9,ألف دولار
نباتات طبيه أخرى,193.1,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,156.5,ألف دولار
اسمنت فوندو ..... الخ,136.0,ألف دولار
غيرها من البويات والورنيشات المائيه,103.7,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,98.6,ألف دولار
لعزل الحراره ?  الصوت,79.8,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,68.2,ألف دولار
بنطلون رجالى من القطن غير مصنره,54.2,ألف دولار
سيليكات صوديوم أخر,52.2,ألف دولار
صمامات وما شابه لم تذكر فى مكان اخر,45.7,ألف دولار
بذور خضروات اخرى للزراعه,45.0,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,43.9,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,42.6,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,40.0,ألف دولار
بيكربونات الصوديوم,32.9,ألف دولار
ملح غير صالح للطعام و ملح طعام,30.9,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,30.1,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,26.4,ألف دولار
بدل رجالى من ألياف نسجيه أخرى غير مصنره,25.6,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,20.8,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,18.0,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,17.2,ألف دولار
سليب رجالى قطن مصنره,14.9,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,12.4,ألف دولار
أصناف زجاجيه أخرى فيما عدا العدسات و المجوهرات المقلده,11.4,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,10.7,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,8.6,ألف دولار
لعب للعرض ? دمى للتجميل أو العرض,8.2,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,7.6,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,6.7,ألف دولار
قماش بارلون / نايلون,5.0,ألف دولار
أجزاء راديو و تليفزيون,3.9,ألف دولار
بلوزه حريمى من القطن غير مصنره,3.8,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,3.7,ألف دولار
"اغصان وارقه, اوراق, شجيرات, نباتات اخرى",3.3,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),3.0,ألف دولار
بنطلون حريمى من الياف نسجيه أخرى غير مصنره,2.7,ألف دولار
بنطلون رجالى من الصوف غير مصنره,2.0,ألف دولار
رولات تسخين (كهرباء او غاز),2.0,ألف دولار
زلط متوسط,1.2,ألف دولار
ادوات واجهزة اخرى غيرها للاستخدام فى طب الاسنان,0.7,ألف دولار
اجزاء غسالات,0.6,ألف دولار
أجزاء أخرى لأجهزة طبيه للأشعه السينيه,0.4,ألف دولار
جهاز تكييف وتبريد دون تحديد سواء سبليت او مركزى,0.1,ألف دولار
محضرات واصناف صيدليه اخر,0.0,ألف دولار
سليب أو كيلوت من الياف صناعيه مصنره,0.0,ألف دولار
