Year,Month,Export Amount
2012,يناير,"13,005,698"
2012,فبراير,"13,894,174"
2012,مارس,"17,988,256"
2012,إبريل,"1,810,056"
2012,مايو,"1,427,322"
2012,يونيو,"1,138,276"
2012,يوليو,"2,198,240"
2012,أغسطس,"2,741,119"
2012,سبتمبر,"2,215,978"
2012,أكتوبر,"1,763,590"
2012,نوفمبر,"1,927,708"
2012,ديسمبر,"1,330,432"
2013,يناير,"774,662"
2013,فبراير,"1,725,152"
2013,مارس,"4,026,914"
2013,إبريل,"4,941,643"
2013,مايو,"4,177,203"
2013,يونيو,"3,087,195"
2013,يوليو,"3,822,153"
2013,أغسطس,"1,425,815"
2013,سبتمبر,"1,585,197"
2013,أكتوبر,"807,617"
2013,نوفمبر,"1,659,245"
2013,ديسمبر,"842,537"
2014,يناير,"1,247,907"
2014,فبراير,"5,395,283"
2014,مارس,"7,857,534"
2014,إبريل,"5,268,757"
2014,مايو,"6,654,145"
2014,يونيو,"4,774,070"
2014,يوليو,"1,235,142"
2014,أغسطس,"1,716,301"
2014,سبتمبر,"3,287,229"
2014,أكتوبر,"796,319"
2014,نوفمبر,"1,593,087"
2014,ديسمبر,"2,724,748"
2015,يناير,"1,378,370"
2015,فبراير,"4,695,661"
2015,مارس,"3,552,608"
2015,إبريل,"5,944,659"
2015,مايو,"5,139,036"
2015,يونيو,"3,741,819"
2015,يوليو,"1,911,149"
2015,أغسطس,"1,639,155"
2015,سبتمبر,"9,407,885"
2015,أكتوبر,"1,376,293"
2015,نوفمبر,"805,018"
2015,ديسمبر,"1,141,392"
2016,يناير,"776,246"
2016,فبراير,"3,580,436"
2016,مارس,"1,662,815"
2016,إبريل,"1,834,186"
2016,مايو,"8,472,729"
2016,يونيو,"6,466,998"
2016,يوليو,"808,376"
2016,أغسطس,"2,947,697"
2016,سبتمبر,"730,590"
2016,أكتوبر,"976,426"
2016,نوفمبر,"1,410,795"
2016,ديسمبر,"1,359,241"
2017,يناير,"6,881,470"
2017,فبراير,"474,427"
2017,مارس,"5,451,740"
2017,إبريل,"8,936,504"
2017,مايو,"1,345,563"
2017,يونيو,"3,030,721"
2017,يوليو,"1,619,730"
2017,أغسطس,"8,238,577"
2017,سبتمبر,"1,361,314"
2017,أكتوبر,"1,178,397"
2017,نوفمبر,"1,862,175"
2017,ديسمبر,"3,542,550"
2018,يناير,"1,239,172"
2018,فبراير,"8,840,114"
2018,مارس,"16,303,438"
2018,إبريل,"2,099,623"
2018,مايو,"4,390,589"
2018,يونيو,"4,576,772"
2018,يوليو,"2,127,485"
2018,أغسطس,"2,266,836"
2018,سبتمبر,"1,029,799"
2018,أكتوبر,"1,588,809"
2018,نوفمبر,"1,860,897"
2018,ديسمبر,"1,692,649"
2019,يناير,"4,116,358"
2019,فبراير,"7,235,146"
2019,مارس,"7,730,840"
2019,إبريل,"3,529,401"
2019,مايو,"4,204,570"
2019,يونيو,"2,948,116"
2019,يوليو,"2,291,112"
2019,أغسطس,"18,849,163"
2019,سبتمبر,"3,950,526"
2019,أكتوبر,"19,893,738"
2019,نوفمبر,"4,203,087"
2019,ديسمبر,"43,786,475"
2020,يناير,"60,972,330"
2020,فبراير,"73,021,556"
2020,مارس,"44,318,058"
2020,إبريل,"5,855,079"
2020,مايو,"473,039"
2020,يونيو,"41,256,863"
2020,يوليو,"30,593,170"
2020,أغسطس,"44,869,586"
2020,سبتمبر,"31,333,433"
2020,أكتوبر,"2,773,893"
2020,نوفمبر,"17,028,887"
2020,ديسمبر,"19,210,752"
2021,يناير,"36,706,340"
2021,فبراير,"16,871,873"
2021,مارس,"23,328,819"
2021,إبريل,"49,206,043"
2021,مايو,"56,441,804"
2021,يونيو,"3,680,349"
2021,يوليو,"98,663,591"
2021,أغسطس,"41,891,281"
2021,سبتمبر,"99,464,697"
2021,أكتوبر,"131,602,961"
2021,نوفمبر,"19,431,864"
2021,ديسمبر,"52,867,251"
2022,يناير,"115,755,509"
2022,فبراير,"59,967,062"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
