Item,Amount,Value
موصلات كهربيه لا تزيد عن 80 فولت,3.5,مليون دولار
برتقال طازج أو مجفف,2.7,مليون دولار
شيكولاتة ومنتجات الكاكاو,2.2,مليون دولار
بطاطس طازجه اومبرده أخرى,2.1,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,2.1,مليون دولار
مكسبات طعم ورائحه,1.7,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,1.4,مليون دولار
خضروات اخرى مجمده,1.1,مليون دولار
بصل وكرات بشوشه,1.0,مليون دولار
لحوم او احشاء محفوظة من طيور دواجن,1.0,مليون دولار
أحجار طبيعيه للمبانى مصقوله,1.0,مليون دولار
فراوله طازجه,940.3,ألف دولار
يوسفى طازج أو مجفف,901.9,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,848.1,ألف دولار
محضرات غذائيه اخرى,790.2,ألف دولار
أقمشه تحتوى على 85% بوليستر مبيضه أو غير مبيضه أخرى,753.1,ألف دولار
قوالب شيكولاته,629.4,ألف دولار
انواع جبنه اخرى,509.7,ألف دولار
طفــله بدون تحديــد (طينات اخرى),469.7,ألف دولار
محضرات واصناف صيدليه اخر,420.8,ألف دولار
مخاليط خضروات مجمده,392.8,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,385.2,ألف دولار
ورنيشات قاعدتها P.V.A,341.2,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,325.8,ألف دولار
طرشى),308.4,ألف دولار
"انابيب ومواسير وخراطيم اخرى,غير مقواة و بها وصلات ربط",304.8,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,299.2,ألف دولار
مغذيات الفالفا,283.3,ألف دولار
سقالات معدنيه,277.3,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,265.3,ألف دولار
بطاطا طازجه أو مجففه,260.0,ألف دولار
لحوم محفوظة من دواجن ولحوم مثل السجق والمحضرات الاخرى,249.1,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,236.2,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,225.6,ألف دولار
مستحضرات لتعطير الغرف او لازاله الروائح الكريهه منها,210.0,ألف دولار
زيتون مخلل,205.7,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,194.6,ألف دولار
أجزاء معدات بناء أوتوماتيكيه,191.2,ألف دولار
فراوله محفوظه مؤقتا,186.1,ألف دولار
مانجوستين طازجةاو مجففه,180.5,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,176.8,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,174.2,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,173.5,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,172.8,ألف دولار
جهاز تكييف وتبريد للحوائط أو النوافذ,166.8,ألف دولار
محضرات متجانسه لاغذيه الاطفال,162.6,ألف دولار
نجف و ثرايا كريستال و غيرها,157.7,ألف دولار
سليب رجالى قطن مصنره,157.2,ألف دولار
فول بقلى (فول خيل),151.2,ألف دولار
قماش بارلون / نايلون,150.7,ألف دولار
باب حديد اوشباك حديد بدون تحديد,140.9,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),138.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,134.5,ألف دولار
منتجات ورقيه أخرى,129.9,ألف دولار
فوليه),129.2,ألف دولار
تنر (تنر عضوى عادى او مخصوص),121.8,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,121.5,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,119.0,ألف دولار
مصابيح وتركيبات اضاءه اخرى,118.3,ألف دولار
بذور خضروات اخرى,117.6,ألف دولار
برتقال),110.5,ألف دولار
إطارات السيارات النقل و الشاحنات,106.8,ألف دولار
شحوم نباتيه,101.2,ألف دولار
بشكل ورنيش,98.9,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,97.4,ألف دولار
غيرها من المربى,89.0,ألف دولار
اصناف مقولبه او مضغوطه من عجينه الورق,87.6,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,85.0,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),81.7,ألف دولار
شـاى أسود و شاي خام معبيء فى أكثر من 3 كج,79.7,ألف دولار
دخان لف,78.3,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,78.0,ألف دولار
سجاد نايلون آخر,74.3,ألف دولار
كورنيد بيف بقرى,73.0,ألف دولار
نباتات طبيه أخرى,72.7,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,71.5,ألف دولار
لبان بلـــدى,70.3,ألف دولار
خلايا اولية وبطاريات أخرى,70.3,ألف دولار
جبن أبيض ثلاجه أو جبن قريش أو جبن فيتا,70.0,ألف دولار
اعلاف حيوانيه غير تقليديه,68.6,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,68.5,ألف دولار
سحلب مطحون,68.4,ألف دولار
جريب فروت طازج أو مجفف,68.2,ألف دولار
محول كهربائى 650 وات,68.0,ألف دولار
رقائق الومنيوم غير مشغوله,67.6,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,67.6,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,64.4,ألف دولار
مخلوط P.V.C,62.5,ألف دولار
ايس كريم بودرة,61.9,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,57.8,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,53.2,ألف دولار
ورق أزوريه,52.5,ألف دولار
خس ملفوف وكرنبى,51.0,ألف دولار
مرايا الرؤيه الخلفيه للسيارات,50.4,ألف دولار
مراتب بسوست,47.1,ألف دولار
أقمشه تحتوى على أقل من 85% ألياف صناعيه مستمره مصبوغه,47.0,ألف دولار
بذور زيتيه أخرى,45.1,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,45.1,ألف دولار
سجاد من ألياف صناعيه أخرى,45.1,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,44.9,ألف دولار
اصباغ سطحية ومحضرات قاعدتها هذه الاصباغ,43.5,ألف دولار
سليب أو كيلوت من الياف نسجيه أخرى غير مصنره,43.1,ألف دولار
خس طازج,42.0,ألف دولار
حساء ومرق ومحضرات (شوربه),41.1,ألف دولار
كرنب أفرنجى و بروكلى طازج,40.9,ألف دولار
أدوات التواليت و المنزل من أنواع البلاستيك الأخرى,40.3,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,39.7,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),38.7,ألف دولار
أسماك موسى النهريه طازجه أو مثلجه,38.7,ألف دولار
ثلاجات ومجمدات مشتركه مثبته بأبواب داخليه منفصله,37.6,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),36.9,ألف دولار
مجففات محضره,36.0,ألف دولار
ازهار وبراعم ازهار مقطوفه اخرى طازجه للباقات,35.1,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,34.2,ألف دولار
قرنبيــط,33.9,ألف دولار
,33.3,ألف دولار
عجائن اخرى غير محتويه على بيض,33.0,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,31.6,ألف دولار
خضروات مجمدة او مبردة,30.2,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,30.0,ألف دولار
جوز و لوز محلى,29.0,ألف دولار
أشجار و شجيرات ذات ثمار أو بدون ثمار,28.8,ألف دولار
حاصلات زراعيه اخرى مجهزه ومعبأه,28.4,ألف دولار
بيكربونات كالسيوم,27.0,ألف دولار
صناديق و حاويات من البلاستيك,26.8,ألف دولار
فاصولياخضراء و فول أخضر,26.7,ألف دولار
طيور داجنة بط ، اوز ، طيور مجمدة غير مقطعة,26.5,ألف دولار
فاصوليا بيضاء مجففه ومفصصه ومعبأه,26.3,ألف دولار
البسه خارجيه للنساء والبنات والاطفال و جاكت أو بالطو من موادنسجيه اخرى مصنره,25.5,ألف دولار
بهارات اخرى,23.6,ألف دولار
اجزاء ولوازم سيارات اخرى,22.5,ألف دولار
مصنوعات اخرى من زجاج لاغراض اخرى,21.6,ألف دولار
بنطلون حريمى من الياف صناعيه غير مصنره,20.0,ألف دولار
امصال الطب البيطرى,19.8,ألف دولار
ادوية غير مهياة بجرعات معايرة اوباشكال اوعبوات للبيع بالتجزئة,18.0,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,17.9,ألف دولار
اجزاء للاثاث,17.1,ألف دولار
حيوانات مذبوحه من البقر الجاموس طازجه أو مثلجه,16.9,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من قطن غير مصنره,16.6,ألف دولار
أغطية أرضيات نسجيه أخرى,16.2,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,15.7,ألف دولار
