Year,Month,Export Amount
2012,يناير,"22,292,713"
2012,فبراير,"15,313,088"
2012,مارس,"17,259,523"
2012,إبريل,"17,724,402"
2012,مايو,"17,703,071"
2012,يونيو,"20,136,655"
2012,يوليو,"22,636,231"
2012,أغسطس,"13,529,070"
2012,سبتمبر,"20,492,532"
2012,أكتوبر,"20,930,878"
2012,نوفمبر,"20,817,408"
2012,ديسمبر,"27,777,013"
2013,يناير,"23,958,791"
2013,فبراير,"26,781,935"
2013,مارس,"28,638,196"
2013,إبريل,"24,384,022"
2013,مايو,"26,912,772"
2013,يونيو,"27,491,822"
2013,يوليو,"25,908,630"
2013,أغسطس,"17,504,593"
2013,سبتمبر,"27,781,101"
2013,أكتوبر,"18,514,362"
2013,نوفمبر,"14,878,618"
2013,ديسمبر,"19,425,771"
2014,يناير,"24,902,758"
2014,فبراير,"29,525,155"
2014,مارس,"33,726,481"
2014,إبريل,"30,588,818"
2014,مايو,"24,847,967"
2014,يونيو,"35,081,599"
2014,يوليو,"22,721,529"
2014,أغسطس,"25,152,086"
2014,سبتمبر,"22,498,063"
2014,أكتوبر,"19,706,482"
2014,نوفمبر,"28,443,909"
2014,ديسمبر,"23,541,988"
2015,يناير,"28,762,395"
2015,فبراير,"27,704,365"
2015,مارس,"41,722,548"
2015,إبريل,"32,897,198"
2015,مايو,"33,496,401"
2015,يونيو,"28,041,697"
2015,يوليو,"24,275,497"
2015,أغسطس,"35,497,100"
2015,سبتمبر,"36,960,853"
2015,أكتوبر,"43,903,385"
2015,نوفمبر,"34,293,324"
2015,ديسمبر,"42,236,511"
2016,يناير,"28,023,998"
2016,فبراير,"31,434,443"
2016,مارس,"28,794,455"
2016,إبريل,"31,213,250"
2016,مايو,"32,333,744"
2016,يونيو,"28,745,547"
2016,يوليو,"20,739,825"
2016,أغسطس,"39,695,132"
2016,سبتمبر,"32,602,277"
2016,أكتوبر,"48,234,467"
2016,نوفمبر,"27,836,265"
2016,ديسمبر,"35,353,443"
2017,يناير,"81,673,562"
2017,فبراير,"29,487,241"
2017,مارس,"32,455,016"
2017,إبريل,"25,061,390"
2017,مايو,"28,369,575"
2017,يونيو,"20,811,299"
2017,يوليو,"26,207,621"
2017,أغسطس,"20,114,752"
2017,سبتمبر,"16,207,987"
2017,أكتوبر,"19,723,013"
2017,نوفمبر,"31,940,222"
2017,ديسمبر,"27,071,511"
2018,يناير,"25,805,195"
2018,فبراير,"24,616,392"
2018,مارس,"28,335,478"
2018,إبريل,"26,479,457"
2018,مايو,"21,153,200"
2018,يونيو,"17,522,174"
2018,يوليو,"18,727,097"
2018,أغسطس,"21,466,496"
2018,سبتمبر,"19,408,877"
2018,أكتوبر,"16,508,300"
2018,نوفمبر,"21,095,994"
2018,ديسمبر,"24,015,220"
2019,يناير,"20,160,534"
2019,فبراير,"18,501,494"
2019,مارس,"24,239,003"
2019,إبريل,"23,104,743"
2019,مايو,"34,718,223"
2019,يونيو,"17,935,127"
2019,يوليو,"20,966,489"
2019,أغسطس,"17,663,884"
2019,سبتمبر,"27,708,937"
2019,أكتوبر,"17,795,956"
2019,نوفمبر,"21,098,104"
2019,ديسمبر,"19,953,073"
2020,يناير,"24,842,309"
2020,فبراير,"22,113,808"
2020,مارس,"19,845,807"
2020,إبريل,"14,283,611"
2020,مايو,"9,134,816"
2020,يونيو,"13,578,207"
2020,يوليو,"16,063,117"
2020,أغسطس,"13,098,564"
2020,سبتمبر,"23,392,117"
2020,أكتوبر,"30,946,127"
2020,نوفمبر,"22,138,426"
2020,ديسمبر,"21,466,733"
2021,يناير,"23,016,550"
2021,فبراير,"38,212,979"
2021,مارس,"23,714,493"
2021,إبريل,"19,107,021"
2021,مايو,"18,785,548"
2021,يونيو,"44,323,591"
2021,يوليو,"14,719,408"
2021,أغسطس,"17,132,044"
2021,سبتمبر,"40,403,213"
2021,أكتوبر,"16,224,566"
2021,نوفمبر,"8,821,733"
2021,ديسمبر,"16,976,682"
2022,يناير,"19,034,440"
2022,فبراير,"27,376,603"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
