Item,Amount,Value
بطاطس طازجه اومبرده أخرى,12.0,مليون دولار
سلك نحاس اصفر,6.2,مليون دولار
جبن مطبوخ غير مبشور ولا مسحوق,2.7,مليون دولار
أحجار طبيعيه للمبانى مصقوله,2.7,مليون دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,1.6,مليون دولار
الواح حديد مسحوبة على الساخن فى رولات بعرض اكبر من 600مم وبسمك اكبر من 4.75 مم,1.6,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,1.3,مليون دولار
المارجرين أو بديل الزبده ? زبده صناعيه,1.1,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,1.0,مليون دولار
شحوم نباتيه,989.7,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,987.0,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,776.6,ألف دولار
زجاج مسطح عادى سادة غير مسلح,721.2,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),707.1,ألف دولار
زيت النخيل بحاله اخرى,656.2,ألف دولار
شـاى أسود و شاي خام معبيء فى أكثر من 3 كج,636.2,ألف دولار
مخلوط P.V.C,635.9,ألف دولار
سمن نباتى,622.6,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),600.5,ألف دولار
خضروات اخرى مجمده,598.5,ألف دولار
جبن أبيض ثلاجه أو جبن قريش أو جبن فيتا,585.0,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,555.9,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,526.9,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",526.7,ألف دولار
ألواح و صفائح من نحاس منقى فى رولات بسمك يزيد عن 15و مم,504.8,ألف دولار
بذور خضروات اخرى,497.4,ألف دولار
محضرات غذائيه اخرى,464.9,ألف دولار
بصل وكرات بشوشه,456.1,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,440.3,ألف دولار
ثلاجات ومجمدات مشتركه مثبته بأبواب داخليه منفصله,429.6,ألف دولار
حساء ومرق ومحضرات (شوربه),399.0,ألف دولار
بوليمرات الإيثيلين,396.9,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,395.3,ألف دولار
عجائن اخرى غير محتويه على بيض,369.3,ألف دولار
خميره جافه نشطه,349.1,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),334.2,ألف دولار
قوالب شيكولاته,306.5,ألف دولار
خلاصة شعير ومحضرات غذائية من دقيق او سميد او نشا او خلاصة مولت اخرى,303.0,ألف دولار
