Year,Month,Export Amount
2012,يناير,"52,368,892"
2012,فبراير,"117,565,835"
2012,مارس,"51,807,694"
2012,إبريل,"49,968,429"
2012,مايو,"42,521,185"
2012,يونيو,"47,933,343"
2012,يوليو,"56,238,152"
2012,أغسطس,"54,854,500"
2012,سبتمبر,"134,352,399"
2012,أكتوبر,"81,988,731"
2012,نوفمبر,"62,640,094"
2012,ديسمبر,"66,315,660"
2013,يناير,"73,715,716"
2013,فبراير,"55,457,462"
2013,مارس,"77,311,524"
2013,إبريل,"93,287,193"
2013,مايو,"55,102,281"
2013,يونيو,"55,335,116"
2013,يوليو,"46,122,527"
2013,أغسطس,"36,709,737"
2013,سبتمبر,"46,271,163"
2013,أكتوبر,"43,062,413"
2013,نوفمبر,"75,009,832"
2013,ديسمبر,"49,155,180"
2014,يناير,"72,756,859"
2014,فبراير,"47,530,247"
2014,مارس,"71,709,854"
2014,إبريل,"34,698,323"
2014,مايو,"84,720,006"
2014,يونيو,"74,444,983"
2014,يوليو,"28,834,433"
2014,أغسطس,"38,063,752"
2014,سبتمبر,"40,843,763"
2014,أكتوبر,"33,145,430"
2014,نوفمبر,"37,983,830"
2014,ديسمبر,"59,337,118"
2015,يناير,"29,032,174"
2015,فبراير,"35,258,052"
2015,مارس,"46,898,732"
2015,إبريل,"39,558,582"
2015,مايو,"39,564,711"
2015,يونيو,"31,735,166"
2015,يوليو,"25,487,924"
2015,أغسطس,"35,119,543"
2015,سبتمبر,"32,832,945"
2015,أكتوبر,"34,823,354"
2015,نوفمبر,"41,975,370"
2015,ديسمبر,"32,187,366"
2016,يناير,"26,420,365"
2016,فبراير,"39,851,364"
2016,مارس,"59,713,822"
2016,إبريل,"31,367,464"
2016,مايو,"31,626,520"
2016,يونيو,"61,070,251"
2016,يوليو,"80,737,488"
2016,أغسطس,"142,022,574"
2016,سبتمبر,"65,813,762"
2016,أكتوبر,"87,760,839"
2016,نوفمبر,"82,727,827"
2016,ديسمبر,"45,841,503"
2017,يناير,"244,695,835"
2017,فبراير,"45,733,781"
2017,مارس,"62,291,158"
2017,إبريل,"36,935,208"
2017,مايو,"38,160,831"
2017,يونيو,"30,560,730"
2017,يوليو,"27,338,497"
2017,أغسطس,"33,095,086"
2017,سبتمبر,"40,337,377"
2017,أكتوبر,"30,676,314"
2017,نوفمبر,"41,598,979"
2017,ديسمبر,"29,515,036"
2018,يناير,"73,973,530"
2018,فبراير,"51,182,799"
2018,مارس,"46,347,450"
2018,إبريل,"35,874,705"
2018,مايو,"35,359,629"
2018,يونيو,"32,471,728"
2018,يوليو,"30,846,618"
2018,أغسطس,"35,050,251"
2018,سبتمبر,"36,818,681"
2018,أكتوبر,"40,328,533"
2018,نوفمبر,"37,518,868"
2018,ديسمبر,"34,690,872"
2019,يناير,"31,130,328"
2019,فبراير,"45,744,012"
2019,مارس,"31,928,856"
2019,إبريل,"42,200,713"
2019,مايو,"46,520,579"
2019,يونيو,"57,092,208"
2019,يوليو,"31,061,747"
2019,أغسطس,"29,020,089"
2019,سبتمبر,"29,217,845"
2019,أكتوبر,"25,219,186"
2019,نوفمبر,"14,416,616"
2019,ديسمبر,"14,092,540"
2020,يناير,"13,838,375"
2020,فبراير,"37,045,881"
2020,مارس,"34,621,015"
2020,إبريل,"26,792,690"
2020,مايو,"17,943,843"
2020,يونيو,"20,252,304"
2020,يوليو,"15,538,554"
2020,أغسطس,"11,536,157"
2020,سبتمبر,"35,072,588"
2020,أكتوبر,"21,609,700"
2020,نوفمبر,"31,233,092"
2020,ديسمبر,"28,552,555"
2021,يناير,"23,005,002"
2021,فبراير,"28,973,745"
2021,مارس,"34,609,179"
2021,إبريل,"28,100,754"
2021,مايو,"21,245,416"
2021,يونيو,"47,211,354"
2021,يوليو,"19,634,387"
2021,أغسطس,"32,470,028"
2021,سبتمبر,"25,546,633"
2021,أكتوبر,"27,271,786"
2021,نوفمبر,"15,769,315"
2021,ديسمبر,"43,432,428"
2022,يناير,"32,281,188"
2022,فبراير,"36,386,765"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
