Item,Amount,Value
غيرها من منشات واجزاوءها من حديد او صلب,22.9,مليون دولار
راتنجات الكيديه,543.0,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,95.0,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),90.5,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),79.2,ألف دولار
مكسبات طعم ورائحه,74.2,ألف دولار
"انابيب,مواسير وخراطيم صلبة,غير قابلة للثنى من بوليميرات كلوريدالفينيل",61.0,ألف دولار
محول كهربائى 650 وات إلى 10000 وات,60.0,ألف دولار
صودا كاويه,56.0,ألف دولار
بيكربونات كالسيوم,28.8,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,26.5,ألف دولار
إطارات السيارات النقل و الشاحنات,15.3,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,14.8,ألف دولار
عجائن اخرى غير محتويه على بيض,8.2,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),7.8,ألف دولار
غيرها من البويات والورنيشات المائيه,3.1,ألف دولار
صلصات ومحضرات مماثله اخرى,2.7,ألف دولار
اثاث من لدائن اصطناعيه,2.6,ألف دولار
ملابس مصنوعه من أنسجه معالجه ضد الرطوبه,1.6,ألف دولار
كروت ذكية,1.5,ألف دولار
طرشى),0.0,ألف دولار
