Year,Month,Export Amount
2012,يناير,"549,332"
2012,فبراير,"145,167"
2012,مارس,"331,036"
2012,إبريل,"304,519"
2012,مايو,"259,002"
2012,يونيو,"37,519"
2012,يوليو,"179,455"
2012,أغسطس,"245,780"
2012,سبتمبر,"50,433"
2012,أكتوبر,"184,685"
2012,نوفمبر,"405,810"
2012,ديسمبر,"110,030"
2013,يناير,"276,824"
2013,فبراير,"29,920,190"
2013,مارس,"426,519"
2013,إبريل,"581,323"
2013,مايو,"31,450"
2013,يونيو,"359,460"
2013,يوليو,"535,758"
2013,أغسطس,"131,058"
2013,سبتمبر,"342,051"
2013,أكتوبر,"673,314"
2013,نوفمبر,"312,618"
2013,ديسمبر,"351,688"
2014,يناير,"78,482"
2014,فبراير,"435,545"
2014,مارس,"184,447"
2014,إبريل,"144,627"
2014,مايو,"408,737"
2014,يونيو,"396,906"
2014,يوليو,"214,151"
2014,أغسطس,"261,110"
2014,سبتمبر,"86,870"
2014,أكتوبر,"151,501"
2014,نوفمبر,"295,688"
2014,ديسمبر,"544,901"
2015,يناير,"469,469"
2015,فبراير,"604,717"
2015,مارس,"407,717"
2015,إبريل,"509,743"
2015,مايو,"276,675"
2015,يونيو,"142,634"
2015,يوليو,"368,907"
2015,أغسطس,"483,803"
2015,سبتمبر,"405,493"
2015,أكتوبر,"162,094"
2015,نوفمبر,"281,486"
2015,ديسمبر,"551,963"
2016,يناير,"218,440"
2016,فبراير,"83,515"
2016,مارس,"316,546"
2016,إبريل,"147,809"
2016,مايو,"198,833"
2016,يونيو,"87,935"
2016,يوليو,"201,813"
2016,أغسطس,"298,050"
2016,سبتمبر,"372,709"
2016,أكتوبر,"182,189"
2016,نوفمبر,"116,811"
2016,ديسمبر,"282,262"
2017,يناير,"1,049,316"
2017,فبراير,"294,004"
2017,مارس,"120,722"
2017,إبريل,"144,939"
2017,مايو,"438,059"
2017,يونيو,"54,550"
2017,يوليو,"286,732"
2017,أغسطس,"460,984"
2017,سبتمبر,"55,183"
2017,أكتوبر,"265,830"
2017,نوفمبر,"235,997"
2017,ديسمبر,"237,663"
2018,يناير,"400,841"
2018,فبراير,"104,595"
2018,مارس,"679,214"
2018,إبريل,"107,847"
2018,مايو,"178,402"
2018,يونيو,"444,636"
2018,يوليو,"178,039"
2018,أغسطس,"305,103"
2018,سبتمبر,"291,022"
2018,أكتوبر,"488,195"
2018,نوفمبر,"142,608"
2018,ديسمبر,"349,593"
2019,يناير,"209,870"
2019,فبراير,"381,051"
2019,مارس,"61,972"
2019,إبريل,"396,116"
2019,مايو,"57,355"
2019,يونيو,"170,903"
2019,يوليو,"53,472"
2019,أغسطس,"97,867"
2019,سبتمبر,"231,746"
2019,أكتوبر,"110,686"
2019,نوفمبر,"302,555"
2019,ديسمبر,"139,865"
2020,يناير,"2,420,202"
2020,فبراير,"304,332"
2020,مارس,"102,881"
2020,إبريل,"169,148"
2020,مايو,"359,727"
2020,يونيو,"496,122"
2020,يوليو,"261,244"
2020,أغسطس,"161,163"
2020,سبتمبر,"501,951"
2020,أكتوبر,"267,442"
2020,نوفمبر,"571,460"
2020,ديسمبر,"295,819"
2021,يناير,"202,335"
2021,فبراير,"597,437"
2021,مارس,"1,407,072"
2021,إبريل,"617,559"
2021,مايو,"905,664"
2021,يونيو,"479,078"
2021,يوليو,"1,300,772"
2021,أغسطس,"710,210"
2021,سبتمبر,"3,451,627"
2021,أكتوبر,"1,684,875"
2021,نوفمبر,"3,165,505"
2021,ديسمبر,"572,084"
2022,يناير,"437,496"
2022,فبراير,"23,704,261"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
