Item,Amount,Value
انواع أخرى من اسمنت بورتلاند (حديدى و مخلوط),6.9,مليون دولار
أحجار طبيعيه للمبانى مصقوله,6.2,مليون دولار
غيرها من دنان وبراميل وصفائح وعلب واوعيه مماثله من الومنيوم,5.3,مليون دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),4.9,مليون دولار
كتب و كتيبات مطبوعه وان كانت مصوره,3.9,مليون دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),2.9,مليون دولار
ملابس المطر الداخليه رجالى بصفة عامه,2.8,مليون دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,2.6,مليون دولار
"انابيب,مواسير وخراطيم صلبة,غير قابلة للثنى من بوليميرات كلوريدالفينيل",2.2,مليون دولار
جبن مطبوخ غير مبشور ولا مسحوق,2.1,مليون دولار
بويات و ورنيش من قاعده  بوليمرات,2.1,مليون دولار
زيتون مخلل,2.0,مليون دولار
غيرها من البويات والورنيشات المائيه,2.0,مليون دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,1.9,مليون دولار
,1.8,مليون دولار
شحوم نباتيه,1.7,مليون دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,1.7,مليون دولار
خضروات بقليه اخرى,1.7,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,1.5,مليون دولار
اجولة واكياس من بولياثلين او بوليبروبلين,1.5,مليون دولار
بطاطس غير مجمده محفوظه اومعلبه,1.4,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",1.4,مليون دولار
اعلاف حيوانيه غير تقليديه,1.3,مليون دولار
غواسل عضوية بحالة ايونات سالبة,1.3,مليون دولار
طرشى),1.3,مليون دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,1.2,مليون دولار
بطاطين مخلوطة قطن على الياف / شعبية,1.2,مليون دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,1.2,مليون دولار
سقالات معدنيه,1.2,مليون دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,1.1,مليون دولار
انواع جبنه اخرى,1.1,مليون دولار
بدل حريمى من ألياف نسجيه أخرى غير مصنره,1.1,مليون دولار
مياه معدنيه,1.1,مليون دولار
زيت ذره مكرر,1.1,مليون دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,1.1,مليون دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,1.1,مليون دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,1.0,مليون دولار
اصناف مماثله غير مزخرفه اساسها الجبس,957.7,ألف دولار
زيت صويا لغير البيع بالتجزئه,922.1,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,896.5,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,888.1,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,872.4,ألف دولار
ألوان محفرة حراريه للخزف,841.8,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,826.2,ألف دولار
بذور خضروات اخرى للزراعه,821.4,ألف دولار
ملح غير صالح للطعام و ملح طعام,804.9,ألف دولار
فيروسيليكون سبيكه 55%,796.0,ألف دولار
بذور سمسم,788.5,ألف دولار
زجاج مسطح عادى سادة غير مسلح,766.1,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,741.5,ألف دولار
محضرات واصناف صيدليه اخر,715.9,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,699.4,ألف دولار
الوان سطحيه بشكل عجينه فى وسط لامائى,659.4,ألف دولار
اكياس وحقائب بقاعده عرضها 40سم او اكثر من الورق المقوى,650.5,ألف دولار
حمص مجفف ومعبأ,650.3,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),644.6,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,639.5,ألف دولار
ورنيشات قاعدتها P.V.A,626.6,ألف دولار
وصلات و كيعان و فلانشات لمواسير,614.5,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,600.0,ألف دولار
عصير خليط,593.5,ألف دولار
أعمده من زجاج,590.3,ألف دولار
المارجرين أو بديل الزبده ? زبده صناعيه,570.0,ألف دولار
لبن فرز(البان تحتوى على نسبةدسم لايزيد عن 1% من اجمالى الوزن),566.4,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من بولى إثيرين",555.2,ألف دولار
عدس اصفر معبأ,543.7,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,519.4,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),514.1,ألف دولار
شيكولاتة ومنتجات الكاكاو,495.3,ألف دولار
صناديق و حاويات من البلاستيك,495.0,ألف دولار
روب و أطقم للرجال اوالصبيه من القطن غير مصنره,489.5,ألف دولار
مكسبات طعم ورائحه,482.9,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,474.2,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من الياف نسجيه أخرى غير غير مصنره,472.3,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,458.4,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,450.8,ألف دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,449.9,ألف دولار
