Year,Month,Export Amount
2012,يناير,"112,168,110"
2012,فبراير,"104,248,172"
2012,مارس,"132,839,806"
2012,إبريل,"133,994,552"
2012,مايو,"134,058,929"
2012,يونيو,"124,415,101"
2012,يوليو,"132,286,319"
2012,أغسطس,"109,490,333"
2012,سبتمبر,"114,538,532"
2012,أكتوبر,"102,235,590"
2012,نوفمبر,"148,262,835"
2012,ديسمبر,"141,072,812"
2013,يناير,"148,844,817"
2013,فبراير,"82,665,643"
2013,مارس,"94,628,510"
2013,إبريل,"112,978,609"
2013,مايو,"137,335,383"
2013,يونيو,"130,950,033"
2013,يوليو,"105,731,216"
2013,أغسطس,"68,844,275"
2013,سبتمبر,"113,552,466"
2013,أكتوبر,"76,829,957"
2013,نوفمبر,"105,207,838"
2013,ديسمبر,"111,740,481"
2014,يناير,"88,734,688"
2014,فبراير,"96,793,104"
2014,مارس,"118,562,271"
2014,إبريل,"114,965,256"
2014,مايو,"88,937,594"
2014,يونيو,"140,283,753"
2014,يوليو,"48,733,663"
2014,أغسطس,"32,803,562"
2014,سبتمبر,"61,938,875"
2014,أكتوبر,"67,215,043"
2014,نوفمبر,"81,896,687"
2014,ديسمبر,"68,248,797"
2015,يناير,"42,270,009"
2015,فبراير,"42,844,875"
2015,مارس,"59,834,820"
2015,إبريل,"55,289,459"
2015,مايو,"63,131,895"
2015,يونيو,"49,644,311"
2015,يوليو,"35,839,809"
2015,أغسطس,"38,675,187"
2015,سبتمبر,"36,548,506"
2015,أكتوبر,"45,956,910"
2015,نوفمبر,"50,871,074"
2015,ديسمبر,"53,322,932"
2016,يناير,"40,666,475"
2016,فبراير,"35,422,710"
2016,مارس,"42,168,302"
2016,إبريل,"38,143,586"
2016,مايو,"58,670,786"
2016,يونيو,"46,011,666"
2016,يوليو,"30,525,539"
2016,أغسطس,"39,823,272"
2016,سبتمبر,"38,563,308"
2016,أكتوبر,"48,621,666"
2016,نوفمبر,"52,918,804"
2016,ديسمبر,"75,398,565"
2017,يناير,"133,596,891"
2017,فبراير,"29,809,601"
2017,مارس,"30,234,475"
2017,إبريل,"30,414,112"
2017,مايو,"30,486,844"
2017,يونيو,"20,496,295"
2017,يوليو,"27,250,246"
2017,أغسطس,"33,394,172"
2017,سبتمبر,"21,427,044"
2017,أكتوبر,"42,233,345"
2017,نوفمبر,"36,926,977"
2017,ديسمبر,"39,097,947"
2018,يناير,"23,622,725"
2018,فبراير,"29,195,837"
2018,مارس,"42,088,803"
2018,إبريل,"44,332,011"
2018,مايو,"63,474,433"
2018,يونيو,"40,656,962"
2018,يوليو,"62,479,493"
2018,أغسطس,"42,809,141"
2018,سبتمبر,"55,446,972"
2018,أكتوبر,"54,258,747"
2018,نوفمبر,"55,523,628"
2018,ديسمبر,"66,907,644"
2019,يناير,"51,706,312"
2019,فبراير,"50,389,120"
2019,مارس,"60,397,567"
2019,إبريل,"69,234,469"
2019,مايو,"70,484,676"
2019,يونيو,"50,969,037"
2019,يوليو,"78,454,511"
2019,أغسطس,"56,391,699"
2019,سبتمبر,"75,959,347"
2019,أكتوبر,"80,554,474"
2019,نوفمبر,"80,852,213"
2019,ديسمبر,"72,709,941"
2020,يناير,"50,180,592"
2020,فبراير,"55,603,206"
2020,مارس,"42,539,642"
2020,إبريل,"21,772,191"
2020,مايو,"20,796,745"
2020,يونيو,"50,887,053"
2020,يوليو,"56,959,911"
2020,أغسطس,"48,212,672"
2020,سبتمبر,"51,256,463"
2020,أكتوبر,"59,841,291"
2020,نوفمبر,"55,086,424"
2020,ديسمبر,"51,364,307"
2021,يناير,"55,024,608"
2021,فبراير,"80,506,786"
2021,مارس,"105,343,410"
2021,إبريل,"85,075,565"
2021,مايو,"69,783,473"
2021,يونيو,"83,138,990"
2021,يوليو,"66,164,022"
2021,أغسطس,"81,165,086"
2021,سبتمبر,"84,694,047"
2021,أكتوبر,"72,113,476"
2021,نوفمبر,"24,480,867"
2021,ديسمبر,"79,560,640"
2022,يناير,"68,636,215"
2022,فبراير,"75,209,770"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
