Item,Amount,Value
برتقال طازج أو مجفف,803.2,ألف دولار
بوليستر أولى,228.5,ألف دولار
لعزل الحراره ?  الصوت,126.4,ألف دولار
فاكهه أخرى طازجه,83.5,ألف دولار
ورنيشات قاعدتها P.V.A,83.3,ألف دولار
كلف دانتيل ? أقمشه دانتيل من القطن,57.4,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,49.1,ألف دولار
راتنجات الكيديه,42.6,ألف دولار
نباتات طبيه أخرى,25.5,ألف دولار
صلصات ومحضرات مماثله اخرى,17.1,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من بوليمرات الإستيرين",14.4,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),13.7,ألف دولار
محضرات كيميائيه للتشخيص المعملى,12.0,ألف دولار
زجاج مسطح عادى سادة غير مسلح,9.4,ألف دولار
الطباشير الأرضى,8.3,ألف دولار
قماش الدنيم أو الجينز,7.1,ألف دولار
مجففات محضره,5.6,ألف دولار
ملابس كهنه و قديمه,4.7,ألف دولار
محضرات غذائيه اخرى,3.6,ألف دولار
,0.1,ألف دولار
