Year,Month,Export Amount
2012,يناير,"1,293,753"
2012,فبراير,"2,186,231"
2012,مارس,"5,401,484"
2012,إبريل,"5,194,001"
2012,مايو,"3,799,141"
2012,يونيو,"3,463,583"
2012,يوليو,"2,365,612"
2012,أغسطس,"3,282,007"
2012,سبتمبر,"2,008,244"
2012,أكتوبر,"1,679,793"
2012,نوفمبر,"2,753,919"
2012,ديسمبر,"2,521,911"
2013,يناير,"1,490,883"
2013,فبراير,"2,008,668"
2013,مارس,"1,983,100"
2013,إبريل,"1,786,430"
2013,مايو,"2,044,285"
2013,يونيو,"1,499,593"
2013,يوليو,"1,780,561"
2013,أغسطس,"794,629"
2013,سبتمبر,"2,134,765"
2013,أكتوبر,"1,095,540"
2013,نوفمبر,"1,488,256"
2013,ديسمبر,"1,333,325"
2014,يناير,"1,766,915"
2014,فبراير,"2,413,092"
2014,مارس,"1,650,440"
2014,إبريل,"1,231,706"
2014,مايو,"1,497,398"
2014,يونيو,"945,815"
2014,يوليو,"2,806,271"
2014,أغسطس,"2,795,221"
2014,سبتمبر,"1,741,635"
2014,أكتوبر,"3,227,317"
2014,نوفمبر,"856,916"
2014,ديسمبر,"2,425,570"
2015,يناير,"632,706"
2015,فبراير,"1,601,743"
2015,مارس,"2,290,164"
2015,إبريل,"1,886,865"
2015,مايو,"1,432,079"
2015,يونيو,"1,361,148"
2015,يوليو,"1,432,427"
2015,أغسطس,"1,160,570"
2015,سبتمبر,"259,975"
2015,أكتوبر,"421,127"
2015,نوفمبر,"2,302,250"
2015,ديسمبر,"1,823,414"
2016,يناير,"1,074,626"
2016,فبراير,"1,468,771"
2016,مارس,"1,919,726"
2016,إبريل,"2,328,010"
2016,مايو,"2,370,528"
2016,يونيو,"2,326,172"
2016,يوليو,"2,322,808"
2016,أغسطس,"2,581,931"
2016,سبتمبر,"3,129,303"
2016,أكتوبر,"2,234,631"
2016,نوفمبر,"3,466,351"
2016,ديسمبر,"633,645"
2017,يناير,"5,997,594"
2017,فبراير,"1,926,409"
2017,مارس,"2,128,328"
2017,إبريل,"1,940,720"
2017,مايو,"1,055,122"
2017,يونيو,"1,482,385"
2017,يوليو,"2,525,029"
2017,أغسطس,"1,504,538"
2017,سبتمبر,"694,499"
2017,أكتوبر,"1,590,921"
2017,نوفمبر,"2,114,819"
2017,ديسمبر,"1,463,438"
2018,يناير,"1,399,526"
2018,فبراير,"1,825,087"
2018,مارس,"1,972,035"
2018,إبريل,"2,236,835"
2018,مايو,"8,362,174"
2018,يونيو,"394,546"
2018,يوليو,"398,041"
2018,أغسطس,"465,279"
2018,سبتمبر,"303,631"
2018,أكتوبر,"508,405"
2018,نوفمبر,"483,176"
2018,ديسمبر,"445,562"
2019,يناير,"662,796"
2019,فبراير,"891,787"
2019,مارس,"951,496"
2019,إبريل,"681,089"
2019,مايو,"544,614"
2019,يونيو,"1,098,220"
2019,يوليو,"621,808"
2019,أغسطس,"491,984"
2019,سبتمبر,"1,688,670"
2019,أكتوبر,"2,094,751"
2019,نوفمبر,"751,278"
2019,ديسمبر,"2,228,853"
2020,يناير,"872,247"
2020,فبراير,"1,114,385"
2020,مارس,"876,403"
2020,إبريل,"265,024"
2020,مايو,"306,664"
2020,يونيو,"287,365"
2020,يوليو,"259,446"
2020,أغسطس,"192,370"
2020,سبتمبر,"781,579"
2020,أكتوبر,"980,137"
2020,نوفمبر,"1,257,219"
2020,ديسمبر,"24,150,807"
2021,يناير,"1,639,309"
2021,فبراير,"1,215,914"
2021,مارس,"1,769,185"
2021,إبريل,"605,617"
2021,مايو,"771,659"
2021,يونيو,"999,487"
2021,يوليو,"446,122"
2021,أغسطس,"888,775"
2021,سبتمبر,"1,033,366"
2021,أكتوبر,"1,823,006"
2021,نوفمبر,"1,537,850"
2021,ديسمبر,"762,320"
2022,يناير,"682,230"
2022,فبراير,"1,033,498"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
