Item,Amount,Value
برتقال طازج أو مجفف,1.6,مليون دولار
يوسفى طازج أو مجفف,896.5,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,390.6,ألف دولار
بودره بولي ايثلين P.E.T,196.7,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,154.7,ألف دولار
نباتات طبيه أخرى,63.9,ألف دولار
بلح طازج أو مجفف,60.2,ألف دولار
فراوله محفوظه مؤقتا,53.0,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),46.2,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,45.4,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,39.6,ألف دولار
بطاطس طازجه اومبرده أخرى,32.2,ألف دولار
فراوله طازجه,30.2,ألف دولار
أغطية أرضيات نسجيه أخرى,18.3,ألف دولار
جريب فروت طازج أو مجفف,12.9,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,7.7,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,6.6,ألف دولار
إكسسوارات الأثاث من أنواع البلاستيك الأخرى,2.9,ألف دولار
عوامل وسيطة مساعدة (كاتالست) من معادن نفيسة او مركبات معادن نفيسة   كمادة نشطة,0.2,ألف دولار
