Year,Month,Export Amount
2012,يناير,"3,812,259"
2012,فبراير,"1,628,810"
2012,مارس,"5,007,892"
2012,إبريل,"1,625,127"
2012,مايو,"2,065,094"
2012,يونيو,"461,835"
2012,يوليو,"93,684"
2012,أغسطس,"408,877"
2012,سبتمبر,"577,267"
2012,أكتوبر,"647,683"
2012,نوفمبر,"219,793"
2012,ديسمبر,"2,798,235"
2013,يناير,"4,233,082"
2013,فبراير,"2,735,846"
2013,مارس,"2,450,779"
2013,إبريل,"2,049,897"
2013,مايو,"1,193,485"
2013,يونيو,"783,326"
2013,يوليو,"299,240"
2013,أغسطس,"440,003"
2013,سبتمبر,"1,295,078"
2013,أكتوبر,"1,383,648"
2013,نوفمبر,"742,243"
2013,ديسمبر,"2,356,566"
2014,يناير,"4,140,256"
2014,فبراير,"1,626,884"
2014,مارس,"2,254,299"
2014,إبريل,"1,263,835"
2014,مايو,"630,944"
2014,يونيو,"925,316"
2014,يوليو,"456,816"
2014,أغسطس,"361,455"
2014,سبتمبر,"760,110"
2014,أكتوبر,"640,921"
2014,نوفمبر,"469,464"
2014,ديسمبر,"1,795,087"
2015,يناير,"2,307,479"
2015,فبراير,"1,129,788"
2015,مارس,"1,675,755"
2015,إبريل,"1,541,909"
2015,مايو,"611,134"
2015,يونيو,"572,677"
2015,يوليو,"416,251"
2015,أغسطس,"422,250"
2015,سبتمبر,"319,591"
2015,أكتوبر,"542,827"
2015,نوفمبر,"494,269"
2015,ديسمبر,"1,537,286"
2016,يناير,"2,050,955"
2016,فبراير,"1,770,106"
2016,مارس,"1,246,069"
2016,إبريل,"1,110,034"
2016,مايو,"504,171"
2016,يونيو,"187,647"
2016,يوليو,"561,853"
2016,أغسطس,"421,010"
2016,سبتمبر,"154,149"
2016,أكتوبر,"555,354"
2016,نوفمبر,"652,538"
2016,ديسمبر,"1,169,588"
2017,يناير,"4,789,841"
2017,فبراير,"1,434,862"
2017,مارس,"2,168,506"
2017,إبريل,"859,405"
2017,مايو,"967,859"
2017,يونيو,"1,066,954"
2017,يوليو,"1,352,978"
2017,أغسطس,"1,845,095"
2017,سبتمبر,"1,565,079"
2017,أكتوبر,"1,324,298"
2017,نوفمبر,"1,031,767"
2017,ديسمبر,"3,305,031"
2018,يناير,"1,937,231"
2018,فبراير,"2,640,755"
2018,مارس,"3,372,008"
2018,إبريل,"1,717,802"
2018,مايو,"1,325,481"
2018,يونيو,"2,497,292"
2018,يوليو,"1,212,016"
2018,أغسطس,"1,700,430"
2018,سبتمبر,"1,372,629"
2018,أكتوبر,"1,803,398"
2018,نوفمبر,"1,866,512"
2018,ديسمبر,"3,721,015"
2019,يناير,"2,749,107"
2019,فبراير,"3,191,049"
2019,مارس,"1,847,989"
2019,إبريل,"1,547,006"
2019,مايو,"1,234,585"
2019,يونيو,"1,075,430"
2019,يوليو,"592,341"
2019,أغسطس,"609,812"
2019,سبتمبر,"505,072"
2019,أكتوبر,"1,049,461"
2019,نوفمبر,"1,006,860"
2019,ديسمبر,"2,300,787"
2020,يناير,"2,024,700"
2020,فبراير,"2,984,973"
2020,مارس,"1,480,970"
2020,إبريل,"498,682"
2020,مايو,"518,667"
2020,يونيو,"464,462"
2020,يوليو,"189,241"
2020,أغسطس,"860,432"
2020,سبتمبر,"1,104,235"
2020,أكتوبر,"545,671"
2020,نوفمبر,"1,250,145"
2020,ديسمبر,"3,557,691"
2021,يناير,"2,709,906"
2021,فبراير,"2,154,491"
2021,مارس,"3,127,101"
2021,إبريل,"1,613,735"
2021,مايو,"1,508,397"
2021,يونيو,"1,304,440"
2021,يوليو,"822,093"
2021,أغسطس,"327,122"
2021,سبتمبر,"457,264"
2021,أكتوبر,"505,428"
2021,نوفمبر,"926,676"
2021,ديسمبر,"2,780,590"
2022,يناير,"1,733,116"
2022,فبراير,"1,992,224"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
