Year,Month,Export Amount
2012,يناير,0
2012,فبراير,30
2012,مارس,"66,641"
2012,إبريل,216
2012,مايو,0
2012,يونيو,0
2012,يوليو,0
2012,أغسطس,0
2012,سبتمبر,"3,873"
2012,أكتوبر,0
2012,نوفمبر,0
2012,ديسمبر,"632,959"
2013,يناير,"833,185"
2013,فبراير,"2,400"
2013,مارس,0
2013,إبريل,"3,229"
2013,مايو,0
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,"28,215"
2013,نوفمبر,"13,770"
2013,ديسمبر,"1,524,011"
2014,يناير,"482,048"
2014,فبراير,"2,052"
2014,مارس,0
2014,إبريل,0
2014,مايو,"28,038"
2014,يونيو,"2,735"
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,0
2014,أكتوبر,"7,518"
2014,نوفمبر,0
2014,ديسمبر,"292,927"
2015,يناير,"180,554"
2015,فبراير,"352,185"
2015,مارس,"101,405"
2015,إبريل,"73,917"
2015,مايو,"406,638"
2015,يونيو,"125,709"
2015,يوليو,"152,166"
2015,أغسطس,"9,753"
2015,سبتمبر,0
2015,أكتوبر,"80,401"
2015,نوفمبر,"135,013"
2015,ديسمبر,"79,572"
2016,يناير,0
2016,فبراير,0
2016,مارس,0
2016,إبريل,"3,343"
2016,مايو,"6,496"
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,"88,397"
2017,يناير,"61,014"
2017,فبراير,"69,674"
2017,مارس,"63,594"
2017,إبريل,"54,730"
2017,مايو,"236,065"
2017,يونيو,"83,588"
2017,يوليو,"72,942"
2017,أغسطس,0
2017,سبتمبر,0
2017,أكتوبر,"57,620"
2017,نوفمبر,"136,417"
2017,ديسمبر,"510,841"
2018,يناير,"168,259"
2018,فبراير,"95,176"
2018,مارس,"157,300"
2018,إبريل,"71,739"
2018,مايو,"85,960"
2018,يونيو,"67,477"
2018,يوليو,"48,682"
2018,أغسطس,"41,665"
2018,سبتمبر,0
2018,أكتوبر,"38,799"
2018,نوفمبر,"245,922"
2018,ديسمبر,"382,579"
2019,يناير,"309,300"
2019,فبراير,"28,262"
2019,مارس,"89,843"
2019,إبريل,"89,688"
2019,مايو,"76,882"
2019,يونيو,"336,715"
2019,يوليو,0
2019,أغسطس,"54,970"
2019,سبتمبر,"157,322"
2019,أكتوبر,"100,206"
2019,نوفمبر,"96,624"
2019,ديسمبر,"268,441"
2020,يناير,"109,992"
2020,فبراير,"70,392"
2020,مارس,"50,989"
2020,إبريل,"35,482"
2020,مايو,253
2020,يونيو,"69,516"
2020,يوليو,"32,298"
2020,أغسطس,"194,158"
2020,سبتمبر,"19,536"
2020,أكتوبر,"74,627"
2020,نوفمبر,"36,325"
2020,ديسمبر,"59,340"
2021,يناير,500
2021,فبراير,"38,350"
2021,مارس,"55,490"
2021,إبريل,"48,512"
2021,مايو,"253,238"
2021,يونيو,"67,025"
2021,يوليو,"99,978"
2021,أغسطس,"26,716"
2021,سبتمبر,"23,550"
2021,أكتوبر,"33,479"
2021,نوفمبر,0
2021,ديسمبر,"12,649"
2022,يناير,"18,608"
2022,فبراير,"88,124"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
