Item,Amount,Value
برتقال طازج أو مجفف,767.4,ألف دولار
ملح غير صالح للطعام و ملح طعام,492.6,ألف دولار
يوسفى طازج أو مجفف,256.1,ألف دولار
نباتات طبيه أخرى,95.8,ألف دولار
بطاطس مجمده,54.6,ألف دولار
بطاطس طازجه اومبرده أخرى,52.1,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,47.8,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),44.3,ألف دولار
نشا القمح,19.7,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,13.1,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,7.4,ألف دولار
طوب حرارى عالى الألومينا والسيلكا بنسبة تزيد عن 50%,5.2,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,3.3,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,3.1,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,0.9,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.6,ألف دولار
