Year,Month,Export Amount
2012,يناير,"1,155,521"
2012,فبراير,"1,049,981"
2012,مارس,"800,903"
2012,إبريل,"878,270"
2012,مايو,"434,479"
2012,يونيو,"389,508"
2012,يوليو,"314,682"
2012,أغسطس,"313,299"
2012,سبتمبر,"230,758"
2012,أكتوبر,"398,380"
2012,نوفمبر,"263,266"
2012,ديسمبر,"873,387"
2013,يناير,"1,377,701"
2013,فبراير,"936,740"
2013,مارس,"1,008,993"
2013,إبريل,"872,291"
2013,مايو,"686,411"
2013,يونيو,"1,299,924"
2013,يوليو,"713,419"
2013,أغسطس,"460,869"
2013,سبتمبر,"529,180"
2013,أكتوبر,"323,002"
2013,نوفمبر,"358,194"
2013,ديسمبر,"1,055,467"
2014,يناير,"1,852,549"
2014,فبراير,"1,193,465"
2014,مارس,"1,112,863"
2014,إبريل,"878,558"
2014,مايو,"884,846"
2014,يونيو,"619,797"
2014,يوليو,"468,105"
2014,أغسطس,"732,903"
2014,سبتمبر,"814,675"
2014,أكتوبر,"435,362"
2014,نوفمبر,"389,325"
2014,ديسمبر,"875,523"
2015,يناير,"1,495,190"
2015,فبراير,"1,331,994"
2015,مارس,"1,401,522"
2015,إبريل,"592,777"
2015,مايو,"1,014,130"
2015,يونيو,"516,479"
2015,يوليو,"330,453"
2015,أغسطس,"150,533"
2015,سبتمبر,"194,955"
2015,أكتوبر,"137,551"
2015,نوفمبر,"210,967"
2015,ديسمبر,"224,715"
2016,يناير,"561,214"
2016,فبراير,"595,813"
2016,مارس,"341,064"
2016,إبريل,"545,424"
2016,مايو,"390,557"
2016,يونيو,"545,174"
2016,يوليو,"285,349"
2016,أغسطس,"457,186"
2016,سبتمبر,"472,612"
2016,أكتوبر,"118,029"
2016,نوفمبر,"282,802"
2016,ديسمبر,"135,860"
2017,يناير,"1,627,684"
2017,فبراير,"740,935"
2017,مارس,"788,028"
2017,إبريل,"724,140"
2017,مايو,"722,437"
2017,يونيو,"150,233"
2017,يوليو,"207,205"
2017,أغسطس,"237,869"
2017,سبتمبر,"40,497"
2017,أكتوبر,"173,594"
2017,نوفمبر,"77,430"
2017,ديسمبر,"393,425"
2018,يناير,"487,953"
2018,فبراير,"985,281"
2018,مارس,"728,235"
2018,إبريل,"433,294"
2018,مايو,"302,336"
2018,يونيو,"360,810"
2018,يوليو,"416,681"
2018,أغسطس,"146,805"
2018,سبتمبر,"177,914"
2018,أكتوبر,"246,159"
2018,نوفمبر,"129,944"
2018,ديسمبر,"493,344"
2019,يناير,"696,397"
2019,فبراير,"877,292"
2019,مارس,"993,946"
2019,إبريل,"543,839"
2019,مايو,"399,260"
2019,يونيو,"231,001"
2019,يوليو,"284,532"
2019,أغسطس,"240,671"
2019,سبتمبر,"113,843"
2019,أكتوبر,"208,182"
2019,نوفمبر,"133,209"
2019,ديسمبر,"602,086"
2020,يناير,"972,755"
2020,فبراير,"743,295"
2020,مارس,"638,398"
2020,إبريل,"586,939"
2020,مايو,"291,922"
2020,يونيو,"434,610"
2020,يوليو,"537,385"
2020,أغسطس,"254,614"
2020,سبتمبر,"245,432"
2020,أكتوبر,"114,825"
2020,نوفمبر,"134,774"
2020,ديسمبر,"1,175,371"
2021,يناير,"1,331,284"
2021,فبراير,"605,947"
2021,مارس,"686,239"
2021,إبريل,"429,623"
2021,مايو,"869,734"
2021,يونيو,"625,886"
2021,يوليو,"321,922"
2021,أغسطس,"360,030"
2021,سبتمبر,"448,803"
2021,أكتوبر,"137,599"
2021,نوفمبر,"190,934"
2021,ديسمبر,"421,237"
2022,يناير,"1,289,480"
2022,فبراير,"574,626"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
