Item,Amount,Value
بلح طازج أو مجفف,6.7,مليون دولار
زيت صويا لغير البيع بالتجزئه,5.9,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",5.0,مليون دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,4.5,مليون دولار
بذور سمسم,3.1,مليون دولار
سماد نترات النشادر الجيرى,2.9,مليون دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,2.4,مليون دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,2.2,مليون دولار
شامبو لغسيل الشعر  (دون تحديد),2.1,مليون دولار
بودره بولي فنيل كلوريد  P.V.S,2.1,مليون دولار
أحجار طبيعيه للمبانى مصقوله,1.6,مليون دولار
قماش الدنيم أو الجينز,1.6,مليون دولار
المارجرين أو بديل الزبده ? زبده صناعيه,1.4,مليون دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),1.3,مليون دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),1.3,مليون دولار
غيرها من دنان وبراميل وصفائح وعلب واوعيه مماثله من الومنيوم,1.2,مليون دولار
سلك الومنيوم قطر اقل من 7 ميلليمتر,1.2,مليون دولار
صودا كاويه سائله,1.1,مليون دولار
اسمنت فوندو ..... الخ,1.0,مليون دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),961.6,ألف دولار
لبان بلـــدى,928.4,ألف دولار
مخلوط P.V.C,896.9,ألف دولار
خميره جافه نشطه,850.2,ألف دولار
بودره بولي ايثلين P.E.T,792.1,ألف دولار
الواح و شرائط الومنيوم تزيد عن 2 مم,740.7,ألف دولار
إطارات السيارات النقل و الشاحنات,730.1,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,684.4,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,652.8,ألف دولار
كبريتات ماغنيسيوم,631.2,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,606.7,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,603.7,ألف دولار
محضرات غذائيه للاطفال,565.1,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,554.3,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,541.9,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,528.3,ألف دولار
صناديق عرض وماشابه,503.0,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,500.3,ألف دولار
عســل نحــل,482.3,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,464.0,ألف دولار
راتنجات ميلامين,417.0,ألف دولار
سجاد نايلون آخر,401.7,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),395.1,ألف دولار
"لواح , افرخ من البلاستيك",383.6,ألف دولار
اطقم حمامات / بياضات متنوعه,368.4,ألف دولار
نشا ذره,366.4,ألف دولار
قوالب شيكولاته,364.7,ألف دولار
سيليكات صوديوم أخر,364.3,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,355.6,ألف دولار
بوليستر أولى,354.6,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,352.7,ألف دولار
قطعه أدوات المائده غير مطليه بمعادن ثمينه,346.7,ألف دولار
سمن نباتى,343.7,ألف دولار
زجاج مسطح عادى سادة غير مسلح,318.4,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,317.7,ألف دولار
حبيبات  P.V.C غير ملدن,307.9,ألف دولار
بيكربونات كالسيوم,302.4,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,300.7,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,293.5,ألف دولار
أقمشه تحتوى على 85% بوليستر مصبوغه أو غير مصبوغه أخرى,280.5,ألف دولار
شيكولاته ساده,276.0,ألف دولار
امواس و شفرات للحلاقه,272.1,ألف دولار
الواح و شرائط  سبائك الومنيوم لا تزيد عن 2 مم,268.6,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,242.0,ألف دولار
