Year,Month,Export Amount
2012,يناير,"25,525,632"
2012,فبراير,"35,411,792"
2012,مارس,"47,899,896"
2012,إبريل,"34,930,232"
2012,مايو,"35,127,404"
2012,يونيو,"31,215,374"
2012,يوليو,"42,686,949"
2012,أغسطس,"25,420,452"
2012,سبتمبر,"30,386,665"
2012,أكتوبر,"20,266,218"
2012,نوفمبر,"37,723,848"
2012,ديسمبر,"25,829,541"
2013,يناير,"30,727,418"
2013,فبراير,"32,788,266"
2013,مارس,"40,252,261"
2013,إبريل,"42,996,492"
2013,مايو,"43,996,703"
2013,يونيو,"23,591,488"
2013,يوليو,"33,544,074"
2013,أغسطس,"17,448,594"
2013,سبتمبر,"32,045,574"
2013,أكتوبر,"34,519,672"
2013,نوفمبر,"27,228,186"
2013,ديسمبر,"38,277,844"
2014,يناير,"38,834,539"
2014,فبراير,"30,498,914"
2014,مارس,"42,629,755"
2014,إبريل,"48,745,139"
2014,مايو,"46,441,899"
2014,يونيو,"58,957,282"
2014,يوليو,"35,090,919"
2014,أغسطس,"36,593,898"
2014,سبتمبر,"40,260,446"
2014,أكتوبر,"34,913,194"
2014,نوفمبر,"32,652,492"
2014,ديسمبر,"38,077,002"
2015,يناير,"26,796,068"
2015,فبراير,"25,325,281"
2015,مارس,"30,883,725"
2015,إبريل,"28,927,160"
2015,مايو,"28,318,288"
2015,يونيو,"27,256,371"
2015,يوليو,"23,965,482"
2015,أغسطس,"23,126,936"
2015,سبتمبر,"21,042,845"
2015,أكتوبر,"27,388,185"
2015,نوفمبر,"40,880,421"
2015,ديسمبر,"31,214,060"
2016,يناير,"21,017,467"
2016,فبراير,"25,160,393"
2016,مارس,"34,669,701"
2016,إبريل,"29,991,824"
2016,مايو,"32,917,962"
2016,يونيو,"28,708,214"
2016,يوليو,"18,160,182"
2016,أغسطس,"23,351,633"
2016,سبتمبر,"26,417,409"
2016,أكتوبر,"34,892,490"
2016,نوفمبر,"28,520,186"
2016,ديسمبر,"25,429,857"
2017,يناير,"103,774,864"
2017,فبراير,"24,968,116"
2017,مارس,"30,030,914"
2017,إبريل,"26,674,529"
2017,مايو,"38,891,211"
2017,يونيو,"33,248,034"
2017,يوليو,"36,398,095"
2017,أغسطس,"28,578,807"
2017,سبتمبر,"20,951,577"
2017,أكتوبر,"39,367,922"
2017,نوفمبر,"33,938,030"
2017,ديسمبر,"38,834,392"
2018,يناير,"38,961,941"
2018,فبراير,"33,476,384"
2018,مارس,"45,864,619"
2018,إبريل,"44,531,136"
2018,مايو,"34,389,118"
2018,يونيو,"28,307,979"
2018,يوليو,"36,034,119"
2018,أغسطس,"31,367,927"
2018,سبتمبر,"34,506,532"
2018,أكتوبر,"42,548,596"
2018,نوفمبر,"46,517,749"
2018,ديسمبر,"42,027,783"
2019,يناير,"28,072,531"
2019,فبراير,"31,756,548"
2019,مارس,"45,977,312"
2019,إبريل,"48,128,131"
2019,مايو,"42,366,555"
2019,يونيو,"60,830,827"
2019,يوليو,"64,788,228"
2019,أغسطس,"29,616,223"
2019,سبتمبر,"40,424,649"
2019,أكتوبر,"57,732,857"
2019,نوفمبر,"60,570,580"
2019,ديسمبر,"56,905,371"
2020,يناير,"35,070,857"
2020,فبراير,"38,534,311"
2020,مارس,"45,746,302"
2020,إبريل,"17,311,797"
2020,مايو,"15,053,971"
2020,يونيو,"33,411,059"
2020,يوليو,"47,781,442"
2020,أغسطس,"30,810,054"
2020,سبتمبر,"41,979,511"
2020,أكتوبر,"42,536,701"
2020,نوفمبر,"38,843,909"
2020,ديسمبر,"50,289,658"
2021,يناير,"51,690,782"
2021,فبراير,"51,942,640"
2021,مارس,"78,244,695"
2021,إبريل,"56,710,837"
2021,مايو,"55,941,593"
2021,يونيو,"63,172,394"
2021,يوليو,"42,277,976"
2021,أغسطس,"58,832,385"
2021,سبتمبر,"49,133,861"
2021,أكتوبر,"77,630,379"
2021,نوفمبر,"75,992,557"
2021,ديسمبر,"55,874,614"
2022,يناير,"47,214,531"
2022,فبراير,"59,238,573"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
