Year,Month,Export Amount
2012,يناير,"49,381"
2012,فبراير,"61,698"
2012,مارس,"195,151"
2012,إبريل,"106,750"
2012,مايو,"44,279"
2012,يونيو,"12,523"
2012,يوليو,"37,500"
2012,أغسطس,"50,927"
2012,سبتمبر,"80,160"
2012,أكتوبر,0
2012,نوفمبر,"39,528"
2012,ديسمبر,"13,308"
2013,يناير,"109,933"
2013,فبراير,"25,060"
2013,مارس,"89,180"
2013,إبريل,"64,814"
2013,مايو,"58,184"
2013,يونيو,"7,647"
2013,يوليو,"32,471"
2013,أغسطس,"15,000"
2013,سبتمبر,"136,501"
2013,أكتوبر,"15,826"
2013,نوفمبر,"70,607"
2013,ديسمبر,"109,094"
2014,يناير,"34,320"
2014,فبراير,"17,680"
2014,مارس,"176,396"
2014,إبريل,"131,207"
2014,مايو,"36,560"
2014,يونيو,"257,807"
2014,يوليو,"11,831"
2014,أغسطس,"137,367"
2014,سبتمبر,"312,386"
2014,أكتوبر,"143,502"
2014,نوفمبر,"75,534"
2014,ديسمبر,"26,044"
2015,يناير,"31,601"
2015,فبراير,"54,389"
2015,مارس,"128,347"
2015,إبريل,"73,576"
2015,مايو,"36,532"
2015,يونيو,0
2015,يوليو,"167,774"
2015,أغسطس,"68,570"
2015,سبتمبر,"22,510"
2015,أكتوبر,0
2015,نوفمبر,"40,351"
2015,ديسمبر,"16,739"
2016,يناير,0
2016,فبراير,0
2016,مارس,"150,034"
2016,إبريل,"55,282"
2016,مايو,"74,964"
2016,يونيو,"17,007"
2016,يوليو,0
2016,أغسطس,"158,986"
2016,سبتمبر,"138,985"
2016,أكتوبر,"2,768"
2016,نوفمبر,"22,549"
2016,ديسمبر,"247,940"
2017,يناير,"124,891"
2017,فبراير,"62,558"
2017,مارس,"231,249"
2017,إبريل,"85,954"
2017,مايو,"143,032"
2017,يونيو,"24,705"
2017,يوليو,"8,302"
2017,أغسطس,"50,185"
2017,سبتمبر,"181,756"
2017,أكتوبر,"185,543"
2017,نوفمبر,"8,000"
2017,ديسمبر,"31,736"
2018,يناير,"151,672"
2018,فبراير,"224,826"
2018,مارس,"428,106"
2018,إبريل,"48,353"
2018,مايو,"130,237"
2018,يونيو,"17,286"
2018,يوليو,"3,958"
2018,أغسطس,"74,349"
2018,سبتمبر,"23,980"
2018,أكتوبر,"48,381"
2018,نوفمبر,"7,560"
2018,ديسمبر,"90,994"
2019,يناير,"79,079"
2019,فبراير,"161,467"
2019,مارس,"352,628"
2019,إبريل,"251,491"
2019,مايو,"33,306"
2019,يونيو,"15,852"
2019,يوليو,"6,930"
2019,أغسطس,0
2019,سبتمبر,"81,476"
2019,أكتوبر,"15,050"
2019,نوفمبر,"32,460"
2019,ديسمبر,"113,505"
2020,يناير,"202,744"
2020,فبراير,"272,366"
2020,مارس,"427,759"
2020,إبريل,"105,986"
2020,مايو,"7,488"
2020,يونيو,"40,676"
2020,يوليو,0
2020,أغسطس,"34,100"
2020,سبتمبر,"130,941"
2020,أكتوبر,"14,976"
2020,نوفمبر,0
2020,ديسمبر,"98,689"
2021,يناير,"219,610"
2021,فبراير,"336,896"
2021,مارس,"261,054"
2021,إبريل,"246,133"
2021,مايو,"51,255"
2021,يونيو,"30,642"
2021,يوليو,"136,464"
2021,أغسطس,"23,742"
2021,سبتمبر,"15,520"
2021,أكتوبر,"28,840"
2021,نوفمبر,"18,975"
2021,ديسمبر,"125,087"
2022,يناير,"134,640"
2022,فبراير,"131,249"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
