Item,Amount,Value
دقيق حنطة قمح ودقيق خليط حنطة,3.2,مليون دولار
مسمار من حديد او صلب,984.8,ألف دولار
ورنيشات قاعدتها P.V.A,785.0,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,450.6,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,408.7,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,383.0,ألف دولار
زيت عباد الشمس بصـفة عـامة,268.7,ألف دولار
غواسل عضوية بحالة ايونات سالبة,233.8,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,232.2,ألف دولار
عجائن اخرى غير محتويه على بيض,185.6,ألف دولار
راتنجات الكيديه,182.4,ألف دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,178.0,ألف دولار
قماش الدنيم أو الجينز,157.5,ألف دولار
اصناف مماثله غير مزخرفه اساسها الجبس,141.8,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,141.2,ألف دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",125.9,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",114.6,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,109.2,ألف دولار
غيرها من مصنوعات من اسفلت او من مواد مماثله,104.6,ألف دولار
لبن بودره,97.5,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,94.0,ألف دولار
خميره جافه نشطه,91.5,ألف دولار
لبن بودره محلى,77.5,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,69.0,ألف دولار
دقيق حبوب أخرى,67.5,ألف دولار
,55.0,ألف دولار
ورنيشات قاعدتها بولى اكريلك,53.6,ألف دولار
بيكربونات كالسيوم,51.3,ألف دولار
مظاريف ورقية,49.2,ألف دولار
جلوكوز و عسل الجلوكوز,47.0,ألف دولار
صلصات ومحضرات مماثله اخرى,37.5,ألف دولار
تنر (تنر عضوى عادى او مخصوص),34.9,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),28.5,ألف دولار
اسلاك حديدية فى لفائف مغلفة او مطلية بالزنك,28.4,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),27.3,ألف دولار
لعزل الحراره ?  الصوت,24.6,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,23.8,ألف دولار
ثلاجات ومجمدات مشتركه مثبته بأبواب داخليه منفصله,22.1,ألف دولار
برتقال),20.4,ألف دولار
خوص),20.3,ألف دولار
كربونات ثنائيه الصوديوم,16.2,ألف دولار
سلك المواعين,15.5,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,15.3,ألف دولار
اجهزه واصناف للمختبرات ?  لاستعمالات كيماويه ?  صناعيه,13.8,ألف دولار
راتنجات يوريا,12.2,ألف دولار
معاملات تجميع الدم,11.4,ألف دولار
عصير خليط,11.2,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,11.0,ألف دولار
بلح طازج أو مجفف,7.5,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),3.5,ألف دولار
حلى غواية تقليدية اخرى,0.3,ألف دولار
كتالوجات تجاريه وماشابه (طباعه اعلانات دعايه وملصقات),0.1,ألف دولار
