Year,Month,Export Amount
2012,يناير,"3,891,986"
2012,فبراير,"10,571,673"
2012,مارس,"5,436,895"
2012,إبريل,"4,776,016"
2012,مايو,"5,140,240"
2012,يونيو,"3,154,641"
2012,يوليو,"2,671,676"
2012,أغسطس,"3,630,834"
2012,سبتمبر,"3,836,431"
2012,أكتوبر,"5,322,865"
2012,نوفمبر,"4,519,551"
2012,ديسمبر,"4,196,644"
2013,يناير,"1,774,073"
2013,فبراير,"3,304,324"
2013,مارس,"2,732,717"
2013,إبريل,"2,828,848"
2013,مايو,"2,855,385"
2013,يونيو,"2,893,084"
2013,يوليو,"3,848,044"
2013,أغسطس,"3,671,191"
2013,سبتمبر,"14,943,366"
2013,أكتوبر,"4,687,406"
2013,نوفمبر,"6,793,179"
2013,ديسمبر,"4,874,025"
2014,يناير,"2,660,019"
2014,فبراير,"2,747,135"
2014,مارس,"3,846,516"
2014,إبريل,"2,558,492"
2014,مايو,"3,976,578"
2014,يونيو,"4,131,552"
2014,يوليو,"3,911,287"
2014,أغسطس,"4,911,596"
2014,سبتمبر,"5,643,702"
2014,أكتوبر,"3,695,763"
2014,نوفمبر,"2,886,783"
2014,ديسمبر,"3,930,497"
2015,يناير,"1,845,226"
2015,فبراير,"2,383,994"
2015,مارس,"3,006,980"
2015,إبريل,"2,843,008"
2015,مايو,"3,611,483"
2015,يونيو,"4,199,090"
2015,يوليو,"3,349,272"
2015,أغسطس,"5,217,111"
2015,سبتمبر,"4,834,588"
2015,أكتوبر,"5,242,109"
2015,نوفمبر,"5,038,202"
2015,ديسمبر,"4,894,723"
2016,يناير,"3,048,064"
2016,فبراير,"8,635,405"
2016,مارس,"3,182,074"
2016,إبريل,"4,276,492"
2016,مايو,"3,037,516"
2016,يونيو,"4,986,849"
2016,يوليو,"3,643,977"
2016,أغسطس,"4,595,898"
2016,سبتمبر,"3,975,006"
2016,أكتوبر,"7,258,009"
2016,نوفمبر,"7,639,265"
2016,ديسمبر,"7,125,387"
2017,يناير,"18,359,971"
2017,فبراير,"4,076,106"
2017,مارس,"5,289,880"
2017,إبريل,"6,897,716"
2017,مايو,"9,049,802"
2017,يونيو,"7,290,610"
2017,يوليو,"9,001,881"
2017,أغسطس,"7,948,424"
2017,سبتمبر,"6,879,363"
2017,أكتوبر,"9,758,216"
2017,نوفمبر,"11,131,419"
2017,ديسمبر,"7,315,618"
2018,يناير,"8,948,722"
2018,فبراير,"7,886,666"
2018,مارس,"5,781,931"
2018,إبريل,"4,970,366"
2018,مايو,"6,188,621"
2018,يونيو,"4,562,319"
2018,يوليو,"7,596,538"
2018,أغسطس,"5,693,311"
2018,سبتمبر,"10,053,462"
2018,أكتوبر,"10,305,142"
2018,نوفمبر,"9,819,603"
2018,ديسمبر,"8,821,875"
2019,يناير,"5,055,976"
2019,فبراير,"5,695,018"
2019,مارس,"5,629,222"
2019,إبريل,0
2019,مايو,0
2019,يونيو,0
2019,يوليو,0
2019,أغسطس,0
2019,سبتمبر,0
2019,أكتوبر,0
2019,نوفمبر,0
2019,ديسمبر,0
2020,يناير,0
2020,فبراير,0
2020,مارس,0
2020,إبريل,0
2020,مايو,0
2020,يونيو,0
2020,يوليو,"7,433,190"
2020,أغسطس,"8,423,303"
2020,سبتمبر,"10,427,454"
2020,أكتوبر,"7,006,802"
2020,نوفمبر,"6,102,517"
2020,ديسمبر,"8,987,848"
2021,يناير,"6,681,763"
2021,فبراير,"4,871,742"
2021,مارس,"7,488,312"
2021,إبريل,"6,379,876"
2021,مايو,"7,660,328"
2021,يونيو,"11,795,720"
2021,يوليو,"12,919,270"
2021,أغسطس,"11,635,300"
2021,سبتمبر,"9,714,648"
2021,أكتوبر,"9,641,387"
2021,نوفمبر,"6,102,350"
2021,ديسمبر,"6,093,205"
2022,يناير,"5,354,197"
2022,فبراير,"5,845,041"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
