Year,Month,Export Amount
2012,يناير,"334,751"
2012,فبراير,"158,838"
2012,مارس,"206,842"
2012,إبريل,"284,412"
2012,مايو,"140,065"
2012,يونيو,"211,302"
2012,يوليو,"247,133"
2012,أغسطس,"146,670"
2012,سبتمبر,"195,215"
2012,أكتوبر,"23,109"
2012,نوفمبر,"200,195"
2012,ديسمبر,"329,785"
2013,يناير,"131,839"
2013,فبراير,"335,348"
2013,مارس,"507,961"
2013,إبريل,"406,234"
2013,مايو,"149,481"
2013,يونيو,"53,349"
2013,يوليو,"47,419"
2013,أغسطس,"84,303"
2013,سبتمبر,"67,253"
2013,أكتوبر,"203,988"
2013,نوفمبر,"298,962"
2013,ديسمبر,"125,705"
2014,يناير,"186,224"
2014,فبراير,"379,029"
2014,مارس,"239,286"
2014,إبريل,"331,519"
2014,مايو,"99,316"
2014,يونيو,"275,650"
2014,يوليو,"297,406"
2014,أغسطس,"159,240"
2014,سبتمبر,"24,734"
2014,أكتوبر,"281,134"
2014,نوفمبر,"243,833"
2014,ديسمبر,"133,299"
2015,يناير,"90,014"
2015,فبراير,"492,405"
2015,مارس,"312,365"
2015,إبريل,"519,724"
2015,مايو,"391,980"
2015,يونيو,"99,434"
2015,يوليو,"385,255"
2015,أغسطس,"541,658"
2015,سبتمبر,"268,713"
2015,أكتوبر,"69,326"
2015,نوفمبر,"347,729"
2015,ديسمبر,"297,620"
2016,يناير,"449,187"
2016,فبراير,"313,818"
2016,مارس,"473,859"
2016,إبريل,"207,236"
2016,مايو,"153,937"
2016,يونيو,"408,713"
2016,يوليو,"27,444"
2016,أغسطس,"331,567"
2016,سبتمبر,"60,598"
2016,أكتوبر,"69,303"
2016,نوفمبر,"245,346"
2016,ديسمبر,"534,278"
2017,يناير,"1,167,601"
2017,فبراير,"198,726"
2017,مارس,"466,117"
2017,إبريل,"260,361"
2017,مايو,"114,521"
2017,يونيو,"359,334"
2017,يوليو,"322,777"
2017,أغسطس,"64,678"
2017,سبتمبر,"128,314"
2017,أكتوبر,"318,880"
2017,نوفمبر,"131,632"
2017,ديسمبر,"414,235"
2018,يناير,"389,905"
2018,فبراير,"338,840"
2018,مارس,"500,488"
2018,إبريل,"268,711"
2018,مايو,"470,352"
2018,يونيو,"77,071"
2018,يوليو,"356,978"
2018,أغسطس,"299,286"
2018,سبتمبر,"118,706"
2018,أكتوبر,"405,846"
2018,نوفمبر,"413,845"
2018,ديسمبر,"270,894"
2019,يناير,"309,182"
2019,فبراير,"644,947"
2019,مارس,"476,163"
2019,إبريل,"365,921"
2019,مايو,"330,441"
2019,يونيو,"74,738"
2019,يوليو,"383,256"
2019,أغسطس,"102,503"
2019,سبتمبر,"327,873"
2019,أكتوبر,"151,555"
2019,نوفمبر,"88,779"
2019,ديسمبر,"504,648"
2020,يناير,"730,059"
2020,فبراير,"335,889"
2020,مارس,"288,117"
2020,إبريل,"403,246"
2020,مايو,"19,893"
2020,يونيو,"32,232"
2020,يوليو,"44,986"
2020,أغسطس,"301,673"
2020,سبتمبر,"85,380"
2020,أكتوبر,"81,503"
2020,نوفمبر,"308,829"
2020,ديسمبر,"236,702"
2021,يناير,"504,024"
2021,فبراير,"482,526"
2021,مارس,"599,923"
2021,إبريل,"369,520"
2021,مايو,"124,973"
2021,يونيو,"600,300"
2021,يوليو,"149,272"
2021,أغسطس,"77,588"
2021,سبتمبر,"370,878"
2021,أكتوبر,"307,898"
2021,نوفمبر,"340,338"
2021,ديسمبر,"352,300"
2022,يناير,"771,528"
2022,فبراير,"426,367"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
