Item,Amount,Value
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,2.4,مليون دولار
بنطلون رجالى من القطن غير مصنره,678.1,ألف دولار
,574.8,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,213.2,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,184.2,ألف دولار
أجزاء دوائر منكامله الكترونيه أخرى,177.0,ألف دولار
غواسل عضوية بحالة ايونات سالبة,156.4,ألف دولار
بودرة صلب,121.4,ألف دولار
سجاد نايلون آخر,120.7,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,108.3,ألف دولار
نباتات طبيه أخرى,103.9,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,98.2,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,86.0,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,81.7,ألف دولار
قماش دوتر بروش,74.1,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,71.7,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,70.1,ألف دولار
حمض ستريك صناعى,62.4,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",61.7,ألف دولار
راتنجات يوريا,60.3,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,53.4,ألف دولار
فرش كنس,49.6,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,48.9,ألف دولار
زيوت عطريه (من موالح) متعدده,33.5,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,30.6,ألف دولار
فراوله محفوظه مؤقتا,29.9,ألف دولار
سليب رجالى قطن مصنره,21.5,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,17.5,ألف دولار
قمصان رجالى من الياف أخرى مصنره,13.7,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,13.4,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,13.0,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,11.3,ألف دولار
زيوت عطرية أخرى,9.6,ألف دولار
بدل رجالى من ألياف نسجيه أخرى غير مصنره,9.0,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,5.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,4.2,ألف دولار
بصل مجفف,2.7,ألف دولار
بنطلون حريمى من الياف نسجيه أخرى غير مصنره,2.0,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,2.0,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.2,ألف دولار
