Year,Month,Export Amount
2012,يناير,"661,291"
2012,فبراير,"811,306"
2012,مارس,"871,287"
2012,إبريل,"1,468,089"
2012,مايو,"793,964"
2012,يونيو,"677,401"
2012,يوليو,"1,243,477"
2012,أغسطس,"3,206,780"
2012,سبتمبر,"426,385"
2012,أكتوبر,"397,738"
2012,نوفمبر,"2,842,856"
2012,ديسمبر,"948,246"
2013,يناير,"818,652"
2013,فبراير,"638,427"
2013,مارس,"1,166,616"
2013,إبريل,"584,284"
2013,مايو,"818,425"
2013,يونيو,"653,976"
2013,يوليو,"755,129"
2013,أغسطس,"641,615"
2013,سبتمبر,"1,330,635"
2013,أكتوبر,"1,051,496"
2013,نوفمبر,"724,803"
2013,ديسمبر,"1,333,289"
2014,يناير,"1,153,234"
2014,فبراير,"993,670"
2014,مارس,"1,846,524"
2014,إبريل,"2,828,716"
2014,مايو,"2,916,478"
2014,يونيو,"1,645,881"
2014,يوليو,"882,426"
2014,أغسطس,"678,569"
2014,سبتمبر,"1,723,426"
2014,أكتوبر,"1,025,627"
2014,نوفمبر,"1,598,165"
2014,ديسمبر,"873,463"
2015,يناير,"955,003"
2015,فبراير,"1,170,911"
2015,مارس,"918,409"
2015,إبريل,"1,964,153"
2015,مايو,"2,094,339"
2015,يونيو,"2,318,520"
2015,يوليو,"1,648,281"
2015,أغسطس,"1,207,613"
2015,سبتمبر,"852,865"
2015,أكتوبر,"1,103,399"
2015,نوفمبر,"1,422,252"
2015,ديسمبر,"1,778,131"
2016,يناير,"1,442,894"
2016,فبراير,"2,564,531"
2016,مارس,"1,231,794"
2016,إبريل,"1,309,330"
2016,مايو,"3,584,682"
2016,يونيو,"2,311,916"
2016,يوليو,"1,616,999"
2016,أغسطس,"1,670,105"
2016,سبتمبر,"1,815,329"
2016,أكتوبر,"2,060,921"
2016,نوفمبر,"8,615,889"
2016,ديسمبر,"1,317,242"
2017,يناير,"5,384,468"
2017,فبراير,"882,373"
2017,مارس,"1,819,239"
2017,إبريل,"3,120,509"
2017,مايو,"8,024,027"
2017,يونيو,"5,694,393"
2017,يوليو,"2,246,920"
2017,أغسطس,"3,386,681"
2017,سبتمبر,"3,537,966"
2017,أكتوبر,"2,625,007"
2017,نوفمبر,"2,152,131"
2017,ديسمبر,"1,598,297"
2018,يناير,"1,052,511"
2018,فبراير,"1,165,874"
2018,مارس,"2,396,095"
2018,إبريل,"1,084,753"
2018,مايو,"1,334,565"
2018,يونيو,"1,318,226"
2018,يوليو,"7,637,896"
2018,أغسطس,"1,113,790"
2018,سبتمبر,"1,182,739"
2018,أكتوبر,"1,572,446"
2018,نوفمبر,"3,428,256"
2018,ديسمبر,"2,858,631"
2019,يناير,"1,117,312"
2019,فبراير,"9,336,315"
2019,مارس,"1,908,025"
2019,إبريل,"1,751,856"
2019,مايو,"1,506,419"
2019,يونيو,"2,108,368"
2019,يوليو,"3,186,528"
2019,أغسطس,"2,070,613"
2019,سبتمبر,"2,474,360"
2019,أكتوبر,"3,243,871"
2019,نوفمبر,"2,884,270"
2019,ديسمبر,"1,718,450"
2020,يناير,"1,004,025"
2020,فبراير,"1,713,316"
2020,مارس,"2,787,050"
2020,إبريل,"694,969"
2020,مايو,"299,642"
2020,يونيو,"1,939,174"
2020,يوليو,"968,429"
2020,أغسطس,"1,169,300"
2020,سبتمبر,"722,006"
2020,أكتوبر,"2,969,134"
2020,نوفمبر,"4,922,638"
2020,ديسمبر,"798,561"
2021,يناير,"1,245,978"
2021,فبراير,"2,029,868"
2021,مارس,"2,512,938"
2021,إبريل,"2,477,293"
2021,مايو,"2,320,555"
2021,يونيو,"2,853,361"
2021,يوليو,"2,830,530"
2021,أغسطس,"4,100,990"
2021,سبتمبر,"2,845,925"
2021,أكتوبر,"5,915,408"
2021,نوفمبر,"598,338"
2021,ديسمبر,"3,480,765"
2022,يناير,"3,042,061"
2022,فبراير,"2,862,433"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
