Year,Month,Export Amount
2012,يناير,"148,413"
2012,فبراير,"102,319"
2012,مارس,"74,697"
2012,إبريل,"6,712"
2012,مايو,"85,569"
2012,يونيو,"4,529"
2012,يوليو,0
2012,أغسطس,"2,857"
2012,سبتمبر,"6,116"
2012,أكتوبر,"138,208"
2012,نوفمبر,"18,040"
2012,ديسمبر,"98,766"
2013,يناير,"37,122"
2013,فبراير,0
2013,مارس,0
2013,إبريل,"56,375"
2013,مايو,"90,726"
2013,يونيو,"17,391"
2013,يوليو,"46,800"
2013,أغسطس,0
2013,سبتمبر,"93,228"
2013,أكتوبر,"20,000"
2013,نوفمبر,"195,593"
2013,ديسمبر,"281,950"
2014,يناير,"311,405"
2014,فبراير,"100,434"
2014,مارس,"96,000"
2014,إبريل,"11,025"
2014,مايو,"122,524"
2014,يونيو,"167,807"
2014,يوليو,"153,780"
2014,أغسطس,"25,370"
2014,سبتمبر,"135,372"
2014,أكتوبر,"44,785"
2014,نوفمبر,"101,078"
2014,ديسمبر,"36,000"
2015,يناير,"72,000"
2015,فبراير,"72,000"
2015,مارس,0
2015,إبريل,"501,893"
2015,مايو,"26,220"
2015,يونيو,"18,840"
2015,يوليو,0
2015,أغسطس,"11,025"
2015,سبتمبر,"102,392"
2015,أكتوبر,"19,006"
2015,نوفمبر,"42,629"
2015,ديسمبر,"92,000"
2016,يناير,"14,400"
2016,فبراير,"67,704"
2016,مارس,"49,938"
2016,إبريل,"26,885"
2016,مايو,0
2016,يونيو,"17,620"
2016,يوليو,"84,837"
2016,أغسطس,"41,605"
2016,سبتمبر,"4,784"
2016,أكتوبر,"87,273"
2016,نوفمبر,"24,883"
2016,ديسمبر,"4,945"
2017,يناير,"42,000"
2017,فبراير,"37,890"
2017,مارس,0
2017,إبريل,"14,868"
2017,مايو,0
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,"12,886"
2017,أكتوبر,"65,516"
2017,نوفمبر,"50,295"
2017,ديسمبر,"1,912"
2018,يناير,0
2018,فبراير,"4,830"
2018,مارس,"19,703"
2018,إبريل,"104,609"
2018,مايو,"10,080"
2018,يونيو,"29,184"
2018,يوليو,"42,240"
2018,أغسطس,0
2018,سبتمبر,"35,894"
2018,أكتوبر,"5,993"
2018,نوفمبر,"61,388"
2018,ديسمبر,"54,192"
2019,يناير,0
2019,فبراير,0
2019,مارس,"91,872"
2019,إبريل,"60,313"
2019,مايو,"53,705"
2019,يونيو,"2,050"
2019,يوليو,"28,360"
2019,أغسطس,0
2019,سبتمبر,"10,080"
2019,أكتوبر,"15,545"
2019,نوفمبر,"127,529"
2019,ديسمبر,0
2020,يناير,"30,780"
2020,فبراير,900
2020,مارس,"50,090"
2020,إبريل,"35,802"
2020,مايو,0
2020,يونيو,"67,200"
2020,يوليو,"59,612"
2020,أغسطس,"15,643"
2020,سبتمبر,"1,811"
2020,أكتوبر,"2,700"
2020,نوفمبر,0
2020,ديسمبر,"2,471"
2021,يناير,"14,380"
2021,فبراير,"110,074"
2021,مارس,"38,417"
2021,إبريل,"49,936"
2021,مايو,"114,308"
2021,يونيو,"63,114"
2021,يوليو,"44,912"
2021,أغسطس,"22,670"
2021,سبتمبر,"33,155"
2021,أكتوبر,"7,500"
2021,نوفمبر,"382,083"
2021,ديسمبر,"70,560"
2022,يناير,"302,503"
2022,فبراير,"129,508"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
