Item,Amount,Value
عجائن اخرى غير محتويه على بيض,95.1,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),87.7,ألف دولار
محضرات واصناف صيدليه اخر,74.1,ألف دولار
جلوكوز و عسل الجلوكوز,69.8,ألف دولار
لحوم او احشاء محفوظة من طيور دواجن,64.5,ألف دولار
اعلاف حيوانيه غير تقليديه,63.6,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,60.3,ألف دولار
عصير خليط,49.6,ألف دولار
لبن بودره غير محلى,37.1,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,26.8,ألف دولار
خضروات اخرى مجمده,16.4,ألف دولار
غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,4.1,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.7,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,0.5,ألف دولار
البسه خارجيه للرجال والصبيه و جاكت أو بالطو من مواد نسجيه اخرى مصنره,0.4,ألف دولار
بلوزه حريمى من القطن غير مصنره,0.0,ألف دولار
