Year,Month,Export Amount
2012,يناير,"381,354"
2012,فبراير,"961,897"
2012,مارس,"1,114,291"
2012,إبريل,"1,317,145"
2012,مايو,"306,531"
2012,يونيو,"154,497"
2012,يوليو,"252,852"
2012,أغسطس,"206,205"
2012,سبتمبر,"759,170"
2012,أكتوبر,"197,019"
2012,نوفمبر,"368,117"
2012,ديسمبر,"1,248,712"
2013,يناير,"195,498"
2013,فبراير,"984,462"
2013,مارس,"280,589"
2013,إبريل,"412,613"
2013,مايو,"413,138"
2013,يونيو,"617,067"
2013,يوليو,"1,153,596"
2013,أغسطس,"770,682"
2013,سبتمبر,"77,873"
2013,أكتوبر,"283,785"
2013,نوفمبر,"444,472"
2013,ديسمبر,"706,247"
2014,يناير,"262,715"
2014,فبراير,"1,000,457"
2014,مارس,"172,576"
2014,إبريل,"721,594"
2014,مايو,"551,716"
2014,يونيو,"1,391,659"
2014,يوليو,"100,402"
2014,أغسطس,"414,833"
2014,سبتمبر,"267,337"
2014,أكتوبر,"300,107"
2014,نوفمبر,"894,468"
2014,ديسمبر,"167,501"
2015,يناير,"531,229"
2015,فبراير,"133,675"
2015,مارس,"919,755"
2015,إبريل,"473,021"
2015,مايو,"742,903"
2015,يونيو,"788,448"
2015,يوليو,"1,535,490"
2015,أغسطس,"1,593,719"
2015,سبتمبر,"541,644"
2015,أكتوبر,"1,002,591"
2015,نوفمبر,"604,942"
2015,ديسمبر,"3,756,703"
2016,يناير,"973,351"
2016,فبراير,"601,464"
2016,مارس,"1,063,909"
2016,إبريل,"868,822"
2016,مايو,"2,457,887"
2016,يونيو,"1,778,903"
2016,يوليو,"726,095"
2016,أغسطس,"1,319,404"
2016,سبتمبر,"186,063"
2016,أكتوبر,"888,729"
2016,نوفمبر,"3,114,243"
2016,ديسمبر,"3,445,249"
2017,يناير,"4,008,193"
2017,فبراير,"1,190,504"
2017,مارس,"815,057"
2017,إبريل,"1,075,708"
2017,مايو,"389,249"
2017,يونيو,"929,585"
2017,يوليو,"948,285"
2017,أغسطس,"1,125,674"
2017,سبتمبر,"615,358"
2017,أكتوبر,"368,613"
2017,نوفمبر,"1,068,593"
2017,ديسمبر,"693,679"
2018,يناير,"1,838,008"
2018,فبراير,"716,392"
2018,مارس,"1,877,802"
2018,إبريل,"673,573"
2018,مايو,"1,374,676"
2018,يونيو,"596,579"
2018,يوليو,"672,787"
2018,أغسطس,"404,295"
2018,سبتمبر,"1,031,072"
2018,أكتوبر,"673,793"
2018,نوفمبر,"1,037,628"
2018,ديسمبر,"989,302"
2019,يناير,"997,443"
2019,فبراير,"1,359,135"
2019,مارس,"969,270"
2019,إبريل,"1,292,241"
2019,مايو,"935,912"
2019,يونيو,"441,684"
2019,يوليو,"1,650,427"
2019,أغسطس,"704,985"
2019,سبتمبر,"704,331"
2019,أكتوبر,"1,611,444"
2019,نوفمبر,"342,635"
2019,ديسمبر,"1,244,355"
2020,يناير,"842,760"
2020,فبراير,"648,566"
2020,مارس,"1,477,995"
2020,إبريل,"701,213"
2020,مايو,"825,949"
2020,يونيو,"532,044"
2020,يوليو,"584,173"
2020,أغسطس,"1,084,128"
2020,سبتمبر,"722,863"
2020,أكتوبر,"1,209,181"
2020,نوفمبر,"1,151,589"
2020,ديسمبر,"983,174"
2021,يناير,"737,289"
2021,فبراير,"1,340,271"
2021,مارس,"1,172,152"
2021,إبريل,"882,635"
2021,مايو,"1,833,628"
2021,يونيو,"536,881"
2021,يوليو,"1,230,522"
2021,أغسطس,"668,649"
2021,سبتمبر,"798,941"
2021,أكتوبر,"440,977"
2021,نوفمبر,"655,401"
2021,ديسمبر,"1,536,908"
2022,يناير,"626,298"
2022,فبراير,"369,662"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
