Item,Amount,Value
أجزاء أجهزة كهربيه لها و ظيفة واحده,773.4,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,540.2,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,510.2,ألف دولار
برتقال طازج أو مجفف,295.3,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,190.0,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),187.7,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,162.3,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,139.2,ألف دولار
سمن نباتى,116.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,113.4,ألف دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,104.7,ألف دولار
يوسفى طازج أو مجفف,50.4,ألف دولار
خميره جافه نشطه,42.7,ألف دولار
زيت النخيل بحاله اخرى,27.5,ألف دولار
مولدات إشارات الكترونيه,25.8,ألف دولار
أجزاء راديو و تليفزيون,24.8,ألف دولار
دقيق حنطة قمح ودقيق خليط حنطة,22.5,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,19.2,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,17.1,ألف دولار
إطارات السيارات النقل و الشاحنات,16.2,ألف دولار
زجاج مسطح عادى سادة غير مسلح,14.1,ألف دولار
بطاطس طازجه اومبرده أخرى,11.7,ألف دولار
بصل وكرات بشوشه,11.3,ألف دولار
نشاره الخشب,10.5,ألف دولار
عصير خليط,9.1,ألف دولار
بيكربونات كالسيوم,3.7,ألف دولار
جريب فروت طازج أو مجفف,1.8,ألف دولار
باترونات من المنسوجات,0.0,ألف دولار
الاجهزةالكهربائية للانارة والاشارة أخرى,0.0,ألف دولار
