Year,Month,Export Amount
2012,يناير,"576,556"
2012,فبراير,"549,962"
2012,مارس,"467,330"
2012,إبريل,"25,837,218"
2012,مايو,"750,621"
2012,يونيو,"276,689"
2012,يوليو,"238,900"
2012,أغسطس,"216,155"
2012,سبتمبر,"390,584"
2012,أكتوبر,"303,826"
2012,نوفمبر,"631,338"
2012,ديسمبر,"491,279"
2013,يناير,"409,979"
2013,فبراير,"571,717"
2013,مارس,"21,886,829"
2013,إبريل,"19,190,193"
2013,مايو,"20,159,215"
2013,يونيو,"40,458,117"
2013,يوليو,"914,085"
2013,أغسطس,"633,059"
2013,سبتمبر,"765,364"
2013,أكتوبر,"23,547,617"
2013,نوفمبر,"22,577,412"
2013,ديسمبر,"1,160,695"
2014,يناير,"46,359,810"
2014,فبراير,"45,758,908"
2014,مارس,"44,371,035"
2014,إبريل,"44,615,339"
2014,مايو,"46,142,543"
2014,يونيو,"23,694,401"
2014,يوليو,"91,806,965"
2014,أغسطس,"1,455,401"
2014,سبتمبر,"2,216,410"
2014,أكتوبر,"32,185,155"
2014,نوفمبر,"1,005,531"
2014,ديسمبر,"13,423,424"
2015,يناير,"9,981,627"
2015,فبراير,"13,601,857"
2015,مارس,"23,634,016"
2015,إبريل,"13,368,623"
2015,مايو,"30,454,155"
2015,يونيو,"26,202,968"
2015,يوليو,"23,267,505"
2015,أغسطس,"21,480,840"
2015,سبتمبر,"10,561,674"
2015,أكتوبر,"2,260,966"
2015,نوفمبر,"10,390,242"
2015,ديسمبر,"59,462,229"
2016,يناير,"10,635,979"
2016,فبراير,"2,807,717"
2016,مارس,"11,031,731"
2016,إبريل,"3,025,898"
2016,مايو,"8,053,354"
2016,يونيو,"7,007,702"
2016,يوليو,"1,924,589"
2016,أغسطس,"11,443,703"
2016,سبتمبر,"15,574,994"
2016,أكتوبر,"18,526,382"
2016,نوفمبر,"2,036,751"
2016,ديسمبر,"2,859,934"
2017,يناير,"49,848,916"
2017,فبراير,"1,358,582"
2017,مارس,"2,176,325"
2017,إبريل,"1,839,439"
2017,مايو,"1,589,152"
2017,يونيو,"1,404,663"
2017,يوليو,"2,220,586"
2017,أغسطس,"2,231,519"
2017,سبتمبر,"1,545,556"
2017,أكتوبر,"2,397,829"
2017,نوفمبر,"2,214,514"
2017,ديسمبر,"1,310,620"
2018,يناير,"2,114,273"
2018,فبراير,"2,205,647"
2018,مارس,"1,832,050"
2018,إبريل,"1,931,570"
2018,مايو,"2,294,156"
2018,يونيو,"1,163,032"
2018,يوليو,"1,887,275"
2018,أغسطس,"1,793,579"
2018,سبتمبر,"1,773,098"
2018,أكتوبر,"2,709,766"
2018,نوفمبر,"2,425,475"
2018,ديسمبر,"2,069,403"
2019,يناير,"1,951,287"
2019,فبراير,"2,369,055"
2019,مارس,"2,593,258"
2019,إبريل,"51,918,848"
2019,مايو,"84,988,766"
2019,يونيو,"91,777,011"
2019,يوليو,"139,214,350"
2019,أغسطس,"92,893,855"
2019,سبتمبر,"85,908,107"
2019,أكتوبر,"43,179,805"
2019,نوفمبر,"95,733,663"
2019,ديسمبر,"34,172,723"
2020,يناير,"9,888,098"
2020,فبراير,"131,734,989"
2020,مارس,"38,827,319"
2020,إبريل,"20,441,210"
2020,مايو,"28,320,044"
2020,يونيو,"20,507,520"
2020,يوليو,"868,259"
2020,أغسطس,"11,360,914"
2020,سبتمبر,"21,140,244"
2020,أكتوبر,"12,476,185"
2020,نوفمبر,"13,260,041"
2020,ديسمبر,"38,246,638"
2021,يناير,"248,821,202"
2021,فبراير,"117,542,025"
2021,مارس,"259,539,841"
2021,إبريل,"80,850,085"
2021,مايو,"165,586,289"
2021,يونيو,"134,347,124"
2021,يوليو,"184,889,962"
2021,أغسطس,"197,104,126"
2021,سبتمبر,"150,582,660"
2021,أكتوبر,"99,146,982"
2021,نوفمبر,"256,820,772"
2021,ديسمبر,"68,752,903"
2022,يناير,"15,912,623"
2022,فبراير,"18,122,052"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
