Item,Amount,Value
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,1.2,مليون دولار
غيرها من البويات والورنيشات المائيه,261.6,ألف دولار
سيليكات صوديوم أخر,121.5,ألف دولار
بيكربونات كالسيوم,114.1,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),72.0,ألف دولار
عجائن اخرى غير محتويه على بيض,66.7,ألف دولار
خميره جافه نشطه,42.7,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,42.6,ألف دولار
إسطوانات و أقراص للمصانع مصبوبه من حديد او صلب,16.4,ألف دولار
غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,16.1,ألف دولار
اصناف مماثله غير مزخرفه اساسها الجبس,11.5,ألف دولار
اصناف اخرى من مصنوعات من جبس او من مكونات اساسها الجبس,9.6,ألف دولار
عصير خليط,8.7,ألف دولار
