Year,Month,Export Amount
2012,يناير,"3,048,210"
2012,فبراير,"256,327"
2012,مارس,"213,875"
2012,إبريل,"74,493"
2012,مايو,"356,611"
2012,يونيو,"543,313"
2012,يوليو,"222,259"
2012,أغسطس,"156,177"
2012,سبتمبر,"541,336"
2012,أكتوبر,"194,259"
2012,نوفمبر,"203,388"
2012,ديسمبر,"280,379"
2013,يناير,"208,677"
2013,فبراير,"545,692"
2013,مارس,"462,606"
2013,إبريل,"307,443"
2013,مايو,"188,629"
2013,يونيو,"905,209"
2013,يوليو,"1,073,221"
2013,أغسطس,"718,267"
2013,سبتمبر,"166,995"
2013,أكتوبر,"445,839"
2013,نوفمبر,"553,970"
2013,ديسمبر,"546,508"
2014,يناير,"451,382"
2014,فبراير,"231,155"
2014,مارس,"618,595"
2014,إبريل,"384,009"
2014,مايو,"272,663"
2014,يونيو,"720,851"
2014,يوليو,"702,498"
2014,أغسطس,"259,387"
2014,سبتمبر,"673,326"
2014,أكتوبر,"482,717"
2014,نوفمبر,"401,517"
2014,ديسمبر,"368,810"
2015,يناير,"234,736"
2015,فبراير,"465,714"
2015,مارس,"790,630"
2015,إبريل,"463,216"
2015,مايو,"259,015"
2015,يونيو,"215,279"
2015,يوليو,"79,246"
2015,أغسطس,"174,700"
2015,سبتمبر,"226,290"
2015,أكتوبر,"258,723"
2015,نوفمبر,"291,750"
2015,ديسمبر,"115,899"
2016,يناير,"209,071"
2016,فبراير,"428,747"
2016,مارس,"341,209"
2016,إبريل,"93,008"
2016,مايو,"982,056"
2016,يونيو,"430,680"
2016,يوليو,"3,536,712"
2016,أغسطس,"123,597"
2016,سبتمبر,"601,944"
2016,أكتوبر,"4,476,890"
2016,نوفمبر,"127,717"
2016,ديسمبر,"498,587"
2017,يناير,"1,574,488"
2017,فبراير,"160,990"
2017,مارس,"1,267,978"
2017,إبريل,"163,464"
2017,مايو,"5,519,024"
2017,يونيو,"559,411"
2017,يوليو,"1,497,338"
2017,أغسطس,"972,584"
2017,سبتمبر,"341,985"
2017,أكتوبر,"427,858"
2017,نوفمبر,"243,982"
2017,ديسمبر,"274,714"
2018,يناير,"922,308"
2018,فبراير,"887,156"
2018,مارس,"631,371"
2018,إبريل,"1,580,084"
2018,مايو,"923,045"
2018,يونيو,"1,059,833"
2018,يوليو,"335,126"
2018,أغسطس,"722,231"
2018,سبتمبر,"587,516"
2018,أكتوبر,"437,323"
2018,نوفمبر,"307,857"
2018,ديسمبر,"339,585"
2019,يناير,"616,778"
2019,فبراير,"108,336"
2019,مارس,"490,809"
2019,إبريل,"2,609,114"
2019,مايو,"7,306,038"
2019,يونيو,"1,168,120"
2019,يوليو,"799,812"
2019,أغسطس,"1,601,164"
2019,سبتمبر,"297,088"
2019,أكتوبر,"2,113,319"
2019,نوفمبر,"550,147"
2019,ديسمبر,"721,967"
2020,يناير,"140,932"
2020,فبراير,"837,369"
2020,مارس,"704,014"
2020,إبريل,"1,058,032"
2020,مايو,"1,238,843"
2020,يونيو,"821,613"
2020,يوليو,"658,512"
2020,أغسطس,"523,997"
2020,سبتمبر,"796,163"
2020,أكتوبر,"1,012,530"
2020,نوفمبر,"1,940,306"
2020,ديسمبر,"417,218"
2021,يناير,"330,160"
2021,فبراير,"338,240"
2021,مارس,"877,991"
2021,إبريل,"227,663"
2021,مايو,"392,090"
2021,يونيو,"631,329"
2021,يوليو,"1,448,967"
2021,أغسطس,"4,370,965"
2021,سبتمبر,"1,045,947"
2021,أكتوبر,"279,290"
2021,نوفمبر,"1,728,810"
2021,ديسمبر,"288,748"
2022,يناير,"399,184"
2022,فبراير,"1,649,525"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
