Item,Amount,Value
,2.6,مليون دولار
سماد نترات النشادر الجيرى,2.0,مليون دولار
لبن فرز(البان تحتوى على نسبةدسم لايزيد عن 1% من اجمالى الوزن),942.9,ألف دولار
عصير خليط,349.6,ألف دولار
سجاد من ألياف صناعيه أخرى,211.5,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,174.9,ألف دولار
لبن بودره غير محلى,162.8,ألف دولار
"غيرها من ضفائر واصناف مماثله من مواد ضفر,وان كانت مجمعه فى شكل اشرطه",155.4,ألف دولار
سجاد من ألياف صناعيه ميكانيكى,123.1,ألف دولار
ورنيشات قاعدتها بولى استر,93.9,ألف دولار
مضادات حيويه للتجزئه,56.6,ألف دولار
محضرات واصناف صيدليه اخر,55.5,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,46.6,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,41.7,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,39.6,ألف دولار
ادوية غير مهياة بجرعات معايرة اوباشكال اوعبوات للبيع بالتجزئة,37.0,ألف دولار
برتقال),34.1,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,21.5,ألف دولار
حبات  (P.P) بولي بروبلين,19.0,ألف دولار
زبدة (زبدة او سمن مجففة),18.4,ألف دولار
غيرها من البويات والورنيشات المائيه,17.6,ألف دولار
بيكربونات كالسيوم,12.8,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),3.4,ألف دولار
مواسير او انابيب البحث عن الغاز والبترول من الحديد او الصلب عدا الحديد الزهر,3.0,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,1.6,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.8,ألف دولار
بذور خضروات اخرى للزراعه,0.6,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,0.1,ألف دولار
وصلات و كيعان و فلانشات لمواسير,0.1,ألف دولار
معاطف ومعاطف ذات قبعه وعبايات من صوف وبر ناعم للرجال والصبيه,0.1,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,0.0,ألف دولار
فيتامينات و مشتقاتها للتجزئه,0.0,ألف دولار
