Year,Month,Export Amount
2012,يناير,"1,185,517"
2012,فبراير,"1,260,707"
2012,مارس,"1,370,131"
2012,إبريل,"901,742"
2012,مايو,"1,723,302"
2012,يونيو,"956,381"
2012,يوليو,"967,820"
2012,أغسطس,"423,176"
2012,سبتمبر,"1,142,075"
2012,أكتوبر,"427,602"
2012,نوفمبر,"1,039,268"
2012,ديسمبر,"1,148,998"
2013,يناير,"522,504"
2013,فبراير,"1,076,521"
2013,مارس,"1,465,479"
2013,إبريل,"706,057"
2013,مايو,"1,335,418"
2013,يونيو,"1,701,355"
2013,يوليو,"747,596"
2013,أغسطس,"773,629"
2013,سبتمبر,"796,912"
2013,أكتوبر,"859,251"
2013,نوفمبر,"1,329,652"
2013,ديسمبر,"2,084,613"
2014,يناير,"2,228,777"
2014,فبراير,"2,074,968"
2014,مارس,"2,025,799"
2014,إبريل,"2,699,621"
2014,مايو,"1,325,025"
2014,يونيو,"1,753,414"
2014,يوليو,"922,919"
2014,أغسطس,"729,573"
2014,سبتمبر,"1,502,817"
2014,أكتوبر,"927,085"
2014,نوفمبر,"1,185,581"
2014,ديسمبر,"1,106,106"
2015,يناير,"947,875"
2015,فبراير,"1,195,020"
2015,مارس,"1,301,665"
2015,إبريل,"1,579,571"
2015,مايو,"573,254"
2015,يونيو,"1,039,374"
2015,يوليو,"663,048"
2015,أغسطس,"919,768"
2015,سبتمبر,"1,249,564"
2015,أكتوبر,"918,172"
2015,نوفمبر,"1,943,313"
2015,ديسمبر,"768,961"
2016,يناير,"445,548"
2016,فبراير,"675,451"
2016,مارس,"653,302"
2016,إبريل,"1,296,922"
2016,مايو,"839,177"
2016,يونيو,"1,293,436"
2016,يوليو,"371,979"
2016,أغسطس,"999,601"
2016,سبتمبر,"492,011"
2016,أكتوبر,"925,899"
2016,نوفمبر,"615,117"
2016,ديسمبر,"1,340,495"
2017,يناير,"6,279,307"
2017,فبراير,"1,447,784"
2017,مارس,"1,761,897"
2017,إبريل,"1,204,815"
2017,مايو,"1,031,977"
2017,يونيو,"1,037,829"
2017,يوليو,"2,924,505"
2017,أغسطس,"1,437,497"
2017,سبتمبر,"1,270,081"
2017,أكتوبر,"1,409,154"
2017,نوفمبر,"1,731,418"
2017,ديسمبر,"2,128,508"
2018,يناير,"1,758,333"
2018,فبراير,"2,351,761"
2018,مارس,"1,410,360"
2018,إبريل,"2,440,288"
2018,مايو,"1,386,273"
2018,يونيو,"1,357,259"
2018,يوليو,"1,474,848"
2018,أغسطس,"1,161,089"
2018,سبتمبر,"1,772,464"
2018,أكتوبر,"2,026,475"
2018,نوفمبر,"1,935,333"
2018,ديسمبر,"2,500,767"
2019,يناير,"1,385,813"
2019,فبراير,"2,229,517"
2019,مارس,"2,956,607"
2019,إبريل,"2,188,918"
2019,مايو,"2,752,979"
2019,يونيو,"2,172,539"
2019,يوليو,"2,164,041"
2019,أغسطس,"1,903,645"
2019,سبتمبر,"2,741,188"
2019,أكتوبر,"2,723,923"
2019,نوفمبر,"1,929,304"
2019,ديسمبر,"2,329,321"
2020,يناير,"1,460,587"
2020,فبراير,"1,325,302"
2020,مارس,"1,710,211"
2020,إبريل,"1,023,367"
2020,مايو,"1,484,919"
2020,يونيو,"1,441,434"
2020,يوليو,"1,349,864"
2020,أغسطس,"1,835,706"
2020,سبتمبر,"1,658,001"
2020,أكتوبر,"2,107,052"
2020,نوفمبر,"2,540,951"
2020,ديسمبر,"2,179,859"
2021,يناير,"2,353,043"
2021,فبراير,"6,757,497"
2021,مارس,"2,421,365"
2021,إبريل,"2,954,085"
2021,مايو,"2,660,522"
2021,يونيو,"3,418,027"
2021,يوليو,"1,738,570"
2021,أغسطس,"3,794,475"
2021,سبتمبر,"2,145,300"
2021,أكتوبر,"1,708,820"
2021,نوفمبر,"1,228,467"
2021,ديسمبر,"1,066,960"
2022,يناير,"1,500,639"
2022,فبراير,"5,967,160"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
