Year,Month,Export Amount
2012,يناير,0
2012,فبراير,"40,388"
2012,مارس,0
2012,إبريل,"45,007"
2012,مايو,"29,518"
2012,يونيو,"28,556"
2012,يوليو,"19,062"
2012,أغسطس,"83,707"
2012,سبتمبر,0
2012,أكتوبر,0
2012,نوفمبر,"1,148"
2012,ديسمبر,"59,504"
2013,يناير,"21,944"
2013,فبراير,"23,240"
2013,مارس,"29,924"
2013,إبريل,"31,327"
2013,مايو,0
2013,يونيو,"17,871"
2013,يوليو,"30,376"
2013,أغسطس,"64,223"
2013,سبتمبر,0
2013,أكتوبر,0
2013,نوفمبر,0
2013,ديسمبر,"51,823"
2014,يناير,0
2014,فبراير,0
2014,مارس,"76,070"
2014,إبريل,0
2014,مايو,0
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,"44,016"
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,"91,135"
2015,يناير,0
2015,فبراير,0
2015,مارس,0
2015,إبريل,0
2015,مايو,"3,501"
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,0
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,"37,565"
2015,ديسمبر,0
2016,يناير,0
2016,فبراير,0
2016,مارس,"18,808"
2016,إبريل,0
2016,مايو,0
2016,يونيو,"31,158"
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,0
2017,يناير,0
2017,فبراير,0
2017,مارس,0
2017,إبريل,0
2017,مايو,0
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,0
2017,أكتوبر,0
2017,نوفمبر,0
2017,ديسمبر,0
2018,يناير,"15,000"
2018,فبراير,0
2018,مارس,0
2018,إبريل,0
2018,مايو,"13,095"
2018,يونيو,0
2018,يوليو,"4,945"
2018,أغسطس,0
2018,سبتمبر,0
2018,أكتوبر,"3,541"
2018,نوفمبر,"23,821"
2018,ديسمبر,0
2019,يناير,0
2019,فبراير,0
2019,مارس,0
2019,إبريل,"14,361"
2019,مايو,0
2019,يونيو,0
2019,يوليو,0
2019,أغسطس,0
2019,سبتمبر,0
2019,أكتوبر,0
2019,نوفمبر,0
2019,ديسمبر,"13,341"
2020,يناير,0
2020,فبراير,0
2020,مارس,"16,440"
2020,إبريل,"5,641"
2020,مايو,0
2020,يونيو,0
2020,يوليو,0
2020,أغسطس,0
2020,سبتمبر,0
2020,أكتوبر,0
2020,نوفمبر,0
2020,ديسمبر,0
2021,يناير,0
2021,فبراير,0
2021,مارس,0
2021,إبريل,0
2021,مايو,0
2021,يونيو,0
2021,يوليو,0
2021,أغسطس,0
2021,سبتمبر,"15,392"
2021,أكتوبر,0
2021,نوفمبر,0
2021,ديسمبر,0
2022,يناير,"23,676"
2022,فبراير,0
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
