Item,Amount,Value
زيت صويا منقى و غير معالج كيمائيا,2.0,مليون دولار
بطاطس طازجه اومبرده أخرى,564.2,ألف دولار
برتقال طازج أو مجفف,374.3,ألف دولار
يوسفى طازج أو مجفف,327.8,ألف دولار
زيت عباد الشمس بصـفة عـامة,272.2,ألف دولار
سماد يوريا أو اسمده ازوتيه اخرى,226.5,ألف دولار
ورنيشات قاعدتها P.V.A,216.8,ألف دولار
شحوم نباتيه,213.1,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,178.1,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,165.1,ألف دولار
قماش الدنيم أو الجينز,146.4,ألف دولار
بيكربونات كالسيوم,107.9,ألف دولار
لعزل الحراره ?  الصوت,106.9,ألف دولار
مسحوق كاكاو مضاف الى محتواه سكر,67.2,ألف دولار
انواع جبنه اخرى,60.4,ألف دولار
محضرات غذائيه اخرى,50.5,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,50.2,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,50.1,ألف دولار
مجففات محضره,49.9,ألف دولار
ملح غير صالح للطعام و ملح طعام,46.2,ألف دولار
خس ملفوف وكرنبى,41.7,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,37.6,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),35.1,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),34.3,ألف دولار
تنر (تنر عضوى عادى او مخصوص),32.1,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,25.7,ألف دولار
,23.8,ألف دولار
صابون معطر تواليت,23.2,ألف دولار
زجاج سيارات سيكوريت,21.6,ألف دولار
عجائن اخرى غير محتويه على بيض,18.1,ألف دولار
غيرها من المربى,16.4,ألف دولار
كورنيد بيف بقرى,15.2,ألف دولار
رمال السيليس (السيليكا) ورمال الكوارتز,12.0,ألف دولار
فجل أفرنجى,11.6,ألف دولار
اصناف مقولبه او مضغوطه من عجينه الورق,9.9,ألف دولار
عصير خليط,9.3,ألف دولار
ادوات منزليه فيانس (فخار مطلى),8.9,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),7.4,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),6.7,ألف دولار
مناحل زراعيه,5.7,ألف دولار
ابراج وصوارى شبكيه ? ابراج معدنيه من حديد اوصلب,5.0,ألف دولار
كرنب أفرنجى و بروكلى طازج,3.8,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,3.4,ألف دولار
محضرات متجانسه لاغذيه الاطفال,1.4,ألف دولار
كرفس طازج أو مثلج,0.7,ألف دولار
فراوله طازجه,0.5,ألف دولار
خيـــــار و قثه طازجه,0.3,ألف دولار
بازلياء خضراء,0.1,ألف دولار
كرات طازج,0.0,ألف دولار
