Year,Month,Export Amount
2012,يناير,"1,318,422"
2012,فبراير,"3,037,161"
2012,مارس,"3,905,217"
2012,إبريل,"1,743,697"
2012,مايو,"2,850,266"
2012,يونيو,"1,582,362"
2012,يوليو,"3,067,049"
2012,أغسطس,"1,783,103"
2012,سبتمبر,"3,949,027"
2012,أكتوبر,"2,293,439"
2012,نوفمبر,"2,438,768"
2012,ديسمبر,"2,779,604"
2013,يناير,"1,233,634"
2013,فبراير,"2,846,645"
2013,مارس,"2,936,469"
2013,إبريل,"2,356,351"
2013,مايو,"1,990,163"
2013,يونيو,"4,219,818"
2013,يوليو,"2,569,579"
2013,أغسطس,"2,713,396"
2013,سبتمبر,"2,989,171"
2013,أكتوبر,"3,579,397"
2013,نوفمبر,"1,846,746"
2013,ديسمبر,"3,386,470"
2014,يناير,"1,621,497"
2014,فبراير,"1,616,330"
2014,مارس,"3,026,547"
2014,إبريل,"1,587,714"
2014,مايو,"1,717,793"
2014,يونيو,"2,454,819"
2014,يوليو,"2,446,738"
2014,أغسطس,"1,838,350"
2014,سبتمبر,"3,416,540"
2014,أكتوبر,"2,879,611"
2014,نوفمبر,"2,173,836"
2014,ديسمبر,"2,563,171"
2015,يناير,"1,595,946"
2015,فبراير,"1,977,932"
2015,مارس,"1,434,596"
2015,إبريل,"1,454,287"
2015,مايو,"1,100,471"
2015,يونيو,"1,883,540"
2015,يوليو,"2,257,171"
2015,أغسطس,"1,462,413"
2015,سبتمبر,"1,519,421"
2015,أكتوبر,"1,564,406"
2015,نوفمبر,"1,170,530"
2015,ديسمبر,"1,807,871"
2016,يناير,"802,281"
2016,فبراير,"1,899,308"
2016,مارس,"1,171,506"
2016,إبريل,"1,532,493"
2016,مايو,"1,518,597"
2016,يونيو,"1,781,787"
2016,يوليو,"1,803,100"
2016,أغسطس,"2,322,420"
2016,سبتمبر,"1,545,516"
2016,أكتوبر,"2,333,563"
2016,نوفمبر,"2,325,008"
2016,ديسمبر,"1,826,383"
2017,يناير,"10,286,475"
2017,فبراير,"2,066,061"
2017,مارس,"4,959,525"
2017,إبريل,"2,046,729"
2017,مايو,"1,531,365"
2017,يونيو,"1,557,861"
2017,يوليو,"3,004,901"
2017,أغسطس,"2,569,375"
2017,سبتمبر,"2,530,699"
2017,أكتوبر,"2,341,981"
2017,نوفمبر,"2,188,030"
2017,ديسمبر,"1,632,591"
2018,يناير,"2,665,797"
2018,فبراير,"2,753,325"
2018,مارس,"2,817,818"
2018,إبريل,"1,709,714"
2018,مايو,"1,833,446"
2018,يونيو,"1,386,561"
2018,يوليو,"2,780,789"
2018,أغسطس,"2,202,226"
2018,سبتمبر,"2,049,912"
2018,أكتوبر,"2,714,517"
2018,نوفمبر,"2,860,444"
2018,ديسمبر,"3,025,279"
2019,يناير,"1,881,015"
2019,فبراير,"1,948,589"
2019,مارس,"3,242,683"
2019,إبريل,"2,140,181"
2019,مايو,"2,311,984"
2019,يونيو,"2,742,651"
2019,يوليو,"2,758,321"
2019,أغسطس,"2,772,173"
2019,سبتمبر,"2,350,591"
2019,أكتوبر,"3,613,942"
2019,نوفمبر,"2,716,366"
2019,ديسمبر,"7,234,310"
2020,يناير,"1,500,874"
2020,فبراير,"2,755,862"
2020,مارس,"1,978,940"
2020,إبريل,"2,362,989"
2020,مايو,"1,496,811"
2020,يونيو,"1,292,788"
2020,يوليو,"1,963,631"
2020,أغسطس,"1,339,877"
2020,سبتمبر,"2,516,885"
2020,أكتوبر,"2,051,091"
2020,نوفمبر,"1,705,039"
2020,ديسمبر,"2,177,319"
2021,يناير,"1,628,571"
2021,فبراير,"2,238,652"
2021,مارس,"2,268,219"
2021,إبريل,"2,451,367"
2021,مايو,"2,892,186"
2021,يونيو,"1,871,030"
2021,يوليو,"2,168,019"
2021,أغسطس,"1,833,515"
2021,سبتمبر,"1,773,006"
2021,أكتوبر,"3,265,862"
2021,نوفمبر,"3,053,761"
2021,ديسمبر,"2,405,343"
2022,يناير,"3,733,591"
2022,فبراير,"3,580,814"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
