Item,Amount,Value
خميره جافه نشطه,144.3,ألف دولار
لبن بودره غير محلى,69.9,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,52.4,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),41.0,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,21.4,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,16.7,ألف دولار
عجائن اخرى غير محتويه على بيض,12.6,ألف دولار
ورق حائط بأنواعه الأخرى,0.6,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
صديرى أو سويتر قطن رجالى,0.1,ألف دولار
