Year,Month,Export Amount
2012,يناير,"569,879"
2012,فبراير,"200,702"
2012,مارس,"323,762"
2012,إبريل,"201,288"
2012,مايو,"311,645"
2012,يونيو,0
2012,يوليو,"599,575"
2012,أغسطس,"136,646"
2012,سبتمبر,"350,935"
2012,أكتوبر,"97,228"
2012,نوفمبر,"184,594"
2012,ديسمبر,"157,029"
2013,يناير,"162,078"
2013,فبراير,"153,780"
2013,مارس,"234,832"
2013,إبريل,"196,085"
2013,مايو,"59,329"
2013,يونيو,"210,820"
2013,يوليو,"110,401"
2013,أغسطس,"368,621"
2013,سبتمبر,"457,924"
2013,أكتوبر,"426,297"
2013,نوفمبر,"509,467"
2013,ديسمبر,"265,628"
2014,يناير,"278,970"
2014,فبراير,"157,072"
2014,مارس,"253,689"
2014,إبريل,"252,123"
2014,مايو,"167,236"
2014,يونيو,"715,015"
2014,يوليو,"159,268"
2014,أغسطس,"363,120"
2014,سبتمبر,"482,857"
2014,أكتوبر,"479,173"
2014,نوفمبر,"218,120"
2014,ديسمبر,"142,500"
2015,يناير,0
2015,فبراير,"224,267"
2015,مارس,"48,648"
2015,إبريل,"197,092"
2015,مايو,"446,161"
2015,يونيو,"541,042"
2015,يوليو,"167,260"
2015,أغسطس,"219,700"
2015,سبتمبر,"281,056"
2015,أكتوبر,"357,859"
2015,نوفمبر,"412,570"
2015,ديسمبر,"186,841"
2016,يناير,"207,598"
2016,فبراير,"92,778"
2016,مارس,"228,600"
2016,إبريل,"337,781"
2016,مايو,"299,198"
2016,يونيو,"147,355"
2016,يوليو,"552,129"
2016,أغسطس,"348,959"
2016,سبتمبر,"414,978"
2016,أكتوبر,"572,844"
2016,نوفمبر,"323,554"
2016,ديسمبر,"191,985"
2017,يناير,"1,873,733"
2017,فبراير,"422,407"
2017,مارس,"800,287"
2017,إبريل,"522,904"
2017,مايو,"175,854"
2017,يونيو,"289,356"
2017,يوليو,"336,384"
2017,أغسطس,"409,410"
2017,سبتمبر,"380,352"
2017,أكتوبر,"224,049"
2017,نوفمبر,"571,668"
2017,ديسمبر,"343,195"
2018,يناير,"460,980"
2018,فبراير,"94,504"
2018,مارس,"595,694"
2018,إبريل,"572,759"
2018,مايو,"558,695"
2018,يونيو,"438,819"
2018,يوليو,"530,319"
2018,أغسطس,"318,815"
2018,سبتمبر,"556,893"
2018,أكتوبر,"374,540"
2018,نوفمبر,"371,018"
2018,ديسمبر,"508,613"
2019,يناير,"1,500"
2019,فبراير,"244,191"
2019,مارس,"586,145"
2019,إبريل,"464,237"
2019,مايو,"436,736"
2019,يونيو,"474,827"
2019,يوليو,"1,160,256"
2019,أغسطس,"2,218,435"
2019,سبتمبر,"376,600"
2019,أكتوبر,"551,458"
2019,نوفمبر,"418,380"
2019,ديسمبر,"411,817"
2020,يناير,"628,155"
2020,فبراير,"347,089"
2020,مارس,"213,689"
2020,إبريل,"555,996"
2020,مايو,"421,227"
2020,يونيو,"284,071"
2020,يوليو,"601,543"
2020,أغسطس,"1,207,246"
2020,سبتمبر,"623,008"
2020,أكتوبر,"1,138,189"
2020,نوفمبر,"309,869"
2020,ديسمبر,"396,123"
2021,يناير,"315,433"
2021,فبراير,"346,020"
2021,مارس,"568,473"
2021,إبريل,"120,813"
2021,مايو,"368,560"
2021,يونيو,"677,900"
2021,يوليو,"794,966"
2021,أغسطس,"313,779"
2021,سبتمبر,"621,831"
2021,أكتوبر,"162,256"
2021,نوفمبر,"233,330"
2021,ديسمبر,"449,597"
2022,يناير,"222,704"
2022,فبراير,"287,780"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
