Item,Amount,Value
برتقال طازج أو مجفف,9.3,مليون دولار
فوسفاتات كالسيوم طبيعيه ـفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى غير مطحونه فوسفاتات كالسيوم طبيعيه ـفوسفانات طب,2.5,مليون دولار
بلح طازج أو مجفف,1.4,مليون دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,1.0,مليون دولار
فراوله طازجه,712.8,ألف دولار
يوسفى طازج أو مجفف,688.5,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,576.1,ألف دولار
اثاث معدنى اخر,390.0,ألف دولار
اسمدة معدنية او كيمائية فوسفاتيةاخرى,294.0,ألف دولار
جريب فروت طازج أو مجفف,221.7,ألف دولار
قوالب شيكولاته,192.2,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,115.5,ألف دولار
خلاصات او ارواح او مركزات من بن او على اساس من البن,108.8,ألف دولار
بنطلون رجالى من القطن غير مصنره,105.3,ألف دولار
زيت بذره القطن بحالته الخام,104.9,ألف دولار
فراوله محفوظه مؤقتا,95.0,ألف دولار
بطاطس طازجه اومبرده أخرى,79.7,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,74.6,ألف دولار
بصل وكرات بشوشه,73.1,ألف دولار
نجف و ثرايا كريستال و غيرها,67.5,ألف دولار
فاكهه أخرى طازجه,65.5,ألف دولار
,52.9,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,37.5,ألف دولار
عصير خليط,37.0,ألف دولار
كلس جيرى اومطفأ ?  كلس مائى,30.8,ألف دولار
لعزل الحراره ?  الصوت,30.4,ألف دولار
نباتات طبيه أخرى,26.3,ألف دولار
جوارب حريمى طويله أخرى من الياف نسجيه أخرى,20.0,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,18.8,ألف دولار
امصال الطب البيطرى,16.1,ألف دولار
خضروات اخرى مجمده,15.8,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,13.9,ألف دولار
نشاره الخشب,11.6,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,11.3,ألف دولار
بيكربونات الصوديوم,11.2,ألف دولار
وصلات و كيعان و فلانشات لمواسير,10.3,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,8.5,ألف دولار
عســل نحــل,8.5,ألف دولار
غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,7.7,ألف دولار
بنطلون حريمى من الياف نسجيه أخرى غير مصنره,6.9,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,6.9,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,6.8,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من بوليمرات الإستيرين",6.7,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,6.3,ألف دولار
قفازات اخرى من الالياف النسجية الأخرى,5.7,ألف دولار
قنينة كانيولا وادوات مماثلة,5.6,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,5.2,ألف دولار
أغطية أرضيات نسجيه أخرى,5.0,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,3.8,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,3.4,ألف دولار
صديرى أو سويتر من ألياف نسجيه أخرى رجالى,2.8,ألف دولار
ملابس كهنه و قديمه,1.9,ألف دولار
مصنوعات اخرى من حجر / مواد معدنيه اخرى ليست بمكان اخر,1.0,ألف دولار
مخاليط خضروات مجمده,0.8,ألف دولار
اتربه جافه ملونه,0.6,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,0.4,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,0.3,ألف دولار
بنطلون حريمى من الياف صناعيه غير مصنره,0.3,ألف دولار
معاطف ومعاطف ذات قبعه وعبايات من صوف وبر ناعم للرجال والصبيه,0.3,ألف دولار
شـاى أسود و شاي خام معبيء فى أكثر من 3 كج,0.2,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
غيرها من اصناف للمائدة واصناف مطبخية ومنزلية من حديد او صلب,0.0,ألف دولار
