Year,Month,Export Amount
2012,يناير,"10,673,052"
2012,فبراير,"10,988,808"
2012,مارس,"5,800,124"
2012,إبريل,"6,600,746"
2012,مايو,"7,048,911"
2012,يونيو,"11,599,374"
2012,يوليو,"7,907,243"
2012,أغسطس,"5,671,006"
2012,سبتمبر,"5,259,461"
2012,أكتوبر,"3,771,574"
2012,نوفمبر,"3,406,869"
2012,ديسمبر,"8,061,436"
2013,يناير,"6,459,092"
2013,فبراير,"48,161,051"
2013,مارس,"11,182,148"
2013,إبريل,"9,295,424"
2013,مايو,"9,848,036"
2013,يونيو,"7,527,652"
2013,يوليو,"3,000,966"
2013,أغسطس,"3,857,646"
2013,سبتمبر,"6,118,527"
2013,أكتوبر,"1,481,166"
2013,نوفمبر,"1,894,634"
2013,ديسمبر,"6,460,090"
2014,يناير,"5,788,228"
2014,فبراير,"8,300,231"
2014,مارس,"9,563,755"
2014,إبريل,"12,428,127"
2014,مايو,"8,563,689"
2014,يونيو,"5,902,133"
2014,يوليو,"3,941,153"
2014,أغسطس,"5,481,635"
2014,سبتمبر,"3,167,818"
2014,أكتوبر,"1,406,885"
2014,نوفمبر,"6,020,100"
2014,ديسمبر,"6,990,034"
2015,يناير,"6,596,076"
2015,فبراير,"9,281,654"
2015,مارس,"7,729,161"
2015,إبريل,"5,912,654"
2015,مايو,"4,137,564"
2015,يونيو,"6,813,753"
2015,يوليو,"8,300,157"
2015,أغسطس,"8,600,784"
2015,سبتمبر,"4,874,864"
2015,أكتوبر,"3,442,001"
2015,نوفمبر,"4,121,571"
2015,ديسمبر,"5,780,413"
2016,يناير,"6,181,597"
2016,فبراير,"6,089,923"
2016,مارس,"7,942,974"
2016,إبريل,"6,698,986"
2016,مايو,"5,028,181"
2016,يونيو,"3,474,489"
2016,يوليو,"4,641,164"
2016,أغسطس,"3,672,258"
2016,سبتمبر,"4,428,624"
2016,أكتوبر,"5,761,758"
2016,نوفمبر,"2,509,650"
2016,ديسمبر,"8,186,696"
2017,يناير,"17,907,135"
2017,فبراير,"7,047,201"
2017,مارس,"6,066,008"
2017,إبريل,"7,060,867"
2017,مايو,"5,619,451"
2017,يونيو,"5,163,466"
2017,يوليو,"6,740,364"
2017,أغسطس,"4,874,804"
2017,سبتمبر,"2,463,258"
2017,أكتوبر,"10,276,453"
2017,نوفمبر,"3,450,223"
2017,ديسمبر,"9,200,505"
2018,يناير,"8,897,299"
2018,فبراير,"9,413,475"
2018,مارس,"10,419,371"
2018,إبريل,"8,977,708"
2018,مايو,"5,419,478"
2018,يونيو,"5,492,163"
2018,يوليو,"5,824,204"
2018,أغسطس,"3,850,113"
2018,سبتمبر,"3,513,315"
2018,أكتوبر,"2,904,761"
2018,نوفمبر,"2,258,481"
2018,ديسمبر,"7,747,599"
2019,يناير,"7,417,106"
2019,فبراير,"11,678,806"
2019,مارس,"7,886,691"
2019,إبريل,"5,950,507"
2019,مايو,"4,339,734"
2019,يونيو,"5,333,612"
2019,يوليو,"7,749,953"
2019,أغسطس,"2,852,177"
2019,سبتمبر,"10,910,220"
2019,أكتوبر,"3,156,765"
2019,نوفمبر,"3,113,888"
2019,ديسمبر,"6,716,369"
2020,يناير,"7,534,472"
2020,فبراير,"10,897,340"
2020,مارس,"5,255,782"
2020,إبريل,"4,276,953"
2020,مايو,"2,306,168"
2020,يونيو,"3,751,928"
2020,يوليو,"7,192,186"
2020,أغسطس,"3,344,711"
2020,سبتمبر,"2,360,396"
2020,أكتوبر,"4,863,250"
2020,نوفمبر,"5,174,682"
2020,ديسمبر,"11,089,959"
2021,يناير,"12,899,296"
2021,فبراير,"11,022,527"
2021,مارس,"6,184,106"
2021,إبريل,"5,547,043"
2021,مايو,"36,333,552"
2021,يونيو,"5,914,053"
2021,يوليو,"12,262,714"
2021,أغسطس,"3,313,348"
2021,سبتمبر,"5,560,784"
2021,أكتوبر,"5,610,813"
2021,نوفمبر,"2,570,288"
2021,ديسمبر,"15,367,854"
2022,يناير,"9,539,928"
2022,فبراير,"9,809,869"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
