Year,Month,Export Amount
2012,يناير,"70,473"
2012,فبراير,"22,274"
2012,مارس,"57,325"
2012,إبريل,0
2012,مايو,"18,125"
2012,يونيو,0
2012,يوليو,"11,223"
2012,أغسطس,"50,429"
2012,سبتمبر,0
2012,أكتوبر,"12,788"
2012,نوفمبر,0
2012,ديسمبر,"34,980"
2013,يناير,"114,900"
2013,فبراير,"3,920"
2013,مارس,0
2013,إبريل,"41,730"
2013,مايو,"106,132"
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,"11,082"
2013,أكتوبر,0
2013,نوفمبر,"229,800"
2013,ديسمبر,0
2014,يناير,"53,850"
2014,فبراير,"767,842"
2014,مارس,"415,725"
2014,إبريل,0
2014,مايو,0
2014,يونيو,"73,579"
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,"30,350"
2014,أكتوبر,0
2014,نوفمبر,"1,500"
2014,ديسمبر,0
2015,يناير,0
2015,فبراير,"41,705"
2015,مارس,"86,474"
2015,إبريل,"109,004"
2015,مايو,0
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,"18,462"
2015,سبتمبر,0
2015,أكتوبر,"117,864"
2015,نوفمبر,0
2015,ديسمبر,0
2016,يناير,"47,724"
2016,فبراير,"19,630"
2016,مارس,"13,387"
2016,إبريل,"49,757"
2016,مايو,0
2016,يونيو,"68,208"
2016,يوليو,"7,500"
2016,أغسطس,"59,455"
2016,سبتمبر,"1,000"
2016,أكتوبر,"71,352"
2016,نوفمبر,"19,861"
2016,ديسمبر,"37,900"
2017,يناير,"390,854"
2017,فبراير,"1,000"
2017,مارس,"245,965"
2017,إبريل,"111,797"
2017,مايو,"482,770"
2017,يونيو,"625,290"
2017,يوليو,0
2017,أغسطس,"19,116"
2017,سبتمبر,0
2017,أكتوبر,"29,125"
2017,نوفمبر,0
2017,ديسمبر,"13,000"
2018,يناير,"82,922"
2018,فبراير,352
2018,مارس,0
2018,إبريل,"63,355"
2018,مايو,"55,888"
2018,يونيو,"14,044"
2018,يوليو,"61,240"
2018,أغسطس,"96,104"
2018,سبتمبر,200
2018,أكتوبر,"22,973"
2018,نوفمبر,"29,616"
2018,ديسمبر,"24,246"
2019,يناير,"3,459"
2019,فبراير,349
2019,مارس,"17,846"
2019,إبريل,"9,978"
2019,مايو,"26,930"
2019,يونيو,0
2019,يوليو,"95,439"
2019,أغسطس,"303,926"
2019,سبتمبر,"53,130"
2019,أكتوبر,"10,408"
2019,نوفمبر,100
2019,ديسمبر,0
2020,يناير,"44,839"
2020,فبراير,0
2020,مارس,0
2020,إبريل,"7,637"
2020,مايو,"33,660"
2020,يونيو,0
2020,يوليو,200
2020,أغسطس,0
2020,سبتمبر,0
2020,أكتوبر,"40,360"
2020,نوفمبر,"28,590"
2020,ديسمبر,0
2021,يناير,"15,233"
2021,فبراير,"1,017"
2021,مارس,"17,699"
2021,إبريل,"12,242"
2021,مايو,"40,976"
2021,يونيو,0
2021,يوليو,"16,057"
2021,أغسطس,"17,918"
2021,سبتمبر,100
2021,أكتوبر,"508,205"
2021,نوفمبر,0
2021,ديسمبر,"2,322,233"
2022,يناير,"801,316"
2022,فبراير,"9,531"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
