Item,Amount,Value
اتوبيس سياحه (سيارات النقل العام من طراز الركاب),484.6,ألف دولار
عجائن اخرى غير محتويه على بيض,389.2,ألف دولار
عبوات صفيح بالغطاء,159.6,ألف دولار
بنسلين للبيع بالتجزئه,133.8,ألف دولار
محضرات غذائيه اخرى,86.1,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,72.2,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,27.6,ألف دولار
عصير خليط,27.5,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),16.2,ألف دولار
بيكربونات كالسيوم,16.0,ألف دولار
لبن فرز(البان تحتوى على نسبةدسم لايزيد عن 1% من اجمالى الوزن),10.0,ألف دولار
كروت ذكية,6.5,ألف دولار
محضرات واصناف صيدليه اخر,4.7,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,3.8,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,0.0,ألف دولار
