Year,Month,Export Amount
2012,يناير,"129,597"
2012,فبراير,"58,129"
2012,مارس,"336,854"
2012,إبريل,"429,083"
2012,مايو,"177,993"
2012,يونيو,"11,025"
2012,يوليو,"230,224"
2012,أغسطس,"126,361"
2012,سبتمبر,"43,487"
2012,أكتوبر,"121,160"
2012,نوفمبر,"62,410"
2012,ديسمبر,"87,561"
2013,يناير,"43,695"
2013,فبراير,"40,223"
2013,مارس,"457,181"
2013,إبريل,"489,115"
2013,مايو,"162,432"
2013,يونيو,"154,577"
2013,يوليو,"234,119"
2013,أغسطس,"478,031"
2013,سبتمبر,"411,416"
2013,أكتوبر,"653,460"
2013,نوفمبر,"346,669"
2013,ديسمبر,"3,298,249"
2014,يناير,"780,203"
2014,فبراير,"253,939"
2014,مارس,"757,732"
2014,إبريل,"846,298"
2014,مايو,"207,403"
2014,يونيو,"544,815"
2014,يوليو,"756,022"
2014,أغسطس,"3,522,010"
2014,سبتمبر,"2,342,429"
2014,أكتوبر,"671,275"
2014,نوفمبر,"1,461,289"
2014,ديسمبر,"1,132,364"
2015,يناير,"551,375"
2015,فبراير,"893,386"
2015,مارس,"1,829,477"
2015,إبريل,"2,400,438"
2015,مايو,"1,872,917"
2015,يونيو,"1,548,777"
2015,يوليو,"1,481,508"
2015,أغسطس,"2,448,347"
2015,سبتمبر,"1,211,477"
2015,أكتوبر,"1,171,704"
2015,نوفمبر,"115,527"
2015,ديسمبر,"404,866"
2016,يناير,"1,029,762"
2016,فبراير,"445,624"
2016,مارس,"408,643"
2016,إبريل,"2,945,523"
2016,مايو,"828,521"
2016,يونيو,"564,337"
2016,يوليو,"601,154"
2016,أغسطس,"975,287"
2016,سبتمبر,"54,500"
2016,أكتوبر,"186,096"
2016,نوفمبر,"232,192"
2016,ديسمبر,"330,594"
2017,يناير,"5,348,678"
2017,فبراير,"1,533,348"
2017,مارس,"3,747,542"
2017,إبريل,"3,083,289"
2017,مايو,"240,939"
2017,يونيو,"355,309"
2017,يوليو,"181,194"
2017,أغسطس,"1,075,230"
2017,سبتمبر,"14,845"
2017,أكتوبر,"239,689"
2017,نوفمبر,"57,870"
2017,ديسمبر,"381,832"
2018,يناير,"558,700"
2018,فبراير,"243,906"
2018,مارس,"1,804,234"
2018,إبريل,"128,706"
2018,مايو,"628,325"
2018,يونيو,"236,479"
2018,يوليو,"747,970"
2018,أغسطس,"3,170"
2018,سبتمبر,"203,964"
2018,أكتوبر,"204,586"
2018,نوفمبر,"434,764"
2018,ديسمبر,"1,044,101"
2019,يناير,"287,577"
2019,فبراير,"718,357"
2019,مارس,"214,699"
2019,إبريل,"651,408"
2019,مايو,"382,299"
2019,يونيو,"1,483,445"
2019,يوليو,"497,009"
2019,أغسطس,"522,331"
2019,سبتمبر,"523,934"
2019,أكتوبر,"211,060"
2019,نوفمبر,"165,005"
2019,ديسمبر,"109,333"
2020,يناير,"756,266"
2020,فبراير,"162,469"
2020,مارس,"169,241"
2020,إبريل,"15,289"
2020,مايو,"72,263"
2020,يونيو,"249,932"
2020,يوليو,"671,481"
2020,أغسطس,"380,376"
2020,سبتمبر,"785,356"
2020,أكتوبر,"390,424"
2020,نوفمبر,"354,648"
2020,ديسمبر,"379,820"
2021,يناير,"905,981"
2021,فبراير,"614,962"
2021,مارس,"1,053,007"
2021,إبريل,"900,738"
2021,مايو,"421,583"
2021,يونيو,"1,421,836"
2021,يوليو,"374,566"
2021,أغسطس,"460,659"
2021,سبتمبر,"512,073"
2021,أكتوبر,"210,232"
2021,نوفمبر,"169,744"
2021,ديسمبر,"789,063"
2022,يناير,"541,336"
2022,فبراير,"1,198,864"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
