Item,Amount,Value
استيك مشرب او مغطى او مغلف اكثر من 150 جم,2.0,مليون دولار
جلوكوز و عسل الجلوكوز,1.0,مليون دولار
سلك نحاس اصفر,994.7,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,953.8,ألف دولار
نشا ذره,879.4,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,855.4,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من البلاستيك",828.0,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,764.2,ألف دولار
لعزل الحراره ?  الصوت,735.1,ألف دولار
غزل قطن مفرد أكثر من 85% قطن غير ممشط (29و714) (56و232)غير مهييء للبيع بالتجزئه,728.7,ألف دولار
راتنجات يوريا,670.6,ألف دولار
ورنيشات قاعدتها P.V.A,644.5,ألف دولار
ابراج وصوارى شبكيه ? ابراج معدنيه من حديد اوصلب,615.2,ألف دولار
تنر (تنر عضوى عادى او مخصوص),451.3,ألف دولار
لوح توزيع فرعيه تقل عن 1000 فولت,450.0,ألف دولار
شمع برافين,443.9,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,346.9,ألف دولار
محضرات واصناف صيدليه اخر,331.4,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,299.8,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,276.9,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,264.9,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,250.8,ألف دولار
خطوط أنابيب ملحومه من الداخل أو الخارج بسمك أقل من 6و406 مم,230.7,ألف دولار
اثاث خشبى من النوع المستخدم فى المكاتب,185.8,ألف دولار
,182.0,ألف دولار
"انابيب ومواسير وخراطيم,صلبة وغير قابلة للثنى من لدائن اصطناعيةاخرى",180.0,ألف دولار
جلوكوز و عسل الجلوكوز,150.0,ألف دولار
مجففات محضره,142.1,ألف دولار
يوسفى طازج أو مجفف,135.5,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,134.5,ألف دولار
بوليستر أولى,124.6,ألف دولار
سقالات معدنيه,117.8,ألف دولار
غزل قطن مفرد أكثر من 85% قطن ممشط (29و714) غير مهييء للبيع بالتجزئه,97.3,ألف دولار
سيليكات صوديوم أخر,93.2,ألف دولار
اصناف مماثله غير مزخرفه اساسها الجبس,85.9,ألف دولار
باترونات من المنسوجات,79.9,ألف دولار
غيرها من القفازات من المطاط,74.9,ألف دولار
معاجين ومساحيق للجلى ومحضرات اخرى للجلى,73.1,ألف دولار
إسطوانات و أقراص للمصانع مصبوبه من حديد او صلب,69.8,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),63.3,ألف دولار
اسمنت فوندو ..... الخ,62.7,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,61.5,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,60.6,ألف دولار
عجائن البوليثرين متنوعه,60.6,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,56.1,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,53.9,ألف دولار
أحجار طبيعيه للمبانى مصقوله,53.6,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,51.2,ألف دولار
اصناف مماثله غيرمزخرفه اساسها الجبس,45.2,ألف دولار
,43.0,ألف دولار
بولي ستيرين مركرب  (P.V.S),40.1,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),37.1,ألف دولار
نباتات طبيه أخرى,35.9,ألف دولار
خيوط أو غزل من البوليستر مفرد مزووى 50 لفه متر,34.7,ألف دولار
صناديق و حاويات من البلاستيك,32.8,ألف دولار
بلوفرات من الياف صناعية اكريلك مصنره,30.4,ألف دولار
برتقال طازج أو مجفف,25.0,ألف دولار
بيكربونات كالسيوم,24.2,ألف دولار
أجزاء راديو و تليفزيون,21.1,ألف دولار
ثلاجات منزليه تعمل بكمبريسور,19.9,ألف دولار
مصبوغه,15.0,ألف دولار
معاملات تجميع الدم,11.7,ألف دولار
اجزاء ولوازم سيارات اخرى,11.5,ألف دولار
فرن للمخبوزات الإفرنجيه الراقيه,7.0,ألف دولار
خس ملفوف وكرنبى,6.4,ألف دولار
سمن نباتى,6.0,ألف دولار
شحوم نباتيه,5.6,ألف دولار
قنينة كانيولا وادوات مماثلة,5.3,ألف دولار
أجزاء غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,4.0,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,3.8,ألف دولار
أجزاء داخل الطائرات,3.6,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,3.1,ألف دولار
كرنب أفرنجى و بروكلى طازج,3.1,ألف دولار
غيرها من زيوت ودهون نباتيه ومايتجزأ عنها,3.1,ألف دولار
أقمشه تحتوى على أقل من 85% بوليستر مستمره مخلوطه بالصوف مبيضه أو غير مبيضه أقل من 170 جم أخرى,2.9,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من بوليمرات الاكريليك المركبه,2.8,ألف دولار
ألواح حديد مغلفه مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,2.5,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,1.1,ألف دولار
ادوات للمائدة والمطبخ بورسلين,1.0,ألف دولار
غيرها من الاحذيه الوجه جلد صناعى والنعل جلد,0.7,ألف دولار
فراوله طازجه,0.6,ألف دولار
أفوكادو طازج أو جاف,0.5,ألف دولار
,0.5,ألف دولار
أطقم العدد تتكون من إثنين أو أكثر منها,0.3,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,0.3,ألف دولار
جريب فروت طازج أو مجفف,0.3,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,0.2,ألف دولار
أحدية بنعال خارجية من جلد صناعى لاغراض أخرى,0.2,ألف دولار
شمام طازج ما عدا البطيخ,0.2,ألف دولار
اثاث معدنى من النوع المستخدم فىالمكاتب,0.2,ألف دولار
ثـــوم طازج أو مثلج,0.2,ألف دولار
صديرى أو سويتر من ألياف نسجيه أخرى رجالى,0.1,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من صوف او شعر الحيوانات عقدى,0.1,ألف دولار
سبراى تجميل و العنايه بالبشره و الشعر,0.1,ألف دولار
تابلوهات فنيه,0.1,ألف دولار
اصناف اخرى من جلد طبيعى او من جلد تركيبى لم تذكر فى مكان اخر,0.1,ألف دولار
خضروات مجمدة او مبردة,0.1,ألف دولار
فجل أفرنجى,0.1,ألف دولار
قطيفة منسوجة من صوف او  وبر ناعم,0.1,ألف دولار
كيوى طازج,0.1,ألف دولار
بصل وكرات بشوشه,0.1,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,0.1,ألف دولار
مكسبات طعم ورائحه,0.1,ألف دولار
لوحات دعايه ولوحات اسماء مضيئه ومايماثلها,0.1,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,0.0,ألف دولار
بهارات اخرى,0.0,ألف دولار
اثاث معدنى اخر,0.0,ألف دولار
مقاعد طائرات,0.0,ألف دولار
دوريات .. وان كانت مشتملة على مواد دعاية تصدر اسبوعيا أو شهريا,0.0,ألف دولار
حليات خشبيه بلاستيكيه,0.0,ألف دولار
(فوندى) وجه حذاء طبيعى او صناعى,0.0,ألف دولار
كرفس طازج أو مثلج,0.0,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,0.0,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,0.0,ألف دولار
غيرها من مصنوعات اخرى من نحاس,0.0,ألف دولار
