Year,Month,Export Amount
2012,يناير,"7,654,296"
2012,فبراير,"8,523,284"
2012,مارس,"7,763,236"
2012,إبريل,"10,460,894"
2012,مايو,"8,487,913"
2012,يونيو,"8,032,855"
2012,يوليو,"7,981,704"
2012,أغسطس,"5,326,456"
2012,سبتمبر,"7,639,519"
2012,أكتوبر,"7,329,441"
2012,نوفمبر,"5,675,526"
2012,ديسمبر,"7,263,629"
2013,يناير,"3,751,293"
2013,فبراير,"5,485,015"
2013,مارس,"8,633,967"
2013,إبريل,"7,552,922"
2013,مايو,"10,476,335"
2013,يونيو,"9,017,532"
2013,يوليو,"7,772,255"
2013,أغسطس,"7,589,283"
2013,سبتمبر,"10,413,649"
2013,أكتوبر,"7,332,175"
2013,نوفمبر,"9,402,161"
2013,ديسمبر,"11,273,779"
2014,يناير,"5,719,186"
2014,فبراير,"9,056,669"
2014,مارس,"8,142,356"
2014,إبريل,"8,208,048"
2014,مايو,"8,177,545"
2014,يونيو,"10,063,141"
2014,يوليو,"8,894,369"
2014,أغسطس,"9,767,008"
2014,سبتمبر,"12,789,346"
2014,أكتوبر,"8,262,669"
2014,نوفمبر,"7,907,275"
2014,ديسمبر,"6,617,661"
2015,يناير,"3,882,785"
2015,فبراير,"5,990,939"
2015,مارس,"4,722,273"
2015,إبريل,"3,465,318"
2015,مايو,"6,829,723"
2015,يونيو,"3,835,223"
2015,يوليو,"11,486,886"
2015,أغسطس,"13,609,953"
2015,سبتمبر,"10,070,996"
2015,أكتوبر,"9,054,714"
2015,نوفمبر,"8,856,921"
2015,ديسمبر,"8,778,004"
2016,يناير,"3,452,663"
2016,فبراير,"9,667,111"
2016,مارس,"6,230,020"
2016,إبريل,"6,653,879"
2016,مايو,"7,605,044"
2016,يونيو,"6,511,013"
2016,يوليو,"6,950,203"
2016,أغسطس,"4,986,552"
2016,سبتمبر,"5,710,493"
2016,أكتوبر,"11,122,568"
2016,نوفمبر,"5,585,963"
2016,ديسمبر,"6,225,342"
2017,يناير,"26,007,836"
2017,فبراير,"4,557,663"
2017,مارس,"9,177,565"
2017,إبريل,"5,591,085"
2017,مايو,"12,954,070"
2017,يونيو,"4,339,436"
2017,يوليو,"13,257,644"
2017,أغسطس,"9,785,469"
2017,سبتمبر,"5,552,052"
2017,أكتوبر,"3,631,130"
2017,نوفمبر,"5,400,498"
2017,ديسمبر,"10,514,572"
2018,يناير,"8,483,293"
2018,فبراير,"9,661,679"
2018,مارس,"12,128,204"
2018,إبريل,"13,788,506"
2018,مايو,"10,166,128"
2018,يونيو,"9,361,733"
2018,يوليو,"11,955,886"
2018,أغسطس,"10,328,380"
2018,سبتمبر,"11,811,119"
2018,أكتوبر,"7,263,250"
2018,نوفمبر,"10,908,418"
2018,ديسمبر,"8,287,587"
2019,يناير,"8,802,704"
2019,فبراير,"7,058,763"
2019,مارس,"7,908,911"
2019,إبريل,"7,350,102"
2019,مايو,"10,317,536"
2019,يونيو,"11,568,647"
2019,يوليو,"10,822,997"
2019,أغسطس,"8,046,752"
2019,سبتمبر,"9,046,036"
2019,أكتوبر,"5,851,032"
2019,نوفمبر,"10,052,000"
2019,ديسمبر,"11,415,079"
2020,يناير,"7,230,717"
2020,فبراير,"8,144,764"
2020,مارس,"9,289,036"
2020,إبريل,"6,679,803"
2020,مايو,"4,697,081"
2020,يونيو,"10,607,336"
2020,يوليو,"11,774,149"
2020,أغسطس,"9,551,408"
2020,سبتمبر,"11,468,717"
2020,أكتوبر,"7,735,315"
2020,نوفمبر,"5,832,249"
2020,ديسمبر,"9,867,909"
2021,يناير,"8,534,102"
2021,فبراير,"9,551,430"
2021,مارس,"15,251,799"
2021,إبريل,"13,573,377"
2021,مايو,"11,600,673"
2021,يونيو,"14,484,550"
2021,يوليو,"15,176,722"
2021,أغسطس,"15,814,055"
2021,سبتمبر,"15,884,034"
2021,أكتوبر,"9,043,001"
2021,نوفمبر,"5,277,628"
2021,ديسمبر,"10,717,076"
2022,يناير,"8,783,559"
2022,فبراير,"11,246,579"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
