Item,Amount,Value
غاز طبيعى فى صوره سائله,94.9,مليون دولار
بترول خام,50.4,مليون دولار
غاز نوشادر(نوشادر لامائى),25.1,مليون دولار
برتقال طازج أو مجفف,13.2,مليون دولار
مخاليط شحوم حيوانيه,5.3,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,4.6,مليون دولار
فراوله محفوظه مؤقتا,3.2,مليون دولار
بنطلون رجالى من القطن غير مصنره,3.2,مليون دولار
بطاطس طازجه اومبرده أخرى,3.1,مليون دولار
فيروسيليكون سبيكه 55%,2.4,مليون دولار
بازلياء خضراء,2.0,مليون دولار
بصل وكرات بشوشه,2.0,مليون دولار
يوسفى طازج أو مجفف,2.0,مليون دولار
اطقم حمامات / بياضات متنوعه,1.9,مليون دولار
الومنيوم غير مشغول أو غير هيئة سبائك,1.8,مليون دولار
سلك الومنيوم قطر اقل من 7 ميلليمتر,1.7,مليون دولار
بطاطا طازجه أو مجففه,1.4,مليون دولار
ملايات سرير من ألياف نسجيه مخلوطه,1.4,مليون دولار
قضبان و عيدان من الصلب السيليكونى الكهربى,1.2,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,1.1,مليون دولار
فضلات الحديد الصلب,1.0,مليون دولار
الومنيوم غير مشغول و على هيئة سبائك,1.0,مليون دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,855.4,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,828.9,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,820.3,ألف دولار
بصل مجفف,810.3,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,751.7,ألف دولار
بذور سمسم,705.4,ألف دولار
بودرة صلب,660.2,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,659.4,ألف دولار
أغطية أرضيات نسجيه أخرى,657.7,ألف دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,656.9,ألف دولار
بذور زيتيه أخرى,638.4,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,629.2,ألف دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,622.0,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,616.0,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,583.7,ألف دولار
بطاطس مجمده,556.4,ألف دولار
فاصولياخضراء و فول أخضر,531.2,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,506.9,ألف دولار
إطارات السيارات النقل و الشاحنات,483.0,ألف دولار
اثاث معدنى اخر,396.8,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,385.4,ألف دولار
ادوات أخرى من الزجاج العادى,382.4,ألف دولار
جوز و لوز محلى,373.6,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,324.0,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),323.9,ألف دولار
فراوله طازجه,312.0,ألف دولار
نباتات طبيه أخرى,310.2,ألف دولار
سجادوغيره من اغطيه الارضيات النسجيه من مواد نسجيه تركيبيه اواصطناعيه,309.8,ألف دولار
سلك نحاس اصفر,309.7,ألف دولار
"انابيب ومواسير وخراطيم,صلبة وغير قابلة للثنى من لدائن اصطناعيةاخرى",308.6,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,266.1,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,264.5,ألف دولار
أجزاء محركات ديذل تربو,261.8,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,261.1,ألف دولار
