Year,Month,Export Amount
2012,يناير,"45,789,030"
2012,فبراير,"22,587,379"
2012,مارس,"49,083,575"
2012,إبريل,"21,317,427"
2012,مايو,"30,213,956"
2012,يونيو,"65,179,570"
2012,يوليو,"16,943,461"
2012,أغسطس,"17,219,340"
2012,سبتمبر,"43,212,405"
2012,أكتوبر,"11,663,369"
2012,نوفمبر,"12,858,010"
2012,ديسمبر,"44,207,194"
2013,يناير,"23,269,826"
2013,فبراير,"18,690,904"
2013,مارس,"23,823,788"
2013,إبريل,"24,388,866"
2013,مايو,"43,943,225"
2013,يونيو,"40,989,569"
2013,يوليو,"12,091,937"
2013,أغسطس,"10,336,998"
2013,سبتمبر,"37,929,980"
2013,أكتوبر,"15,492,325"
2013,نوفمبر,"14,004,520"
2013,ديسمبر,"18,425,500"
2014,يناير,"19,542,192"
2014,فبراير,"57,434,024"
2014,مارس,"23,833,332"
2014,إبريل,"18,560,580"
2014,مايو,"49,195,989"
2014,يونيو,"69,142,048"
2014,يوليو,"34,823,631"
2014,أغسطس,"32,263,840"
2014,سبتمبر,"16,730,034"
2014,أكتوبر,"18,681,841"
2014,نوفمبر,"20,548,893"
2014,ديسمبر,"31,650,843"
2015,يناير,"18,446,637"
2015,فبراير,"20,645,885"
2015,مارس,"21,030,198"
2015,إبريل,"22,542,532"
2015,مايو,"30,854,118"
2015,يونيو,"50,008,053"
2015,يوليو,"13,746,590"
2015,أغسطس,"12,541,107"
2015,سبتمبر,"9,043,118"
2015,أكتوبر,"14,249,699"
2015,نوفمبر,"13,368,913"
2015,ديسمبر,"26,285,074"
2016,يناير,"17,691,389"
2016,فبراير,"21,729,732"
2016,مارس,"26,833,595"
2016,إبريل,"38,167,791"
2016,مايو,"49,527,989"
2016,يونيو,"50,867,198"
2016,يوليو,"24,135,356"
2016,أغسطس,"16,827,895"
2016,سبتمبر,"12,755,635"
2016,أكتوبر,"26,054,189"
2016,نوفمبر,"21,201,980"
2016,ديسمبر,"20,828,018"
2017,يناير,"78,246,785"
2017,فبراير,"26,174,901"
2017,مارس,"38,895,408"
2017,إبريل,"25,818,219"
2017,مايو,"38,340,961"
2017,يونيو,"50,086,715"
2017,يوليو,"28,722,047"
2017,أغسطس,"20,854,788"
2017,سبتمبر,"11,162,027"
2017,أكتوبر,"11,042,392"
2017,نوفمبر,"25,673,232"
2017,ديسمبر,"21,530,429"
2018,يناير,"48,598,273"
2018,فبراير,"31,101,328"
2018,مارس,"46,457,178"
2018,إبريل,"39,279,873"
2018,مايو,"66,387,872"
2018,يونيو,"30,960,405"
2018,يوليو,"17,185,852"
2018,أغسطس,"16,058,901"
2018,سبتمبر,"14,016,089"
2018,أكتوبر,"16,295,174"
2018,نوفمبر,"14,982,471"
2018,ديسمبر,"23,767,923"
2019,يناير,"24,834,224"
2019,فبراير,"34,599,612"
2019,مارس,"40,342,617"
2019,إبريل,"45,158,891"
2019,مايو,"95,178,697"
2019,يونيو,"64,255,149"
2019,يوليو,"24,348,756"
2019,أغسطس,"23,475,204"
2019,سبتمبر,"23,216,929"
2019,أكتوبر,"19,040,964"
2019,نوفمبر,"43,593,932"
2019,ديسمبر,"49,149,437"
2020,يناير,"73,695,024"
2020,فبراير,"44,265,131"
2020,مارس,"41,698,288"
2020,إبريل,"41,978,897"
2020,مايو,"45,944,768"
2020,يونيو,"52,712,460"
2020,يوليو,"18,920,963"
2020,أغسطس,"21,036,817"
2020,سبتمبر,"22,678,166"
2020,أكتوبر,"25,901,358"
2020,نوفمبر,"27,649,357"
2020,ديسمبر,"43,041,645"
2021,يناير,"29,401,485"
2021,فبراير,"45,914,695"
2021,مارس,"82,469,124"
2021,إبريل,"46,501,427"
2021,مايو,"68,795,698"
2021,يونيو,"70,549,286"
2021,يوليو,"28,311,303"
2021,أغسطس,"33,857,551"
2021,سبتمبر,"98,462,164"
2021,أكتوبر,"40,961,807"
2021,نوفمبر,"62,756,723"
2021,ديسمبر,"57,429,674"
2022,يناير,"152,371,724"
2022,فبراير,"116,387,140"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
