Item,Amount,Value
كوارتز خام وكوارتز مطحون,502.9,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),207.1,ألف دولار
خميره جافه نشطه,164.6,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,139.6,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,71.9,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,39.6,ألف دولار
طفــله بدون تحديــد (طينات اخرى),36.1,ألف دولار
راتنجات الكيديه,28.9,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,28.6,ألف دولار
برتقال طازج أو مجفف,13.0,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,8.8,ألف دولار
مانجوستين طازجةاو مجففه,6.9,ألف دولار
بصل وكرات بشوشه,4.0,ألف دولار
كتالوجات تجاريه وماشابه (طباعه اعلانات دعايه وملصقات),1.3,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,0.5,ألف دولار
أجهزة تقدير مسافات,0.1,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,0.0,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.0,ألف دولار
