Year,Month,Export Amount
2012,يناير,"778,377"
2012,فبراير,"1,779,179"
2012,مارس,"1,418,394"
2012,إبريل,"737,659"
2012,مايو,"1,251,387"
2012,يونيو,"292,508"
2012,يوليو,"875,026"
2012,أغسطس,"1,111,800"
2012,سبتمبر,"702,993"
2012,أكتوبر,"1,318,028"
2012,نوفمبر,"1,242,647"
2012,ديسمبر,"1,012,002"
2013,يناير,"646,521"
2013,فبراير,"1,348,686"
2013,مارس,"1,850,640"
2013,إبريل,"898,716"
2013,مايو,"2,578,480"
2013,يونيو,"1,128,738"
2013,يوليو,"733,595"
2013,أغسطس,"1,318,691"
2013,سبتمبر,"917,763"
2013,أكتوبر,"1,454,987"
2013,نوفمبر,"929,009"
2013,ديسمبر,"1,380,790"
2014,يناير,"964,579"
2014,فبراير,"1,085,353"
2014,مارس,"1,405,604"
2014,إبريل,"1,723,081"
2014,مايو,"1,369,685"
2014,يونيو,"1,954,587"
2014,يوليو,"517,831"
2014,أغسطس,"936,211"
2014,سبتمبر,"610,711"
2014,أكتوبر,"718,387"
2014,نوفمبر,"1,036,340"
2014,ديسمبر,"395,165"
2015,يناير,"949,881"
2015,فبراير,"1,067,240"
2015,مارس,"2,111,296"
2015,إبريل,"953,941"
2015,مايو,"501,868"
2015,يونيو,"898,139"
2015,يوليو,"1,259,776"
2015,أغسطس,"581,249"
2015,سبتمبر,"1,118,249"
2015,أكتوبر,"438,807"
2015,نوفمبر,"715,071"
2015,ديسمبر,"295,695"
2016,يناير,"1,194,795"
2016,فبراير,"313,832"
2016,مارس,"544,950"
2016,إبريل,"893,992"
2016,مايو,"748,590"
2016,يونيو,"702,819"
2016,يوليو,"845,556"
2016,أغسطس,"1,297,811"
2016,سبتمبر,"1,272,502"
2016,أكتوبر,"347,787"
2016,نوفمبر,"456,087"
2016,ديسمبر,"1,536,607"
2017,يناير,"2,252,299"
2017,فبراير,"879,687"
2017,مارس,"565,979"
2017,إبريل,"1,570,948"
2017,مايو,"2,116,990"
2017,يونيو,"1,328,962"
2017,يوليو,"1,110,588"
2017,أغسطس,"1,263,346"
2017,سبتمبر,"870,648"
2017,أكتوبر,"161,298"
2017,نوفمبر,"1,568,337"
2017,ديسمبر,"1,228,871"
2018,يناير,"498,398"
2018,فبراير,"1,273,324"
2018,مارس,"546,257"
2018,إبريل,"784,533"
2018,مايو,"1,622,488"
2018,يونيو,"664,465"
2018,يوليو,"1,238,308"
2018,أغسطس,"849,446"
2018,سبتمبر,"409,418"
2018,أكتوبر,"796,143"
2018,نوفمبر,"1,334,385"
2018,ديسمبر,"1,102,191"
2019,يناير,"340,938"
2019,فبراير,"1,032,384"
2019,مارس,"1,478,604"
2019,إبريل,"1,497,473"
2019,مايو,"1,838,887"
2019,يونيو,"1,070,211"
2019,يوليو,"1,042,885"
2019,أغسطس,"682,727"
2019,سبتمبر,"823,341"
2019,أكتوبر,"1,250,167"
2019,نوفمبر,"322,800"
2019,ديسمبر,"1,354,423"
2020,يناير,"929,349"
2020,فبراير,"1,155,680"
2020,مارس,"1,063,709"
2020,إبريل,"1,691,664"
2020,مايو,"1,063,242"
2020,يونيو,"1,785,348"
2020,يوليو,"845,650"
2020,أغسطس,"710,563"
2020,سبتمبر,"755,818"
2020,أكتوبر,"371,880"
2020,نوفمبر,"1,340,437"
2020,ديسمبر,"1,435,989"
2021,يناير,"1,140,660"
2021,فبراير,"937,696"
2021,مارس,"927,209"
2021,إبريل,"755,113"
2021,مايو,"1,437,462"
2021,يونيو,"1,596,276"
2021,يوليو,"2,929,223"
2021,أغسطس,"314,738"
2021,سبتمبر,"1,692,584"
2021,أكتوبر,"567,171"
2021,نوفمبر,"202,184"
2021,ديسمبر,"2,514,387"
2022,يناير,"761,289"
2022,فبراير,"492,386"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
