Year,Month,Export Amount
2012,يناير,"2,556"
2012,فبراير,"675,021"
2012,مارس,"1,148,364"
2012,إبريل,"748,955"
2012,مايو,"1,585,940"
2012,يونيو,0
2012,يوليو,"1,047,885"
2012,أغسطس,"208,888"
2012,سبتمبر,"245,697"
2012,أكتوبر,"1,139,349"
2012,نوفمبر,"220,893"
2012,ديسمبر,"969,220"
2013,يناير,"246,838"
2013,فبراير,"833,445"
2013,مارس,"331,408"
2013,إبريل,"1,910,812"
2013,مايو,"1,337,834"
2013,يونيو,"104,213"
2013,يوليو,"1,400,512"
2013,أغسطس,"241,565"
2013,سبتمبر,0
2013,أكتوبر,"362,464"
2013,نوفمبر,"394,020"
2013,ديسمبر,"649,880"
2014,يناير,0
2014,فبراير,"1,220,446"
2014,مارس,"1,056,440"
2014,إبريل,"1,424,159"
2014,مايو,"2,207,413"
2014,يونيو,"1,239,328"
2014,يوليو,"1,220,559"
2014,أغسطس,"488,223"
2014,سبتمبر,"256,603"
2014,أكتوبر,"56,000"
2014,نوفمبر,"1,124,087"
2014,ديسمبر,"153,842"
2015,يناير,"1,155,076"
2015,فبراير,"1,977,252"
2015,مارس,"1,397,898"
2015,إبريل,"2,811,171"
2015,مايو,"974,877"
2015,يونيو,"1,459,209"
2015,يوليو,"672,931"
2015,أغسطس,"179,215"
2015,سبتمبر,"817,883"
2015,أكتوبر,0
2015,نوفمبر,"20,220"
2015,ديسمبر,"596,201"
2016,يناير,"1,488,082"
2016,فبراير,"3,430,313"
2016,مارس,"1,625,171"
2016,إبريل,"1,921,014"
2016,مايو,"1,841,581"
2016,يونيو,"1,624,792"
2016,يوليو,"2,087,278"
2016,أغسطس,"514,348"
2016,سبتمبر,"154,800"
2016,أكتوبر,"53,536"
2016,نوفمبر,"908,792"
2016,ديسمبر,"901,179"
2017,يناير,"11,925,637"
2017,فبراير,"3,327,045"
2017,مارس,"1,974,967"
2017,إبريل,"1,329,095"
2017,مايو,"2,090,854"
2017,يونيو,"1,996,787"
2017,يوليو,"1,423,006"
2017,أغسطس,"1,197,378"
2017,سبتمبر,"624,678"
2017,أكتوبر,"538,816"
2017,نوفمبر,"1,892,817"
2017,ديسمبر,"2,434,606"
2018,يناير,"3,788,148"
2018,فبراير,"3,356,149"
2018,مارس,"3,401,132"
2018,إبريل,"1,818,017"
2018,مايو,"2,337"
2018,يونيو,"10,880"
2018,يوليو,"5,144"
2018,أغسطس,"19,003"
2018,سبتمبر,"285,386"
2018,أكتوبر,0
2018,نوفمبر,0
2018,ديسمبر,0
2019,يناير,"15,238"
2019,فبراير,"15,018"
2019,مارس,"8,736"
2019,إبريل,"9,984"
2019,مايو,221
2019,يونيو,"76,683"
2019,يوليو,"68,754"
2019,أغسطس,"70,864"
2019,سبتمبر,"18,762"
2019,أكتوبر,"29,345"
2019,نوفمبر,"22,810"
2019,ديسمبر,"112,983"
2020,يناير,0
2020,فبراير,"30,304"
2020,مارس,"170,593"
2020,إبريل,0
2020,مايو,0
2020,يونيو,0
2020,يوليو,0
2020,أغسطس,0
2020,سبتمبر,"60,722"
2020,أكتوبر,"284,074"
2020,نوفمبر,"119,092"
2020,ديسمبر,"73,509"
2021,يناير,"115,488"
2021,فبراير,"74,708"
2021,مارس,"86,868"
2021,إبريل,"131,139"
2021,مايو,"206,903"
2021,يونيو,"82,445"
2021,يوليو,"1,310"
2021,أغسطس,"105,030"
2021,سبتمبر,200
2021,أكتوبر,"44,418"
2021,نوفمبر,0
2021,ديسمبر,"71,532"
2022,يناير,"140,970"
2022,فبراير,"113,860"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
