Item,Amount,Value
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,389.3,ألف دولار
بودرة صلب,205.5,ألف دولار
بصل مجفف,171.0,ألف دولار
برتقال طازج أو مجفف,128.3,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,86.1,ألف دولار
أغطية أرضيات نسجيه أخرى,66.8,ألف دولار
أحجار طبيعيه للمبانى مصقوله,44.2,ألف دولار
فراوله محفوظه مؤقتا,34.4,ألف دولار
طرشى),28.6,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,15.6,ألف دولار
نباتات طبيه أخرى,13.7,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,7.6,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,1.5,ألف دولار
اصناف للمهرجانات والاعياد وللتسليه بما فى ذلك مهمات العاب الحواه وادوات الدعايه,0.2,ألف دولار
بلوزه حريمى من الياف صناعيه مصنره,0.1,ألف دولار
مجموعات اضاءه كهربائيه لشجره عيد الميلاد,0.1,ألف دولار
أقمشه تحتوى على 85% بوليستر مستمره أخرى,0.1,ألف دولار
