Year,Month,Export Amount
2012,يناير,"225,320"
2012,فبراير,"195,135"
2012,مارس,"40,948"
2012,إبريل,"133,403"
2012,مايو,"1,239,868"
2012,يونيو,"664,261"
2012,يوليو,"701,112"
2012,أغسطس,"216,242"
2012,سبتمبر,"196,048"
2012,أكتوبر,"228,892"
2012,نوفمبر,"138,444"
2012,ديسمبر,"2,154,369"
2013,يناير,"271,746"
2013,فبراير,"1,516,583"
2013,مارس,"66,313"
2013,إبريل,"47,180"
2013,مايو,"82,826"
2013,يونيو,"217,268"
2013,يوليو,"241,833"
2013,أغسطس,"176,276"
2013,سبتمبر,"94,255"
2013,أكتوبر,"166,727"
2013,نوفمبر,"79,833"
2013,ديسمبر,"279,601"
2014,يناير,"612,930"
2014,فبراير,"133,557"
2014,مارس,"199,347"
2014,إبريل,"109,637"
2014,مايو,"143,572"
2014,يونيو,"128,479"
2014,يوليو,"280,886"
2014,أغسطس,"266,699"
2014,سبتمبر,"172,886"
2014,أكتوبر,"185,670"
2014,نوفمبر,"192,647"
2014,ديسمبر,"141,343"
2015,يناير,"98,459"
2015,فبراير,"128,615"
2015,مارس,"166,140"
2015,إبريل,"147,017"
2015,مايو,"110,987"
2015,يونيو,"254,620"
2015,يوليو,"192,958"
2015,أغسطس,"170,499"
2015,سبتمبر,"96,458"
2015,أكتوبر,"145,899"
2015,نوفمبر,"72,862"
2015,ديسمبر,"71,569"
2016,يناير,"67,748"
2016,فبراير,"99,494"
2016,مارس,"99,342"
2016,إبريل,"32,096"
2016,مايو,"79,719"
2016,يونيو,"2,178,980"
2016,يوليو,"95,356"
2016,أغسطس,"1,890,213"
2016,سبتمبر,"219,059"
2016,أكتوبر,"156,658"
2016,نوفمبر,"147,806"
2016,ديسمبر,"54,313"
2017,يناير,"420,555"
2017,فبراير,"102,651"
2017,مارس,"98,721"
2017,إبريل,"52,023"
2017,مايو,"138,486"
2017,يونيو,"219,134"
2017,يوليو,"239,825"
2017,أغسطس,"331,963"
2017,سبتمبر,"643,607"
2017,أكتوبر,"708,177"
2017,نوفمبر,"117,198"
2017,ديسمبر,"215,388"
2018,يناير,"538,033"
2018,فبراير,"199,475"
2018,مارس,"284,226"
2018,إبريل,"350,634"
2018,مايو,"317,959"
2018,يونيو,"168,993"
2018,يوليو,"559,515"
2018,أغسطس,"255,136"
2018,سبتمبر,"253,590"
2018,أكتوبر,"391,969"
2018,نوفمبر,"310,390"
2018,ديسمبر,"313,555"
2019,يناير,"484,149"
2019,فبراير,"109,463"
2019,مارس,"473,107"
2019,إبريل,"181,693"
2019,مايو,"199,045"
2019,يونيو,"318,745"
2019,يوليو,"561,492"
2019,أغسطس,"304,008"
2019,سبتمبر,"394,740"
2019,أكتوبر,"385,012"
2019,نوفمبر,"289,232"
2019,ديسمبر,"389,236"
2020,يناير,"302,275"
2020,فبراير,"683,942"
2020,مارس,"389,956"
2020,إبريل,"327,770"
2020,مايو,"467,383"
2020,يونيو,"783,590"
2020,يوليو,"720,649"
2020,أغسطس,"792,935"
2020,سبتمبر,"788,379"
2020,أكتوبر,"805,545"
2020,نوفمبر,"746,198"
2020,ديسمبر,"3,562,784"
2021,يناير,"821,618"
2021,فبراير,"1,122,824"
2021,مارس,"536,928"
2021,إبريل,"803,933"
2021,مايو,"600,192"
2021,يونيو,"676,687"
2021,يوليو,"696,368"
2021,أغسطس,"1,008,618"
2021,سبتمبر,"616,646"
2021,أكتوبر,"823,839"
2021,نوفمبر,"263,759"
2021,ديسمبر,"536,669"
2022,يناير,"763,472"
2022,فبراير,"531,928"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
