Item,Amount,Value
برتقال طازج أو مجفف,7.9,مليون دولار
بطاطس طازجه اومبرده أخرى,3.4,مليون دولار
جبن مطبوخ غير مبشور ولا مسحوق,2.8,مليون دولار
اثاث اخر من الخشب ? حجره سفره من خشب,2.3,مليون دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,1.4,مليون دولار
عدادات كهرباء,1.2,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,850.7,ألف دولار
شيكولاتة ومنتجات الكاكاو,844.2,ألف دولار
فراوله طازجه,781.4,ألف دولار
يوسفى طازج أو مجفف,583.7,ألف دولار
مخلفات صناعات البنجر,421.0,ألف دولار
إطارات السيارات النقل و الشاحنات,419.1,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,389.8,ألف دولار
بصل وكرات بشوشه,381.5,ألف دولار
محضرات واصناف صيدليه اخر,369.4,ألف دولار
انواع جبنه اخرى,364.3,ألف دولار
نجف و ثرايا كريستال و غيرها,272.5,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),243.6,ألف دولار
خيوط,235.4,ألف دولار
قوالب شيكولاته,223.7,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,186.2,ألف دولار
بويات وورنيشات  مذابه فى وسط لامائى,182.5,ألف دولار
زيت ذره مكرر,179.0,ألف دولار
طرشى),175.2,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,174.9,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,172.2,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,171.0,ألف دولار
مانجوستين طازجةاو مجففه,156.6,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,152.8,ألف دولار
مخاليط خضروات مجمده,135.6,ألف دولار
فراوله محفوظه مؤقتا,127.2,ألف دولار
عصير خليط,121.2,ألف دولار
دفاتر),120.0,ألف دولار
محضرات غذائيه اخرى,115.5,ألف دولار
محضرات متجانسه لاغذيه الاطفال,111.0,ألف دولار
ايس كريم بودرة,98.2,ألف دولار
بطاطا طازجه أو مجففه,93.4,ألف دولار
بذور سمسم,85.8,ألف دولار
أحجار طبيعيه للمبانى مصقوله,79.9,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,67.6,ألف دولار
فحم حجرى,62.3,ألف دولار
اثاث خشبى من المستخدم فى المطابخ,59.0,ألف دولار
مستحضرات لتعطير الغرف او لازاله الروائح الكريهه منها,58.6,ألف دولار
ورنيشات قاعدتها بولى اكريلك,55.6,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,54.4,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,52.3,ألف دولار
ادوية غير مهياة بجرعات معايرة اوباشكال اوعبوات للبيع بالتجزئة,49.9,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,46.9,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,46.7,ألف دولار
ورنيشات قاعدتها P.V.A,46.0,ألف دولار
