Year,Month,Export Amount
2012,يناير,"7,481,989"
2012,فبراير,"7,827,353"
2012,مارس,"8,060,703"
2012,إبريل,"8,322,499"
2012,مايو,"11,148,135"
2012,يونيو,"9,868,310"
2012,يوليو,"8,879,589"
2012,أغسطس,"7,318,513"
2012,سبتمبر,"6,088,602"
2012,أكتوبر,"5,670,138"
2012,نوفمبر,"7,964,504"
2012,ديسمبر,"9,798,021"
2013,يناير,"7,656,402"
2013,فبراير,"13,250,498"
2013,مارس,"11,164,123"
2013,إبريل,"11,037,166"
2013,مايو,"8,769,705"
2013,يونيو,"9,724,311"
2013,يوليو,"7,811,434"
2013,أغسطس,"3,959,391"
2013,سبتمبر,"6,940,237"
2013,أكتوبر,"6,233,724"
2013,نوفمبر,"6,932,672"
2013,ديسمبر,"9,815,459"
2014,يناير,"8,633,503"
2014,فبراير,"10,024,863"
2014,مارس,"8,878,252"
2014,إبريل,"10,568,052"
2014,مايو,"8,628,581"
2014,يونيو,"11,314,202"
2014,يوليو,"9,282,765"
2014,أغسطس,"30,460,351"
2014,سبتمبر,"8,649,054"
2014,أكتوبر,"5,371,759"
2014,نوفمبر,"7,954,471"
2014,ديسمبر,"10,639,125"
2015,يناير,"8,897,809"
2015,فبراير,"9,967,347"
2015,مارس,"10,961,591"
2015,إبريل,"10,724,800"
2015,مايو,"11,769,227"
2015,يونيو,"11,934,620"
2015,يوليو,"10,283,444"
2015,أغسطس,"10,322,590"
2015,سبتمبر,"8,840,038"
2015,أكتوبر,"20,990,866"
2015,نوفمبر,"10,167,173"
2015,ديسمبر,"15,891,142"
2016,يناير,"9,775,538"
2016,فبراير,"19,039,431"
2016,مارس,"12,729,519"
2016,إبريل,"10,541,501"
2016,مايو,"10,549,066"
2016,يونيو,"11,573,622"
2016,يوليو,"7,867,459"
2016,أغسطس,"8,799,450"
2016,سبتمبر,"9,282,559"
2016,أكتوبر,"9,885,274"
2016,نوفمبر,"19,814,748"
2016,ديسمبر,"13,965,223"
2017,يناير,"43,955,218"
2017,فبراير,"9,949,943"
2017,مارس,"13,622,626"
2017,إبريل,"10,896,387"
2017,مايو,"9,342,346"
2017,يونيو,"14,166,065"
2017,يوليو,"11,397,231"
2017,أغسطس,"12,984,422"
2017,سبتمبر,"9,472,602"
2017,أكتوبر,"15,268,326"
2017,نوفمبر,"11,944,328"
2017,ديسمبر,"14,003,418"
2018,يناير,"14,749,294"
2018,فبراير,"15,046,391"
2018,مارس,"17,374,143"
2018,إبريل,"16,797,113"
2018,مايو,"18,732,499"
2018,يونيو,"15,100,702"
2018,يوليو,"14,675,441"
2018,أغسطس,"11,324,943"
2018,سبتمبر,"15,972,166"
2018,أكتوبر,"13,035,892"
2018,نوفمبر,"16,770,862"
2018,ديسمبر,"15,602,296"
2019,يناير,"16,251,077"
2019,فبراير,"12,620,274"
2019,مارس,"15,510,209"
2019,إبريل,"33,077,131"
2019,مايو,"15,631,438"
2019,يونيو,"10,723,384"
2019,يوليو,"12,023,175"
2019,أغسطس,"10,161,255"
2019,سبتمبر,"15,362,681"
2019,أكتوبر,"12,267,063"
2019,نوفمبر,"14,417,153"
2019,ديسمبر,"20,570,484"
2020,يناير,"15,142,523"
2020,فبراير,"17,122,532"
2020,مارس,"16,270,294"
2020,إبريل,"9,272,534"
2020,مايو,"7,383,065"
2020,يونيو,"11,550,018"
2020,يوليو,"14,448,099"
2020,أغسطس,"9,618,834"
2020,سبتمبر,"14,177,754"
2020,أكتوبر,"14,653,018"
2020,نوفمبر,"12,950,631"
2020,ديسمبر,"18,524,168"
2021,يناير,"16,561,566"
2021,فبراير,"17,614,832"
2021,مارس,"18,826,731"
2021,إبريل,"19,590,174"
2021,مايو,"12,357,194"
2021,يونيو,"12,743,203"
2021,يوليو,"9,254,866"
2021,أغسطس,"10,510,230"
2021,سبتمبر,"11,565,260"
2021,أكتوبر,"7,572,533"
2021,نوفمبر,"6,094,496"
2021,ديسمبر,"14,737,894"
2022,يناير,"16,961,396"
2022,فبراير,"17,278,645"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
