Item,Amount,Value
قطن غير ممشط أو مسرح,16.1,مليون دولار
لوح توزيع فرعيه تقل عن 1000 فولت,5.2,مليون دولار
محضرات غذائيه اخرى,1.3,مليون دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,860.0,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,695.6,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,501.4,ألف دولار
قوالب شيكولاته,397.1,ألف دولار
شفرات حلاقه فى أطقم,268.3,ألف دولار
مكسبات طعم ورائحه,264.0,ألف دولار
خيوط الخياطه من ألياف صناعيه المستمر,251.1,ألف دولار
أغطية أرضيات نسجيه أخرى,242.6,ألف دولار
طرشى),228.8,ألف دولار
قماش الدنيم أو الجينز,173.9,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,149.3,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,142.7,ألف دولار
شامبو وصبغات للشعر),138.2,ألف دولار
محضرات واصناف صيدليه اخر,135.9,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,121.4,ألف دولار
زيتون مخلل,114.7,ألف دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,98.5,ألف دولار
محضرات متجانسة(اغذية للاطفال),94.2,ألف دولار
قنينة كانيولا وادوات مماثلة,84.4,ألف دولار
غيرها من دنان وبراميل وصفائح وعلب واوعيه مماثله من الومنيوم,79.5,ألف دولار
عجائن اخرى غير محتويه على بيض,79.5,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,79.2,ألف دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,73.9,ألف دولار
غواسل عضوية بحالة ايونات سالبة,66.0,ألف دولار
معاملات تجميع الدم,62.8,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,62.0,ألف دولار
غزل كتان مفرد,60.2,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,59.9,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),55.5,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),53.0,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,52.4,ألف دولار
حقن طبيه من بلاستيك (سرنجه),47.7,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,47.7,ألف دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,45.9,ألف دولار
دم آدمى و بيطرى لأغراض العاج البيولوجى,42.0,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,39.4,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,38.2,ألف دولار
بطاريات ثانى اكسيد المنجنيز,38.0,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,24.8,ألف دولار
أجهزة طبيه كهربيه,22.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,21.3,ألف دولار
بيكربونات كالسيوم,17.5,ألف دولار
زيوت عطرية مركزة فى شكل عجائن عطرية,11.8,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,10.1,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,8.3,ألف دولار
عجائن طباعه شفافه,6.1,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,5.3,ألف دولار
غيرها من انواع الغراء واللواصق,5.2,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,4.2,ألف دولار
أدوات التواليت و المنزل من أنواع البلاستيك الأخرى,3.7,ألف دولار
"اجزاء الات اخرى لعمل عجينةالورق,الورق اوالكرتون,بما فيهاالات القطع من جميع الانواع",1.7,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,1.4,ألف دولار
حقائب و شنط من أنواع البلاستيك الأخرى,0.8,ألف دولار
ادوات واجهزة اخرى غيرها للاستخدام فى طب الاسنان,0.4,ألف دولار
بطاطس مجمده,0.0,ألف دولار
