Year,Month,Export Amount
2012,يناير,"13,024,352"
2012,فبراير,"12,713,605"
2012,مارس,"15,611,573"
2012,إبريل,"11,845,109"
2012,مايو,"10,338,218"
2012,يونيو,"10,791,649"
2012,يوليو,"13,222,250"
2012,أغسطس,"13,739,391"
2012,سبتمبر,"12,363,213"
2012,أكتوبر,"14,323,567"
2012,نوفمبر,"10,369,354"
2012,ديسمبر,"15,024,107"
2013,يناير,"10,425,627"
2013,فبراير,"8,670,818"
2013,مارس,"17,166,501"
2013,إبريل,"16,815,240"
2013,مايو,"4,602,057"
2013,يونيو,"6,201,938"
2013,يوليو,"11,396,718"
2013,أغسطس,"11,338,171"
2013,سبتمبر,"13,448,207"
2013,أكتوبر,"9,306,937"
2013,نوفمبر,"11,442,459"
2013,ديسمبر,"11,670,312"
2014,يناير,"6,227,326"
2014,فبراير,"9,408,411"
2014,مارس,"5,816,756"
2014,إبريل,"15,321,792"
2014,مايو,"8,805,332"
2014,يونيو,"6,415,712"
2014,يوليو,"17,521,608"
2014,أغسطس,"16,757,895"
2014,سبتمبر,"17,690,302"
2014,أكتوبر,"12,038,212"
2014,نوفمبر,"14,612,434"
2014,ديسمبر,"9,336,661"
2015,يناير,"9,865,325"
2015,فبراير,"5,538,609"
2015,مارس,"5,739,305"
2015,إبريل,"6,523,325"
2015,مايو,"8,030,864"
2015,يونيو,"10,195,343"
2015,يوليو,"13,082,692"
2015,أغسطس,"15,083,433"
2015,سبتمبر,"16,514,468"
2015,أكتوبر,"13,666,244"
2015,نوفمبر,"10,074,307"
2015,ديسمبر,"13,938,041"
2016,يناير,"8,152,773"
2016,فبراير,"6,509,132"
2016,مارس,"6,506,320"
2016,إبريل,"8,462,791"
2016,مايو,"7,108,832"
2016,يونيو,"8,176,395"
2016,يوليو,"7,724,246"
2016,أغسطس,"15,821,134"
2016,سبتمبر,"11,876,507"
2016,أكتوبر,"20,420,241"
2016,نوفمبر,"10,998,618"
2016,ديسمبر,"10,301,165"
2017,يناير,"36,057,044"
2017,فبراير,"6,913,976"
2017,مارس,"11,078,240"
2017,إبريل,"7,711,728"
2017,مايو,"7,578,010"
2017,يونيو,"7,545,329"
2017,يوليو,"9,797,885"
2017,أغسطس,"8,912,936"
2017,سبتمبر,"10,139,835"
2017,أكتوبر,"11,380,461"
2017,نوفمبر,"10,286,499"
2017,ديسمبر,"9,005,533"
2018,يناير,"11,024,352"
2018,فبراير,"9,526,677"
2018,مارس,"7,109,086"
2018,إبريل,"4,903,422"
2018,مايو,"11,518,119"
2018,يونيو,"8,511,677"
2018,يوليو,"17,173,781"
2018,أغسطس,"12,555,601"
2018,سبتمبر,"13,284,712"
2018,أكتوبر,"11,432,659"
2018,نوفمبر,"6,889,785"
2018,ديسمبر,"6,461,501"
2019,يناير,"6,356,019"
2019,فبراير,"5,293,302"
2019,مارس,"5,463,068"
2019,إبريل,"23,693,404"
2019,مايو,"38,997,277"
2019,يونيو,"45,187,722"
2019,يوليو,"27,835,014"
2019,أغسطس,"20,627,000"
2019,سبتمبر,"12,259,414"
2019,أكتوبر,"6,730,929"
2019,نوفمبر,"9,050,123"
2019,ديسمبر,"10,525,097"
2020,يناير,"44,432,748"
2020,فبراير,"9,027,257"
2020,مارس,"6,663,012"
2020,إبريل,"3,149,277"
2020,مايو,"5,252,615"
2020,يونيو,"5,650,603"
2020,يوليو,"12,790,254"
2020,أغسطس,"11,770,236"
2020,سبتمبر,"31,713,565"
2020,أكتوبر,"23,044,632"
2020,نوفمبر,"67,501,954"
2020,ديسمبر,"12,868,524"
2021,يناير,"8,832,469"
2021,فبراير,"26,626,563"
2021,مارس,"30,281,283"
2021,إبريل,"27,605,916"
2021,مايو,"49,629,790"
2021,يونيو,"78,089,388"
2021,يوليو,"34,746,144"
2021,أغسطس,"16,550,773"
2021,سبتمبر,"73,348,779"
2021,أكتوبر,"7,515,971"
2021,نوفمبر,"10,192,429"
2021,ديسمبر,"13,966,266"
2022,يناير,"12,437,599"
2022,فبراير,"17,989,779"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
