Item,Amount,Value
أغطية أرضيات نسجيه أخرى,336.5,ألف دولار
غيرها من البويات والورنيشات المائيه,302.6,ألف دولار
سجاد نايلون آخر,100.2,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,97.9,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,37.2,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,23.6,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,18.8,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,17.9,ألف دولار
قطع من ملابس جاهزه,16.4,ألف دولار
أحجار طبيعيه للمبانى مصقوله,15.9,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,15.1,ألف دولار
بنطلون رجالى من القطن غير مصنره,14.7,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,10.0,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,8.6,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,7.4,ألف دولار
بنطلون حريمى من الياف نسجيه أخرى غير مصنره,2.2,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,0.9,ألف دولار
