Year,Month,Export Amount
2012,يناير,"598,110"
2012,فبراير,"413,129"
2012,مارس,"439,826"
2012,إبريل,"554,492"
2012,مايو,"777,818"
2012,يونيو,"553,351"
2012,يوليو,"863,216"
2012,أغسطس,"568,452"
2012,سبتمبر,"468,027"
2012,أكتوبر,"645,298"
2012,نوفمبر,"146,145"
2012,ديسمبر,"251,986"
2013,يناير,"180,847"
2013,فبراير,"360,290"
2013,مارس,"591,236"
2013,إبريل,"631,034"
2013,مايو,"918,847"
2013,يونيو,"743,301"
2013,يوليو,"1,189,403"
2013,أغسطس,"193,779"
2013,سبتمبر,"445,478"
2013,أكتوبر,"196,395"
2013,نوفمبر,"226,952"
2013,ديسمبر,"516,646"
2014,يناير,"435,653"
2014,فبراير,"240,970"
2014,مارس,"603,115"
2014,إبريل,"486,059"
2014,مايو,"990,430"
2014,يونيو,"500,218"
2014,يوليو,"918,299"
2014,أغسطس,"349,121"
2014,سبتمبر,"875,178"
2014,أكتوبر,"171,905"
2014,نوفمبر,"848,720"
2014,ديسمبر,"484,500"
2015,يناير,"664,392"
2015,فبراير,"1,319,200"
2015,مارس,"1,067,805"
2015,إبريل,"908,997"
2015,مايو,"1,001,497"
2015,يونيو,"518,646"
2015,يوليو,"622,240"
2015,أغسطس,"475,810"
2015,سبتمبر,"381,078"
2015,أكتوبر,"476,193"
2015,نوفمبر,"314,281"
2015,ديسمبر,"919,499"
2016,يناير,"378,814"
2016,فبراير,"176,933"
2016,مارس,"230,270"
2016,إبريل,"394,048"
2016,مايو,"408,531"
2016,يونيو,"293,036"
2016,يوليو,"408,095"
2016,أغسطس,"374,884"
2016,سبتمبر,"119,013"
2016,أكتوبر,"428,251"
2016,نوفمبر,"159,616"
2016,ديسمبر,"747,378"
2017,يناير,"1,500,010"
2017,فبراير,"113,770"
2017,مارس,"1,908,746"
2017,إبريل,"515,662"
2017,مايو,"606,245"
2017,يونيو,"1,026,844"
2017,يوليو,"740,118"
2017,أغسطس,"872,953"
2017,سبتمبر,"520,946"
2017,أكتوبر,"791,776"
2017,نوفمبر,"424,935"
2017,ديسمبر,"698,204"
2018,يناير,"175,834"
2018,فبراير,"187,796"
2018,مارس,"348,918"
2018,إبريل,"449,642"
2018,مايو,"365,093"
2018,يونيو,"688,131"
2018,يوليو,"361,180"
2018,أغسطس,"332,290"
2018,سبتمبر,"306,898"
2018,أكتوبر,"494,034"
2018,نوفمبر,"323,641"
2018,ديسمبر,"352,802"
2019,يناير,"142,019"
2019,فبراير,"394,138"
2019,مارس,"1,320,629"
2019,إبريل,"656,403"
2019,مايو,"238,298"
2019,يونيو,"649,711"
2019,يوليو,"432,439"
2019,أغسطس,"759,489"
2019,سبتمبر,"758,295"
2019,أكتوبر,"886,860"
2019,نوفمبر,"857,230"
2019,ديسمبر,"7,238,230"
2020,يناير,"354,349"
2020,فبراير,"534,152"
2020,مارس,"366,148"
2020,إبريل,"70,166"
2020,مايو,"197,037"
2020,يونيو,"579,801"
2020,يوليو,"507,243"
2020,أغسطس,"239,080"
2020,سبتمبر,"423,641"
2020,أكتوبر,"336,902"
2020,نوفمبر,"251,828"
2020,ديسمبر,"300,357"
2021,يناير,"354,647"
2021,فبراير,"486,013"
2021,مارس,"1,027,123"
2021,إبريل,"357,750"
2021,مايو,"322,185"
2021,يونيو,"1,121,607"
2021,يوليو,"683,836"
2021,أغسطس,"510,684"
2021,سبتمبر,"814,414"
2021,أكتوبر,"454,353"
2021,نوفمبر,0
2021,ديسمبر,"656,343"
2022,يناير,"508,409"
2022,فبراير,"524,976"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
