Item,Amount,Value
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,875.6,ألف دولار
زجاج مسطح عادى سادة غير مسلح,526.8,ألف دولار
اسمنت فوندو ..... الخ,223.5,ألف دولار
سجاد نايلون آخر,203.4,ألف دولار
كرنب أفرنجى و بروكلى طازج,182.5,ألف دولار
غواسل عضوية بحالة ايونات سالبة,173.2,ألف دولار
غزل صناعى مفرد تحتوى على 85% من ألياف الإكليريك المستمر غير مهيئه للبيع بالتجزئه,140.9,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),123.7,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,71.0,ألف دولار
صودا كاويه,70.0,ألف دولار
بودره بولي ايثلين P.E.T,43.9,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,32.9,ألف دولار
أحجار طبيعيه للمبانى مصقوله,31.7,ألف دولار
لعزل الحراره ?  الصوت,22.6,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,21.1,ألف دولار
بنطلون رجالى من القطن غير مصنره,9.1,ألف دولار
قواعد مصهرات جهد منخفض (اجهزه اخرى لوقايه الدوائر الكهربائيه),6.4,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,6.2,ألف دولار
أجهزة طبيه كهربيه,3.9,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,3.5,ألف دولار
